link_id,system_a,system_b,current_state,issue_type,constitutional_reading,recommendation,evidence
X01,jobs_master,assigned_cost_codes + schedule_engine,Connected,None,"Project identity, planning, and schedule already form one primary project-controls spine.",Preserve and extend,"backend/server.py:6568-6576; backend/routes/cost_codes.py:363-520; backend/services/cost_codes/schedule_engine.py:211-540"
X02,daily_reports.cost_code_quantities,schedule / forecast / progress,Connected,None,"Field actuals already feed project-controls computation correctly.",Preserve,"backend/routes/daily_reports.py:1579-1587; backend/services/cost_codes/foundation.py:658-675"
X03,daily_reports,payroll_variance,Partially connected,Boundary clarity,"Labor truth is connected but intentionally split between daily capture and weekly reconciliation.",Keep both lanes and clarify scope,"backend/routes/daily_reports.py:1595-1603; backend/routes/payroll_variance.py:1-22,193-280"
X04,daily_reports.constraints,operational_constraints,Partially connected,Split authority,"Constraint facts and standing blocker management both exist, but downstream consumption is not singular.",Extend with explicit dual-lane rules,"backend/routes/daily_reports.py:7-8; backend/routes/operational_constraints.py:7-19,67-121"
X05,project_team_assignments,cost-code demand + dispatch deployment,Partially connected,Federated semantics,"Staffing and deployment are connected in practice but not yet governed as one resource contract.",Consolidate semantics,"backend/routes/project_team_assignments.py:878-1160; backend/services/cost_codes/foundation.py:173-191; frontend/src/app/routing/AppRoutes.jsx:1153-1192"
X06,asset_spine,dispatch / shop / fleet visibility,Connected,Edge duplication,"Asset Spine is the strongest identity core; provider-local mapping edges still exist.",Extend Asset Spine and subordinate edge mappings,"backend/services/asset_spine.py:161-177,457-472; backend/routes/asset_spine.py:223-259; frontend/src/app/routing/AppRoutes.jsx:990-1030,1171-1188"
X07,enterprise_governance,ODS / KPI / AI readers,Partially connected,Scope propagation,"The governance model already carries enterprise hierarchy, but several readers still default to MASCI-only assumptions.",Extend propagation not architecture,"backend/services/enterprise_governance.py:202-233,858-905,1536-1551; backend/routes/ods_intelligence.py:29,75-83; backend/routes/operational_kpis.py:173-187; backend/routes/ai_admin_config.py:47-52"
X08,ODS,Project Health / KPI rollups / executive readers,Overlapping,Duplicate read-side meaning,"Executive visibility exists, but multiple derived readers tell adjacent stories without one hierarchy.",Redesign reporting hierarchy,"backend/routes/ods_intelligence.py:71-123,312-494; backend/routes/project_health.py:4-7; backend/routes/operational_kpis.py:138-152"
X09,legacy operational intelligence,executive reporting stack,Overlapping,Legacy duplication,"Legacy digest architecture duplicates newer visibility surfaces.",Retire legacy lane,"backend/operational_intelligence/routes.py:16-76; backend/operational_intelligence/engine.py:17-24,122-129"
X10,po_requests,Project Health + P&L,Connected but bounded,Source-of-truth boundary,"PO workflow already informs visibility surfaces, but it is not budget authority.",Preserve as procurement input only,"backend/routes/po_requests.py:586-772; backend/routes/project_health.py:167-186; backend/server.py:6619-6754"
X11,Project P&L snapshot,daily_reports,Connected,Derived-only,"P&L snapshot is already useful, but it is a live field-cost view rather than enterprise finance authority.",Keep bounded and refine,"backend/server.py:6619-6754; frontend/src/pages/ProjectPnlPage.jsx:60-339"
X12,AI configuration + translation + briefing,canonical upstream truths,Connected,None,"AI already behaves as a downstream consumer/assistant instead of a truth owner.",Preserve with minor refinement,"backend/routes/ai_admin_config.py:47-52,155-193; backend/routes/translation.py:57-130; backend/routes/ods_intelligence.py:172-219"
