route/surface,role,visible text,banned term,classification,replacement,runtime proof,status
/AdminAIConfiguration,Admin,API keys are managed in,API,TECHNICAL_ADMIN_EXCEPTION,admin settings,static_scan::frontend/src/pages/admin/AdminAIConfiguration.jsx:276,EXEMPT
/AdminAIConfiguration,Admin,Provider API keys never appear in this UI.,API,TECHNICAL_ADMIN_EXCEPTION,admin settings,static_scan::frontend/src/pages/admin/AdminAIConfiguration.jsx:491,EXEMPT
/AdminAIConfiguration,Admin,Primary route:,route,TECHNICAL_ADMIN_EXCEPTION,page,static_scan::frontend/src/pages/admin/AdminAIConfiguration.jsx:733,EXEMPT
/AdminAnalytics,Admin,Lightweight operational telemetry.,telemetry,TECHNICAL_ADMIN_EXCEPTION,activity details,static_scan::frontend/src/pages/admin/AdminAnalytics.jsx:108,EXEMPT
/AdminAnalytics,Admin,Top route count,route,TECHNICAL_ADMIN_EXCEPTION,page,static_scan::frontend/src/pages/admin/AdminAnalytics.jsx:149,EXEMPT
/AdminAnalytics,Admin,No API traffic in window,API,TECHNICAL_ADMIN_EXCEPTION,admin settings,static_scan::frontend/src/pages/admin/AdminAnalytics.jsx:219,EXEMPT
/AdminAnalytics,Admin,API calls,API,TECHNICAL_ADMIN_EXCEPTION,admin settings,static_scan::frontend/src/pages/admin/AdminAnalytics.jsx:36,EXEMPT
/AdminComplianceFindings,Admin,Governance Health,governance,TECHNICAL_ADMIN_EXCEPTION,oversight,static_scan::frontend/src/pages/admin/AdminComplianceFindings.jsx:154,EXEMPT
/AdminComplianceFindings,Admin,"Each finding maps to a specific detector rule (CAPA overdue, identity drift, expired CDL, etc). A clean board here means cross-portal accountability is healthy.",ETC,TECHNICAL_ADMIN_EXCEPTION,estimated cost to finish,static_scan::frontend/src/pages/admin/AdminComplianceFindings.jsx:168,EXEMPT
/AdminDatabase,Admin,"Read-only operational observability. Live cluster snapshot, 30-day storage trend, runway estimate.",snapshot,TECHNICAL_ADMIN_EXCEPTION,saved update,static_scan::frontend/src/pages/admin/AdminDatabase.jsx:128,EXEMPT
/AdminDiagnostics,Admin,Runtime health · system probes · OCC snapshot · scheduler · certification.,runtime,TECHNICAL_ADMIN_EXCEPTION,current view,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:144,EXEMPT
/AdminDiagnostics,Admin,Runtime health · system probes · OCC snapshot · scheduler · certification.,snapshot,TECHNICAL_ADMIN_EXCEPTION,saved update,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:144,EXEMPT
/AdminDiagnostics,Admin,API Health,API,TECHNICAL_ADMIN_EXCEPTION,admin settings,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:155,EXEMPT
/AdminDiagnostics,Admin,OCC Trust Snapshot,snapshot,TECHNICAL_ADMIN_EXCEPTION,saved update,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:161,EXEMPT
/AdminDiagnostics,Admin,Runtime,runtime,TECHNICAL_ADMIN_EXCEPTION,current view,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:171,EXEMPT
/AdminDiagnostics,Admin,"Per-probe health cards, deeper than the OCC snapshot.",snapshot,TECHNICAL_ADMIN_EXCEPTION,saved update,static_scan::frontend/src/pages/admin/AdminDiagnostics.jsx:179,EXEMPT
/AdminEmail,Admin,Auto-routing rules · distribution lists · route catalog.,route,TECHNICAL_ADMIN_EXCEPTION,page,static_scan::frontend/src/pages/admin/AdminEmail.jsx:16,EXEMPT
