finding_id,severity,section,observation,evidence,downstream_impact,operator_value,cognitive_load,friction,recommendation,requires_stakeholder_approval,safe_in_rebuild
UX#1,P2,Section 01,Report # field is editable by the operator but the server unconditionally overwrites with atomic doc_id at submit (Track 22.4b B-03). Editing it is dead-code UX,daily_reports.py L369-374 always sets doc[report_number]=doc[doc_id],ZERO — writes are ignored,confusing,HIGH,LOW,Make input readonly + hide the ""(auto)"" hint,No,Yes
UX#2,P1,Section 03,Section 03 has TWO Yes/No proxies (Delays / Extra Work Today · Weather Impact) that duplicate the constraints[] chip grid. Both flip the same section but require duplicate validation gates (V01/V02) that fire two toast errors,NewDailyReport.jsx L1656-1674 + validate() L958-984,None (advisory only) — but blocks submit with confusing toasts,LOW,MEDIUM,MEDIUM,REMOVE the two Yes/No proxies. Rely on constraints[] presence gate alone. Backend can still derive advisory flags server-side,YES · operator sign-off required,Yes (Rec #3)
UX#3,P1,Section 03,The prompt ""Any safety incidents · injuries · accidents · utility hits · near misses · or inspections today?"" is a paragraph with NO matching Yes/No button — it's just a helper for the next two questions,NewDailyReport.jsx L1676-1683,Confusing labeling,MEDIUM,MEDIUM,LOW,Convert to a single ""Any safety event today?"" question OR turn helper into a small caption above the two Yes/No,No,Yes
UX#4,P1,Photos + AI,TWO stacked AI Summary blocks: DailyOperationalSummarySection (CUTOVER-002) + DailySummaryAssist (22.9A). Same purpose · different UI · operator prompted twice,Screenshot 3 · NewDailyReport.jsx L2877-2897,Duplicate typing / ambiguity about which one PM sees,LOW,HIGH,HIGH,COLLAPSE into a single DailySummaryAssist. Retire DailyOperationalSummarySection component or repurpose as a read-only preview of what will be sent to PM,YES,Yes (Rec #8)
UX#5,P2,Section 04+ Presence gates,Four presence gates (Crews · Subs · Visitors · Equipment) stack vertically as 4 unrelated Yes/No cards — visual repetition,Screenshot 1,MEDIUM (skimmable but repetitive),MEDIUM,MEDIUM,MEDIUM,Consider a single ""Who was on site today?"" checklist chip picker (MASCI · Subs · Visitors · Equipment) that toggles all four at once,No,Yes (Rec #2)
UX#6,P2,Header,Header carries 5 chips (Completeness · Draft · Quota · SupportID · Lang) + Submit — dense on desktop· crowded on mobile,Screenshot 2,Info density,LOW,MEDIUM,LOW,Move Support ID and Quota to a small overflow menu on mobile,No,Yes
UX#7,P3,Section 07 Equipment,Equipment Detected Today (M-DR-1 Motive) + MotiveVerificationPanel render as TWO adjacent Motive-derived cards,NewDailyReport.jsx L2382-2392,Redundant surfaces,LOW,LOW,LOW,MERGE into a single ""Motive equipment for today"" card with two tabs (Suggested / Verified),No,Yes (Rec #11)
UX#8,P2,Sections 10a + 10b,Two separate ""production"" surfaces: `activities[]` (Track 15.62 legacy) + `production[]` (Track V.2 structured). Both prompt operator to describe same work,NewDailyReport.jsx L2560-2639,Duplicate typing,LOW,MEDIUM,MEDIUM,DEPRECATE activities[] in UI; keep in payload as read-only mirror for historical reports,YES,Yes (Rec #4)
UX#9,P2,Section 11 Delays,Chip grid + RepeatBlock coexist. Chip grid adds a row · RepeatBlock lets you also add rows via +Add. Two paths for same outcome,NewDailyReport.jsx L2729-2760 + 2796,LOW,LOW,LOW,Keep chip grid (fast) · remove the +Add button (redundant) — chips can already cover ""Other""; existing rows still show +Add remove per row,No,Yes
UX#10,P3,Coaching cards,5 LifecycleGuide coaching tips at top of form + HelpTipBlock ×4 nested inside sections. Field crews rarely open them; each adds 44px of screen real estate,Screenshot 1 · NewDailyReport.jsx L1450 + L1982 + L2380 + L2444 + L2570,Info density,LOW,LOW,LOW,COLLAPSE all coaching into one ""Show coaching tips (0 read today)"" chip near the header,No,Yes (Rec #7)
