proof_id,truth_surface_loc,route,concept,expected_canonical_state,reason_deferred,post_save_test,status
BP-0001,frontend/src/components/AutoEmailRoutingPanel.jsx:56,AutoEmailRoutingPanel,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load AutoEmailRoutingPanel as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0002,frontend/src/components/CloudArchivesPanel.jsx:213,CloudArchivesPanel,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load CloudArchivesPanel as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0003,frontend/src/components/DispatchLiveSnapshot.jsx:107,DispatchLiveSnapshot,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load DispatchLiveSnapshot as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0004,frontend/src/components/DispatchMapHero.jsx:94,DispatchMapHero,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load DispatchMapHero as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0005,frontend/src/components/DriverCommandProfile.jsx:189,DriverCommandProfile,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load DriverCommandProfile as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0006,frontend/src/components/EquipmentStatusBoard.jsx:105,EquipmentStatusBoard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load EquipmentStatusBoard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0007,frontend/src/components/FlAccountabilityWidget.jsx:164,FlAccountabilityWidget,expiring_rate,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load FlAccountabilityWidget as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0008,frontend/src/components/HrCompletenessTile.jsx:141,HrCompletenessTile,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load HrCompletenessTile as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0009,frontend/src/components/NotificationBell.jsx:451,NotificationBell,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load NotificationBell as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0010,frontend/src/components/OperationsTrustCenter.jsx:761,OperationsTrustCenter,health_score,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load OperationsTrustCenter as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0011,frontend/src/components/PlatformTrustDashboard.jsx:591,PlatformTrustDashboard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load PlatformTrustDashboard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0012,frontend/src/components/QueueStatusPill.jsx:385,QueueStatusPill,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load QueueStatusPill as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0013,frontend/src/components/RoutingStatusPanel.jsx:153,RoutingStatusPanel,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load RoutingStatusPanel as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0014,frontend/src/components/SafetyOperationalKpisCard.jsx:124,SafetyOperationalKpisCard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyOperationalKpisCard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
BP-0015,frontend/src/components/SafetyTrenchIntelligenceCard.jsx:190,SafetyTrenchIntelligenceCard,status,governed color/state derives from canonical owner (not raw sign/existence),pre-save frontend fail-closes against Checkpoint-3 attestation (dead-end #24); cannot serve authorized UI,"after owner Save+attestation: load SafetyTrenchIntelligenceCard as authorized role, assert rendered color/state matches canonical API value at widths 390/768/1024/1440",DEFERRED_POST_SAVE_ATTESTATION
