surface_type,path_or_endpoint,classification,auth_owner_or_guard,anonymous_safe_contract,current_runtime_status,notes
route,/,PUBLIC,None,Public home must never require auth or show session-expired UI,Verified 2026-08-09,Signed-out browser shows Sign In and no privileged shell
route,/field,PUBLIC,None,Field tile landing is public,Verified 2026-08-09,
route,/daily/submit,PUBLIC,None,Public daily-report workflow,Verified 2026-08-09,Public route/browser proof passed; anonymous-safe lookup hardening still being broadened
route,/equipment/submit,PUBLIC,None,Public equipment pre-op workflow,Verified 2026-08-09,Now uses anonymous device draft continuity + anonymous-safe equipment lookup
route,/shift,PUBLIC,None,Public shift-start workflow,Verified 2026-08-09,
route,/fleet/dvir/new,PUBLIC,None,Public DVIR workflow,Verified 2026-08-09,Now uses anonymous device draft continuity
route,/fleet/weekly-lead/new,PUBLIC,None,Public weekly lead trucking workflow,Verified 2026-08-09,
route,/fleet/weekly-emergency/new,PUBLIC,None,Public weekly emergency trucking workflow,Verified 2026-08-09,
route,/field/calculators,PUBLIC,None,Public no-login material tools,Verified 2026-08-09,
route,/safety,PUBLIC,None,Public Safety tile landing,Verified 2026-08-09,
route,/safety/inspections/new,PUBLIC,None,Public site inspection workflow,Verified 2026-08-09,Security corrected from portal-only drift
route,/meetings/submit,PUBLIC,None,Public safety-meeting workflow,Verified 2026-08-09,Public route/browser proof passed; anonymous-safe lookup hardening applied
route,/incidents/report,PUBLIC,None,Public incident-report workflow,Verified 2026-08-09,Uses anonymous-safe project lookup after current hardening
route,/jha,PUBLIC,None,Public JHA workflow,Verified 2026-08-09,
route,/trench-safety,PUBLIC,None,Public trench-safety workflow,Verified 2026-08-09,
route,/trench-safety/excavation/new,PUBLIC WORKFLOW,None,Public excavation submission route stays signed-out and now carries the governed draft/device + duplicate-submit contract,Verified 2026-08-10,Runtime QA now proves draft status restore/discard prompt public-safe roster fallback and idempotent submit
route,/safety/cards,PUBLIC,None,Public safety cards workflow,Verified 2026-08-09,
route,/safety/forms,PUBLIC,None,Public safety-forms hub,Verified 2026-08-09,
route,/safety/forms/equipment-issuance/new,PUBLIC,None,Public safety equipment issuance workflow,Verified 2026-08-09,Now uses anonymous device draft continuity + anonymous-safe roster/project lookup
route,/safety/forms/equipment-training/new,PUBLIC,None,Public safety equipment training workflow,Verified 2026-08-09,Now uses anonymous device draft continuity + anonymous-safe roster/project lookup
route,/guidance,PUBLIC / MIXED CONTENT,None at route entry,General guidance entry is public; protected portal-specific content must intentionally ask for auth,Verified 2026-08-09,Signed-out guidance landing loads with no session-expired UI
route,/guidance/portal-hr-identity,PUBLIC GUIDANCE,None,Portal overview article is public educational content,Verified 2026-08-09,Signed-out route loads and preserves explicit sign-in CTA only
route,/guidance/hr-01-portal-intro,ROLE-RESTRICTED GUIDANCE,Server visibility filter,Protected HR training must not render signed-out,Verified 2026-08-09,Signed-out route returns guidance-level "Not available" instead of session-expired or random 401
route,/training,PUBLIC / MIXED CONTENT,None,General training hub is public while protected tracks must render intentional sign-in guidance instead of leaking content or showing session-expired UI,Verified 2026-08-09,Signed-out runtime now proves HR and Field Leadership tracks point to governed login routes
route,/training/field,PUBLIC TRAINING,None,Field training track is public educational content,Verified 2026-08-09,No-login field training remains directly readable
route,/training/shop,ROLE-RESTRICTED TRAINING,trainingAudienceAllowed(shop),Shop training content requires Shop or PM or Admin access,Verified 2026-08-09,Signed-out route resolves to training-level access boundary rather than portal-session noise
route,/training/pm,ROLE-RESTRICTED TRAINING,trainingAudienceAllowed(pm),PM training content requires PM or Admin access,Verified 2026-08-09,Signed-out route resolves to training-level access boundary rather than portal-session noise
route,/training/admin,ROLE-RESTRICTED TRAINING,trainingAudienceAllowed(admin),Admin training content requires Admin access,Verified 2026-08-09,Signed-out route resolves to training-level access boundary rather than portal-session noise
route,/training/hr,ROLE-RESTRICTED TRAINING,trainingAudienceAllowed(hr),HR training content requires HR or Admin access,Verified 2026-08-09,Signed-out route shows intentional HR sign-in CTA
route,/training/leadership,ROLE-RESTRICTED TRAINING,trainingAudienceAllowed(leadership),Field Leadership training content requires Field Leadership portal or Admin access,Verified 2026-08-09,Signed-out route shows governed `/field-leadership/portal/login` CTA
route,/training/field/packet,PUBLIC DOWNLOAD,None,Field packet remains public onboarding material,Verified 2026-08-09,Direct route hands off to public PDF endpoint
route,/training/shop/packet,ROLE-RESTRICTED DOWNLOAD,trainingAudienceAllowed(shop),Shop packet requires Shop or PM or Admin access,Verified 2026-08-09,Auth-aware packet route gates before download
route,/training/pm/packet,ROLE-RESTRICTED DOWNLOAD,trainingAudienceAllowed(pm),PM packet requires PM or Admin access,Verified 2026-08-09,Auth-aware packet route gates before download
route,/training/admin/packet,ROLE-RESTRICTED DOWNLOAD,trainingAudienceAllowed(admin),Admin packet requires Admin access,Verified 2026-08-09,Auth-aware packet route gates before download
route,/training/hr/packet,ROLE-RESTRICTED DOWNLOAD,trainingAudienceAllowed(hr),HR packet requires HR or Admin access,Verified 2026-08-09,Signed-out route shows intentional HR sign-in CTA and backend returns 401 without auth
route,/training/leadership/packet,REDIRECT / PROTECTED TRACK HANDOFF,supportsTrainingPacket(leadership)=false,Unsupported packet routes must never expose a broken or unguarded download path,Verified 2026-08-09,Direct route now redirects to `/training/leadership`
route,/admin,AUTHENTICATED PORTAL,RequireAdmin / directory admin,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/pm,AUTHENTICATED PORTAL,RequirePm,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/hr,AUTHENTICATED PORTAL,RequireHr,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/safety-portal,AUTHENTICATED PORTAL,RequireSafetyPortal,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/dispatch-portal,AUTHENTICATED PORTAL,RequireDispatch,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/shop,AUTHENTICATED PORTAL,RequireShop,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,Protected even though not listed in latest amendment; preserved current governed login until explicitly reclassified
route,/field-leadership/portal/dashboard,AUTHENTICATED PORTAL,RequireFieldLeadershipPortal,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/leadership,AUTHENTICATED PORTAL,RequireFieldLeadershipPortal / leadership login,Protected portal must redirect to governed auth when signed out,Verified 2026-08-09,
route,/safety-portal/audits,ROLE-RESTRICTED,RequireSafetyPortal,Safety Audit remains protected,Verified 2026-08-09,
api,/api/public/jobs-lookup,PUBLIC,None,Anonymous-safe project lookup only: id/project_number/project_name/location/client,Verified 2026-08-09,Created to replace leaking /api/jobs usage on public forms
api,/api/public/equipment-master-lookup,PUBLIC,None,Anonymous-safe equipment lookup only: id/unit_number/year/make/model/make_model/display_label/category/preop_equipment_type,Verified 2026-08-09,Created to replace leaking /api/equipment-master usage on public forms
api,/api/hr/employee-roster/public,PUBLIC,None,Anonymous-safe employee roster only: id/name/employee_id/trade/role/crew/active,Verified 2026-08-09,No private HR/contact/pay data
api,/api/employees/competent-persons/public,PUBLIC,None,Anonymous-safe competent-person roster for public trench workflows,Verified 2026-08-10,Runtime QA proves signed-out access with roster options and no portal dependency
api,/api/trench-safety/excavations/public/submit,PUBLIC + IDEMPOTENT,Idempotency-Key supported,Public excavation submission creates one canonical record per idempotency key,Verified 2026-08-10,Runtime QA proves same key returns the same record identity
api,/api/trench-safety/excavations/{id}/public/reinspection-request,PUBLIC + IDEMPOTENT,Idempotency-Key supported,Public foreman reinspection requests stay public but duplicate clicks must not stamp duplicate reinspection history,Verified 2026-08-10,Contract guard now freezes duplicate prevention on the post-submit reinspection path
api,/api/training/packet.pdf?track=field,PUBLIC DOWNLOAD,None,Field packet remains publicly downloadable onboarding material,Verified 2026-08-09,Focused runtime regression proves public PDF access still works
api,/api/training/packet.pdf?track=shop,AUTHENTICATED DOWNLOAD,shop / pm / admin token,Shop packet must stay protected,Verified 2026-08-09,Route remains gated before PDF render
api,/api/training/packet.pdf?track=pm,AUTHENTICATED DOWNLOAD,pm / admin token,PM packet must stay protected,Verified 2026-08-09,Route remains gated before PDF render
