phase,included_in_pdf,pdf_section,formatting,evidence_source,recommendation
Executive Summary Card,YES,page 1,condensed lines (R-PDF-1),_render_daily::compose_exec_lines,KEEP
Project header (project/doc_id/date/prepared_by/location/GPS),YES,page 1 header,fixed,daily_reports doc,KEEP
Audit footer (Official Record · doc_id · sha256 · rendered UTC),YES,@bottom-center print slot,CSS content,pdf_render.py::_compute_audit_envelope_sha256,KEEP
Weather snapshot(s),YES,section 02,3-col grid + summary,weather_snapshots + weather_summary,KEEP
Delays / Weather Impact Yes/No,YES,section 03,text,doc,KEEP
Accidents / Injuries Yes/No + notes,YES,section 03,text + amber box,doc,KEEP
Safety escalation (notified/who/when/incident-report/time),YES,section 03,red-emphasis block,doc,KEEP
Excavation activity + linked_excavation_ids,YES,section 03,text + list,doc + trench_excavations,KEEP
Narrative sections (work_completed/delays/inspections/materials_received/follow_ups/tomorrow_plan),YES,after section 03,structured block (Track 15.62),narrative_sections,KEEP (rarely populated)
MASCI crews (rows: name/trade/hours/start-lunch-stop/work_performed),YES,section 04,table,masci_crews[],KEEP
Total crew hours,YES,section 04 footer,derived,derived,KEEP
Subcontractors,YES,section 05,table + row photos,subcontractors[],KEEP
Visitors,YES,section 06,table,visitors[],KEEP
Equipment,YES,section 07,table,equipment[],KEEP
Materials in,YES,section 08,table + ticket photos,materials[] + ticket_photos[],KEEP
Outbound materials,YES,section 09,table,outbound_materials[],KEEP
Activities (legacy) + Production (structured),YES,sections 10a/10b,tables,activities[] + production[],CONSOLIDATE (Rec #4)
Delays / Constraints,YES,section 11,table with type + hours + notes + advisory flags,constraints[],KEEP
Advisory flags (may_require_rfi / may_affect_schedule),YES,inline,badge,server-derived,KEEP
Photos + captions,YES,section 12,grid,photos[] + photo_captions[],KEEP
Attachments (PDF/Excel/CSV),YES,section 12,list,attachments[],KEEP
Tomorrow / Follow-Up plan,YES,section 13,text,narrative_sections.tomorrow_plan,KEEP
🔴 P1 — ai_accepted_summary (accepted AI draft),**NO** — NOT embedded in V1 PDF today,—,—,daily_reports.ai_accepted_summary — never referenced in pdf_render.py::_render_daily,**Rec #14 · TRACK 22.9C must embed accepted_summary into the V1 PDF renderer**
🔴 P1 — ai_accepted_summary_meta (provider/latency/evidence refs),NO,—,—,daily_reports.ai_accepted_summary_meta,Rec #14 · surface as small provenance line
🔴 P1 — photo intel observations (ai_tags/ai_caption),NO,—,—,dr_v2_photo_intelligence — ODS enrichment writes ai_tags to photo_evidence_fact but PDF never reads,Rec #14 · add per-photo caption/tags to photos section
Distribution list,YES,footer,list,distribution_list[],KEEP
Signature (prepared_by),YES,footer,image,prepared_by_signature,KEEP
Superintendent signature,NO (retired DR-FIX-3),—,—,—,KEEP retired
Team snapshot,NO (internal-only),—,—,team_snapshot,KEEP (backend audit only)
Team roster / PM binding,NO (internal-only),—,—,team_snapshot,KEEP internal
Trust Spine correlation_id / stages,NO,—,—,trust_spine_events,KEEP internal
Readability score,manual review,not measured today,—,—,DEFER — no readability tool wired
