file_path,check_name,category,pre_fix_state,post_fix_state,action,rationale
backend/lib/master_data_trust.py,_pm_assignment_findings filter,truth_source,"{""is_active"": {""$ne"": False}} — reads a field that does not exist on jobs_master; ignores deleted_at","{""active"": True, ""deleted_at"": {""$in"": [None, """"]}} — matches jobs_master.list_jobs() canonical helper",TRUTH_ALIGNED,"Audit was silently including soft-deleted test rows and mislabeling its intent (used is_active which never exists). Aligned to canonical filter used by /api/jobs, /api/admin/pm-email-coverage, and every server.py caller."
backend/routes/admin_deployment_readiness.py,email_routing_audit_v2.status allowlist,audit_contract,"9 statuses (ok, sent, delivered, failed, skipped, dead_letter, dead-letter, routed_to_dead_letter, dry_run, dry-run, resolved)","10 statuses (added needs_configuration)",ALLOWLIST_ADDED,"needs_configuration is a documented status written by routes/transportation_dispatch_gate.py and lib/transport_automation.py when a routing rule matches but no recipient is resolvable. Same fact already surfaced as pm_missing_route advisory — prevents double-counting. Passes all 5 allowlist conditions."
backend/tests/test_pre_deployment_release_safety.py,test_no_route_removals,shell_reader_adaptation,"reads only frontend/src/App.js","reads App.js AND app/routing/AppRoutes.jsx",REPLACED_SAME_INTENT,"Route wiring moved to AppRoutes.jsx in a prior track. Same route prefixes still enforced to exist somewhere in the shipped shell."
backend/tests/test_track_15_79c_dispatch_task_retention.py,schedule_auto_email strong-ref,shell_reader_adaptation,"reads only server.py","reads server.py AND lib/email_dispatch.py",REPLACED_SAME_INTENT,"schedule_auto_email was extracted to lib/email_dispatch.py in Track 22.1B. Strong-reference pattern lock preserved."
backend/tests/test_track_15_81_dispatch_map_portal.py,dispatch RBAC,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated. RBAC / URL guards still enforced."
backend/tests/test_track_15_82_dispatch_layout_rolloff.py,dispatch layout + Roll-Off taxonomy,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_15_83_production_excellence_lockup.py,production excellence lockup,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_15_83b_production_excellence_sweep.py,production excellence sweep,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_15_84_forgedops_production_excellence_certification.py,forgedops cert,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_15_85_mandatory_full_platform_certification.py,platform certification,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_15_86_browser_smoke_gate.py,browser smoke shape lock,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated. Route list / breakpoints / assertions unchanged."
backend/tests/test_track_16_04_transportation_foundation.py,transport foundation,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_16_06_transportation_experience_layer.py,transport experience layer,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_00_phase_e_portal_transformation.py,portal transformation,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_00_phase_f_portal_aware_data_layer.py,portal-aware data layer,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_00_phase_g_final_polish.py,phase G final polish,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_00e_fix_transportation_portal_rehome.py,transportation portal rehome,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_01_human_operability_review.py,human operability review,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_02_human_excellence.py,human excellence,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
backend/tests/test_track_18_09c_transportation_ownership.py,transport ownership,shell_reader_adaptation,"reads only App.js","reads App.js AND AppRoutes.jsx",REPLACED_SAME_INTENT,"Route file relocated."
