decision_id,overlap_area,evidence,duplication_status,reuse_suitability,decision,notes,evidence_anchor
D01,Daily Report legacy shell vs canonical submit route,"`/daily-report/v2` explicitly redirects to `/daily/submit`; legacy shell retained for tests only",CONFIRMED_OVERLAP,HIGH,CONSOLIDATE,"Do not build a second field-entry surface; preserve `/daily/submit` as canonical",frontend/src/app/routing/AppRoutes.jsx:6; 620-670
D02,PM/Admin staffing wrappers vs shared staffing hub,"PM and Admin pages are thin shells over `ProjectStaffingHub`",CONFIRMED_SHARED_CONSUMER,HIGH,REUSE_AS_IS,"Keep one shared staffing core with role shells",frontend/src/pages/pm/PmProjectStaffing.jsx:1-15; frontend/src/pages/admin/AdminProjectStaffing.jsx:1-15
D03,Project identity governance vs project identity authority,"Governance route states it detects drift and NEVER mutates",NOT_DUPLICATE,HIGH,REUSE_AS_IS,"Keep governance queue separate from `jobs_master` authority",backend/routes/project_identity_governance.py:4-10
D04,Cost code registry vs project assigned cost codes,"Registry is `cost_code_registry`; project execution authority is `jobs_master.assigned_cost_codes`",ROLE_SPLIT_NOT_DUPLICATE,HIGH,REUSE_AS_IS,"Document the split instead of collapsing it",backend/routes/cost_codes.py:48; backend/services/cost_codes/foundation.py:978-1025
D05,Project assigned cost codes vs ODS project config,"Projection helper writes derivative config with explicit `source_authority` metadata",DERIVATIVE_PROJECTION,HIGH,CONNECT,"Keep derivative config, but never promote it to source authority",backend/services/cost_codes/foundation.py:978-1025
D06,Schedule workspace vs lookahead concept,"Lookahead / rollover already lives in planning lifecycle and schedule routes",EMBEDDED_CAPABILITY,HIGH,EXTEND,"No justification for BUILD_NEW lookahead module",backend/routes/cost_codes.py:760-883; backend/services/cost_codes/foundation.py:206-291
D07,Monday review workspace vs Monday briefing docs,"Workspace persists review state; briefing persists derived communication artifact",COMPLEMENTARY_NOT_DUPLICATE,HIGH,REUSE_AS_IS,"Retain both layers with explicit owner boundaries",backend/services/cost_codes/oppc_execution.py:174-730; backend/services/cost_codes/oppc_briefings.py:21-299
D08,Daily Reports vs Safety Daily Report view,"Safety route explicitly describes read-only projection into Daily Report stream",PROJECTION_NOT_DUPLICATE,HIGH,REUSE_AS_IS,"Do not fork safety-specific record truth",backend/routes/safety_portal/daily_reports.py:1-18
D09,OPPC recap/intelligence vs ODS intelligence,"OPPC is project-control recap/workspace focused; ODS is derived fact/KPI dashboarding",PARTIAL_OVERLAP,MEDIUM,CONNECT,"Connect shared trust lines and avoid duplicating KPI semantics",backend/routes/oppc_execution.py:198-868; backend/routes/ods_intelligence.py:1-731
D10,ODS intelligence vs legacy operational-intelligence engine,"Both are intelligence lanes; one is ODS dashboarding, the other is productized digest/dispatch/history",CONFIRMED_PARALLEL_LANES,MEDIUM,CONSOLIDATE,"A fourth intelligence framework is not justified",backend/routes/ods_intelligence.py:1-731; backend/operational_intelligence/routes.py:12-489
D11,PM command center vs project health vs executive ops center,"Three read-side aggregators exist over shared upstream truth",PARTIAL_OVERLAP,MEDIUM,CONNECT,"Clarify audience and KPI hierarchy instead of replacing all three",backend/routes/pm_command_center.py:1-23; backend/routes/project_health.py:1-517; backend/routes/oppc_execution.py:700-727
D12,Manual CSV fallback vs future provider integrations,"Source explicitly frames CSV mapping as fallback before credentials are available",STAGED_CAPABILITY,HIGH,CONNECT,"Retain fallback while adding provider connectors later",backend/routes/integrations/imports_exports.py:1-335
