kpi_name,proof_label,purpose,source,formula,grain,time_horizon,owner,freshness,reconciliation_rule,confidence,limitations,drill_down_path,role_visibility,actionability
Approved Budget,DOCUMENTED_ONLY,"state current approved project budget","budget subsystem","sum(current approved budget lines)","cost code/phase/project/division/company","current approved version","finance + project controls","near-real-time after approval","must equal current approved budget snapshot","high once budget active","not valid before budget subsystem activation","executive -> project -> phase -> cost code -> budget line","executive, finance, PM","trigger budget variance review"
Original Budget,DOCUMENTED_ONLY,"preserve initial approved budget baseline","budget subsystem","sum(original budget version)","project/division/company","baseline","finance + project controls","immutable after approval","never changes after baseline approval","high once active","does not include later approved changes","executive -> project -> baseline version","executive, finance, PM","compare against current budget and EAC"
Commitments,DOCUMENTED_ONLY,"show obligated future spend","budget subsystem + PO bindings","sum(open + approved commitments)","cost code/project/division/company","current","finance/procurement","daily","must reconcile to commitment ledger and linked PO/subcontracts","medium-high","until subcontract path is fully active PO will dominate","executive -> project -> commitment ledger -> PO/subcontract","executive, finance, PM","review exposure and pending commitment coverage"
Actual Cost,DOCUMENTED_ONLY,"show recognized project-controls actual cost","budget subsystem + reconciled external actuals","sum(actual cost transactions)","cost code/project/division/company","current cutoff","finance/accounting","daily or accounting sync","must reconcile to external accounting/payload source where applicable","medium-high","not a GL replacement","executive -> project -> transaction class -> source record","executive, finance, PM","review actual burn and anomalies"
Cost to Complete,DOCUMENTED_ONLY,"show expected remaining cost","forecast subsystem","approved ETC sum","cost code/project/division/company","current forecast","PM + controls + finance","weekly forecast cycle","must reconcile to forecast snapshot and assumptions","medium","assumption-sensitive","executive -> project -> forecast snapshot -> assumptions","executive, finance, PM","review forecast risk"
Estimate at Completion,DOCUMENTED_ONLY,"show expected total final cost","forecast subsystem","Actual Cost + Cost to Complete","cost code/project/division/company","current forecast","finance + project controls","weekly forecast cycle","must tie to actual + ETC at same cutoff","medium-high","depends on actual completeness","executive -> project -> EAC detail","executive, finance, PM","review projected overrun/underrun"
Budget Variance,DOCUMENTED_ONLY,"measure cost expectation against approved budget","budget + forecast subsystems","Estimate at Completion - Current Approved Budget","cost code/project/division/company","current forecast","finance + project controls","weekly forecast cycle","must use same approved budget version as EAC comparison","medium-high","variance meaningless before budget activation","executive -> project -> variance detail","executive, finance, PM","escalate variance thresholds"
Committed Cost Coverage,DOCUMENTED_ONLY,"show how much of approved budget is already obligated","budget + commitment subsystems","Commitments / Current Approved Budget","project/division/company","current","finance/procurement","daily","same budget version required","medium","sensitive to PO/subcontract timing","executive -> project -> commitments","executive, finance, PM","watch procurement exposure"
Revenue Forecast,DOCUMENTED_ONLY,"show expected project revenue outcome","budget/commercial layer + accounting mirror","approved revenue forecast or contract-adjusted earned revenue logic","project/division/company","current forecast","finance","weekly/monthly","must reconcile to contract/change/revenue assumptions","medium","depends on commercial data availability","executive -> project -> contract/revenue detail","executive, finance","review commercial outcome"
Billing To Date,DOCUMENTED_ONLY,"show invoiced value to customer","commercial/billing layer or accounting mirror","sum approved billed amounts","project/division/company","current cutoff","finance","daily or accounting sync","must reconcile to billing records","medium-high","external accounting may remain authoritative","executive -> project -> billing detail","executive, finance, PM","track invoice progress"
Cash Collected,DOCUMENTED_ONLY,"show collected cash against billings","accounting mirror","sum collected cash receipts","project/division/company","current cutoff","finance/accounting","daily or accounting sync","must reconcile to accounting cash receipt source","medium","outside ForgedOps native operational ownership by default","executive -> project -> receipt detail","executive, finance","monitor collections risk"
Margin At Completion,DOCUMENTED_ONLY,"show expected final profitability","budget + forecast + revenue layers","Revenue Forecast - Estimate at Completion","project/division/company","current forecast","finance + executive","weekly/monthly","must use same revenue and EAC cutoff","medium","depends on revenue truth readiness","executive -> project -> margin components","executive, finance","trigger margin intervention"
CPI,DOCUMENTED_ONLY,"cost efficiency for earned value","EV subsystem","Earned Value / Actual Cost","cost code/phase/project/division/company","current status date","project controls + finance","weekly after EV cycle","requires approved EV and actual-cost truth","medium","blocked where EV confidence is partial","executive -> project -> EV detail","executive, finance, PM","investigate cost performance"
SPI,DOCUMENTED_ONLY,"schedule efficiency for earned value","EV subsystem","Earned Value / Planned Value","cost code/phase/project/division/company","current status date","project controls","weekly after EV cycle","requires approved EV and PV truth","medium","blocked where EV confidence is partial","executive -> project -> EV detail","executive, PM","investigate schedule performance"
