capability_id,capability,br2_position,current_architecture,recommendation,evidence_strength,reuse_pct,technical_debt,business_value,future_scalability,implementation_cost,priority,confidence,why
C01,Project identity / jobs_master,Reuse,"Canonical project root already exists and is broadly consumed.",KEEP EXACTLY AS IS,High,95,Low,High,Medium-High,Low,P1,High,"It is already the correct project anchor and does not create duplicate authority."
C02,Enterprise governance / org-company hierarchy,Build New,"Governance already models tenant, company, division, department, region, authority levels, and org nodes, but downstream propagation is incomplete.",EXTEND,High,80,Medium,Very High,High,Medium,P0,High,"BR2 overstated absence; the architecture exists in governance and should be propagated rather than replaced."
C03,Project team roster / project_team_assignments,Reuse,"Canonical roster and role assignment owner already exists.",KEEP EXACTLY AS IS,High,95,Low,High,High,Low,P1,High,"It already serves the right ownership purpose without obvious duplication."
C04,Cost code registry,Reuse,"Reusable enterprise cost-code definition owner already exists.",KEEP EXACTLY AS IS,High,95,Low,High,High,Low,P1,High,"A second registry would only weaken source-of-truth discipline."
C05,Project cost-code planning,Extend,"Project planning is already persisted on jobs_master.assigned_cost_codes and feeds downstream schedule/progress logic.",EXTEND,High,90,Medium,Very High,High,Medium,P0,High,"The right architecture already exists; it needs refinement, not relocation."
C06,Schedule engine,Extend,"A deterministic, explainable project schedule engine already exists.",EXTEND,High,90,Medium,Very High,High,Medium,P0,High,"Rebuilding would destroy working value without solving the real gaps."
C07,Lookahead / planning lifecycle,Extend,"Planning lifecycle already exists on the same project-controls spine.",EXTEND,Medium-High,88,Medium,High,High,Low-Medium,P1,Medium-High,"The architecture is already coherent enough to extend rather than split out."
C08,Forecast history / overrides,Extend,"Forecast lineage and overrides already live on the canonical schedule path.",EXTEND,High,88,Medium,High,Medium-High,Medium,P1,High,"This should remain inside the existing schedule/planning spine."
C09,Monday review / briefing cadence,Extend,"Operational review cadence already exists and is connected to project-controls truth.",KEEP WITH MINOR REFINEMENT,Medium,90,Low-Medium,High,Medium,Low,P2,Medium,"The concept is right; only bounded refinement is warranted."
C10,Daily production truth / Daily Reports,Extend,"Daily Reports are the primary field-entry spine for labor, materials, equipment, and cost-code quantities.",KEEP WITH MINOR REFINEMENT,High,92,Medium,Very High,High,Low-Medium,P0,High,"Field capture value is already proven; only production fact-boundaries need tightening."
C11,Payroll variance,Reuse,"Weekly labor reconciliation lane already exists and is distinct from field capture.",KEEP EXACTLY AS IS,High,92,Low,High,Medium,Low,P1,High,"It is already useful and bounded; replacing it would add churn, not value."
C12,Constraint architecture,Extend,"Daily field constraints and standing blocker workflows both exist.",EXTEND,High,85,Medium-High,High,Medium-High,Medium,P1,Medium-High,"The architecture needs formal connection rules, not a new subsystem."
C13,Resource federation,Consolidate,"Demand, roster, and deployment exist across planning, team assignments, and dispatch.",CONSOLIDATE,Medium-High,82,High,Very High,High,Medium,P0,Medium-High,"The value is real, but semantics are split across systems and should be tightened."
C14,Equipment identity / Asset Spine,Consolidate,"Asset Spine is a strong permanent registry core, with provider-local seams still around it.",EXTEND,High,88,Medium,High,High,Medium,P1,High,"The right core exists; remaining work is edge normalization, not architectural replacement."
C15,Project Health,Reuse,"Project Health is an explicitly derived friction/attention surface.",KEEP WITH MINOR REFINEMENT,High,85,Low-Medium,Medium-High,Medium,Low,P2,High,"It is valuable as a derived view as long as it stays read-side and bounded."
C16,ODS / executive rollups,Consolidate,"ODS is a real additive read model but overlaps with other executive readers and still carries fixed-tenant assumptions.",REDESIGN,High,75,High,Very High,High,Medium-High,P0,High,"This is the clearest place to simplify architecture without disturbing upstream truth owners."
C17,Operational KPI company rollups,Extend,"Company KPI aggregation exists and is explicitly no-cost/no-budget.",EXTEND,High,82,Medium,High,Medium-High,Low-Medium,P1,High,"The pattern is useful and should remain, but enterprise scope propagation must improve."
C18,Legacy operational intelligence digest,Retire,"A parallel digest/intelligence lane still exists beside newer reporting surfaces.",RETIRE,Medium-High,35,High,Low-Medium,Low,Low,P1,Medium-High,"Retaining it increases overlap more than it preserves unique value."
C19,AI admin / translation / briefing assist,Extend,"Bounded AI capability already exists for configuration, translation, and briefing generation.",KEEP WITH MINOR REFINEMENT,High,86,Medium,High,Medium,Low,P2,High,"AI should remain assistive and downstream of canonical truth, not be expanded as an owner."
C20,Governance and audit backbone,Reuse,"Governed permissions, approval flows, separation rules, and audit surfaces already exist.",KEEP EXACTLY AS IS,High,93,Low,Very High,High,Low,P0,High,"This is one of the most valuable existing architectural assets and should be preserved."
C21,Operator routing / portal architecture,Extend,"Admin, PM, shop, HR, safety, dispatch, field leadership, and executive routes already exist in one application shell.",EXTEND,High,84,Medium,Very High,High,Medium,P1,High,"The platform already supports real role-specific operating surfaces; hierarchy should be tightened, not rebuilt."
C22,Project P&L snapshot,None,"A live job-cost snapshot already exists from daily reports, labor-rate input, and materials.",KEEP WITH MINOR REFINEMENT,High,80,Medium,High,Medium,Low-Medium,P1,High,"It is useful and preservable, but must stay clearly bounded as a live snapshot rather than a budget owner."
C23,PO workflow / procurement approvals,None,"PO requests already track estimated amounts, approved amounts, issue/receipt state, and project linkage.",KEEP WITH MINOR REFINEMENT,High,82,Medium,High,Medium,Low-Medium,P1,High,"It is a strong procurement-adjacent control and should feed, not become, budget authority."
C24,Budget hierarchy,Build New,"No canonical budget baseline or controller-grade budget owner was evidenced.",BUILD NEW,Medium-High,65,Very High,Very High,High,High,P0,High,"This layer is genuinely missing, but it should be built on preserved upstream architecture."
C25,Earned value,Build New,"No canonical EV owner, formulas, or rollup layer was evidenced.",BUILD NEW,High,60,Very High,High,High,High,P0,High,"This is still net-new, but only as a derived layer after budget exists."
