field_group,label,internal_key,type,required,default,validation,where_shown,when_shown,who_fills,source_of_options,in_pdf,in_email,pm_sees,safety_sees,hr_sees,shop_sees,dispatch_sees,admin_sees,ods_ingests,trust_spine_records,ai_uses,photo_ai_uses,historical_dep,billing_compliance_dep,operator_friction,business_value,recommendation,reason
01_report_info,MASCI Job (picker),—,combobox,No,—,client-side lookup,section-01,always,supervisor,jobs_master,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,LOW,HIGH,KEEP,Reduces typing / drives Smart Prefill / superintendent auto-fill.
01_report_info,Project Name *,project_name,text,Yes,job-picker,non-empty,section-01,always,supervisor,manual/job,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LOW,CRITICAL,KEEP,Anchors every downstream surface.
01_report_info,Project Number,project_number,text,No*,job-picker,—,section-01,always,supervisor,manual/job,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LOW,CRITICAL,KEEP,Foreign key for team_snapshot / Motive / Trust Spine / PM scope.
01_report_info,Location *,location,text+GPS,Yes,GPS→reverse-geocode,non-empty,section-01,always,supervisor,GPS/manual,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,LOW,HIGH,KEEP,Compliance evidence; GPS-anchored.
01_report_info,GPS lat/lng/accuracy,gps_lat/gps_lng/gps_accuracy,coords,No,GPS button,—,section-01,after GPS,supervisor,browser geolocation,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,Yes,ZERO(auto),MEDIUM,KEEP,Silent · one-tap.
01_report_info,Date *,report_date,date,Yes,today,ISO,section-01,always,supervisor,today,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,LOW,CRITICAL,KEEP,Chronology anchor.
01_report_info,Report # (auto),report_number,text,No,DR-YYYY-NNNNN,server rewrites at insert,section-01,always,server,doc_id_counters,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,LOW,CRITICAL,KEEP,server-authoritative — client field should be READONLY (see UX finding #1).
01_report_info,Prepared By *,prepared_by,combobox,Yes,FL-user auto-fill,non-empty,section-01,always,supervisor,fl_users,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Accountability. `prepared_by_identity` bound when portal token present.
01_report_info,Superintendent,superintendent,combobox,No,jobs_master→prior DR,role gate,section-01,always,supervisor,fl_users,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,Yes,No,ZERO(auto),MEDIUM,KEEP,Superintendent signature retired (DR-FIX-3 R13); this is informational only.
02_weather,Weather (snapshots),weather_snapshots,array,No,GPS+fetch,—,section-02,after GPS,auto,openmeteo,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,ZERO(auto),MEDIUM,KEEP,Auto-fill · zero friction · claims defense.
02_weather,Weather Summary,weather_summary,text,No,auto-derived,—,section-02,after GPS,auto,openmeteo,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,ZERO,MEDIUM,KEEP,AI summary uses this string.
03_general,Delays / Extra Work Today?,schedule_delays,YesNo,No,No,—,section-03,always,supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,LOW,HIGH,MERGE,see Rec #3 · gates the constraints[] card but is redundant with the presence gate.
03_general,Weather Impact?,weather_impact,YesNo,No,No,—,section-03,always,supervisor,manual,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,LOW,MEDIUM,MERGE,Redundant with constraint chip 'Weather' — see Rec #3.
03_general,Any Accidents on Site?,safety_incidents_today,YesNo,No,No,—,section-03,always,supervisor,manual,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,Yes,Yes,LOW,CRITICAL,KEEP,Safety trigger · gates escalation block.
