challenge_id,domain,wp18b_proposed_owner,challenge_findings,challenge_result,revised_constitutional_owner,evidence_source,confidence_level,executive_impact,recommended_status
S01,Project identity,jobs_master,"Searched for hidden ownership elsewhere; project_identity_governance surfaces drift/remediation governance, not a second project master",SURVIVES,jobs_master,"WP18A_EXECUTIVE_AUDIT_REPORT.md:66-83; WP18B_AUTHORITY_MATRIX.csv:A01; project_identity_governance search 2026-08-03",HIGH,"Project identity remains singular, but remediation operating ownership is still separate from data ownership",APPROVED
S02,Project team roster,project_team_assignments,"Daily Reports crews and staffing summaries were tested as possible competing owners; they are actuals/derived consumers, not the planned team roster owner",SURVIVES,project_team_assignments,"WP18B_AUTHORITY_MATRIX.csv:A02; OPPC_CANONICAL_DATA_OWNERSHIP.md:35-37",HIGH,"Roster truth survives challenge and remains reusable",APPROVED
S03,Cost-code definitions,cost_code_registry,"No alternate registry, ERP-fed catalog, or estimating master was proven; WP18A explicitly noted external estimating/ERP synchronization was not proven",SURVIVES,cost_code_registry,"WP18A_COST_CODE_FORENSIC_AUDIT.md:15-18,70; WP18BR cost-code review evidence set",HIGH,"Registry ownership survives; external estimating/ERP remains an unevidenced future boundary",APPROVED
S04,Project-specific cost-code assignments,jobs_master.assigned_cost_codes,"Owner survives, but challenge found missing evidence for explicit revision ledger, freeze semantics per revision, or external import/approval governance beyond publish/workflow events",PARTIALLY_SURVIVES,"jobs_master.assigned_cost_codes with ratified requirement for explicit revision/approval governance","backend/routes/cost_codes.py:379-466,760-920; OPPC_CANONICAL_DATA_OWNERSHIP.md:27-31",HIGH,"Core owner is correct, but constitutional governance is not yet complete enough for unquestioned ten-year durability",REVISED
S05,Schedule hierarchy,derived schedule payload from schedule_engine.py,"Project-scope ownership survives, but challenge found missing explicit master-schedule hierarchy and measured portfolio latency bounds for executive full-portfolio usage",PARTIALLY_SURVIVES,"schedule_engine.py over jobs_master.assigned_cost_codes + daily_reports.cost_code_quantities, with executive-scale ratification deferred","WP18A_SCHEDULE_FORENSIC_AUDIT.md; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:16-27,37-45",HIGH,"Project scheduling survives; decade-scale executive scheduling still needs background/cached strategy",REVISED
S06,Lookahead,jobs_master.oppc_planning_lifecycle,"Capability exists, but challenge found it remains embedded, lightly named, and not paired with a separate approval/archive contract beyond lifecycle state",PARTIALLY_SURVIVES,jobs_master.oppc_planning_lifecycle,"WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md; backend/routes/cost_codes.py:760-920",HIGH,"Lookahead should be constitutionally recognized as existing, but not treated as fully governed yet",REVISED
S07,Production tracking,daily_reports,"Challenge found hidden production sub-owners: haul_cycles for truck activity throughput and payroll_variance_batches for governed labor reconciliation; one flat production owner is too coarse",DOES_NOT_SURVIVE_AS_STATED,"Fact family: daily_reports for field production entry, haul_cycles for haul throughput, payroll_variance_batches for weekly labor variance, trust_spine/workflow_state_events for audit evidence","OPPC_DAILY_PRODUCTION_CERTIFICATION.md:18-33; OPPC_CANONICAL_DATA_OWNERSHIP.md:32-42; OPPC_PAYROLL_RECONCILIATION_CERTIFICATION.md:18-27",HIGH,"Production architecture is reusable but must be decomposed into singular fact owners by subtype",REVISED
S08,Constraint management,operational_constraints,"Challenge found a second real constraint fact owner: daily_reports.constraints for daily field constraint facts; operational_constraints owns standing blocker-memory/workflow, not every constraint fact in the platform",DOES_NOT_SURVIVE_AS_STATED,"Dual-lane constitutional model: daily_reports.constraints for daily field facts; operational_constraints for standing blocker registry and workflow","OPPC_CANONICAL_DATA_OWNERSHIP.md:34; WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C15; WP18B_AUTHORITY_MATRIX.csv:A11",HIGH,"Constraint architecture was overstated as singular in WP-18B and must be amended before implementation",REVISED
S09,Equipment identity and planning,equipment_master,"Challenge found Asset Spine constitutional adoption and unresolved external-identifier split across equipment_master and asset_mappings; equipment_master alone is not the full constitutional owner statement",DOES_NOT_SURVIVE_AS_STATED,"Asset Spine over equipment_master for canonical asset registry/identity; dispatch_assignments for active deployment; external identifiers remain unresolved between equipment_master and asset_mappings","BCSS_RELEASE2_PROGRAM2_WAVE3_ASSET_DOMAIN_CONSTITUTIONAL_DECISION_RECORD.md:154-170; backend/routes/asset_spine.py:223-227; WP18B_AUTHORITY_MATRIX.csv:A13",HIGH,"Equipment planning can reuse current engines, but only if Asset Spine is acknowledged and external-ID split is governed",REVISED
S10,Resource and crew planning,"Federated existing owners: assignments + roster + dispatch","Challenge found crew planning was omitted as an explicit constitutional domain and labor governance also depends on payroll_variance_batches + workflow_state_events",DOES_NOT_SURVIVE_AS_STATED,"Resource federation remains correct, but crew planning must be explicit: project_team_assignments for planned roster, daily_reports.masci_crews for field hours, payroll_variance_batches for governed weekly labor reconciliation","OPPC_ENTERPRISE_RESOURCE_COORDINATION.md:7-12,24-38; OPPC_PAYROLL_RECONCILIATION_CERTIFICATION.md:18-27",HIGH,"Resource planning survives only as a decomposed federation with crew planning explicitly added",REVISED
S11,Executive KPI flow,"split derived hierarchy across ODS, Project Health, OPPC, KPI dictionary","Challenge confirmed overlap and added decade-scale latency evidence; a final singular constitutional owner is not yet proven",CHALLENGE_HOLDS,"Deferred pending KPI hierarchy consolidation; current lanes remain bounded derived consumers only","WP17A_EXECUTIVE_KPI_DICTIONARY.md:1-59; OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:24-27,37-45; WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:45-80",MEDIUM_HIGH,"Executive reporting remains one of the largest future drift risks",DEFERRED
S12,Budget hierarchy,no repository-backed owner found,"Challenge found adjacent PO approval workflow, approved/estimated amounts, and project-health consumption, but still no canonical budget baseline, hierarchy, cost-code allocation, or budget variance engine",SURVIVES_AS_BUILD_NEW,"BUILD_NEW canonical budget owner required; reuse po_requests and project_health as adjacent consumers only","backend/routes/po_requests.py:580-712; backend/routes/project_health.py:291-300,355-398; operational_kpis.py:16-17",HIGH,"CFO/controller concerns remain unresolved without a true budget owner",APPROVED
S13,Earned value,no repository-backed owner found,"Challenge searched for EVM/CPI/SPI/planned value/actual cost/earned value engines and found none; adjacent confidence or recovery estimate surfaces do not constitute earned value",SURVIVES_AS_BUILD_NEW,"BUILD_NEW derived earned-value layer required after budget authority exists","Repository-wide search executed 2026-08-03; OPPC_RECOVERY_INTELLIGENCE_CERTIFICATION.md:27; WP18B_AUTHORITY_MATRIX.csv:A16",HIGH,"No hidden earned-value engine exists; pretending otherwise would create deceptive executive reporting",APPROVED
