status,path,class,package,runtime_impact,data_impact,permission_impact,rollback_impact,certification_evidence
M,.emergent/emergent.yml,configuration,Cross-release / infra,Release/deployment identity or config behavior,None or indirect,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
A,.emergent/summary.txt,configuration,Cross-release / infra,Release/deployment identity or config behavior,None or indirect,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
M,.gitignore,configuration,Cross-release / infra,Release/deployment identity or config behavior,None or indirect,No known permission model change,Revert code + restart affected services,Documentation or legacy evidence
D,.screenshots/WAVE5_SAFETY_CERTIFICATION_INSPECTION_REPORT.md,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/acceptance_test_results.json,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_diagnostics.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_governance.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_guide.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_maintenance.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_platform.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_admin_storage.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,Touches auth/role or admin visibility,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_daily_submit.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_dispatch_board.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
D,.screenshots/audit_dispatch_command.png,generated artifact,Cross-release / infra,No direct runtime impact,None or indirect,No known permission model change,Revert file only,Documentation or legacy evidence
