object_domain,authoritative_system,implemented_collection_or_route,allowed_human_writers,derived_or_connected_consumers,wp18c2_status,notes
Project identity,jobs_master,jobs_master,Admin governed identity flows only,PM project controls; Daily Reports; hierarchy bindings,Preserved,Project identity was not replaced.
Enterprise hierarchy,Enterprise governance registry,enterprise_governance_organization,Admin governance only,PM project controls scope; archive linkage,Preserved from WP18C1,Hierarchy remains authoritative for structure.
Project teams,project_team_assignments,project_team_assignments,Existing protected assignment workflows,C1 hierarchy assignments; PM visibility,Preserved,Not replaced in WP18C2.
Employee identity,HR employee authority,employee_records / HR routes,HR/Admin only,Daily Reports snapshots; crew observations,Preserved,Crew intelligence never mutates HR truth.
Equipment identity,Asset Spine / equipment_master,asset_spine routes + equipment_master,Asset/Admin only,Daily Reports; work ledger,Preserved,WP18C2 links usage only.
Enterprise work types,Enterprise work-type registry,enterprise_work_type_registry + /api/admin/governance/project-controls/work-types,Admin only,PM mappings; reporting; work ledger,Implemented new,Enterprise standard layer kept separate from pay items.
Project pay items,Project pay-item registry,project_pay_item_registry + /api/pm/project-controls/projects/{project_number}/pay-items,Project-scoped PM only,Governed mappings; work ledger; lookaheads,Implemented new,Customer/contract truth remains project specific.
Pay-item to work-type mappings,Project controls mapping authority,project_pay_item_work_type_mappings + /api/pm/project-controls/projects/{project_number}/mappings,Project-scoped PM human approval only,Work ledger; PM controls; audit,Implemented new,AI/deterministic suggestion remains non-authoritative.
Project schedules,Existing schedule authority,cost_codes schedule engine / existing schedule routes,Existing PM/Admin schedule authority only,Lookahead initialization; PM controls overview,Extended by connection,Daily Reports never overwrite schedule truth.
Two-week lookaheads,PM project controls authority,project_controls_lookaheads + /api/pm/project-controls/projects/{project_number}/lookahead,Project-scoped PM only,Monday review workspace; PM controls overview,Implemented new,Published planning remains PM-owned.
Daily field actuals,Daily Reports,daily_reports + /api/daily-reports,Existing Daily Report operator journey,Work blocks; work ledger; crew observations,Extended additively,Protected architecture preserved.
Governed work blocks,Daily Reports work-block contract,daily_reports.work_blocks + preview/view surfaces,Derived from Daily Reports or future explicit report entry,Work ledger; PM visibility,Implemented new additive layer,Historical reports version-stamped without fabrication where evidence was insufficient.
Operational work ledger,Derived governed ledger,project_controls_work_ledger,No direct human writer in WP18C2,PM controls; admin evidence; downstream reporting,Implemented new additive layer,Ledger is connected to Daily Reports rather than replacing them.
Crew observations,Crew intelligence observation substrate,project_controls_crew_observations,Derived from Daily Reports only,PM crew review; admin evidence,Implemented new additive layer,Explainable observation only.
Confirmed crews,Governed crew authority,project_controls_confirmed_crews + /api/pm/project-controls/projects/{project_number}/crew-intelligence/confirm,Project-scoped PM human confirmation only,Daily Reports future selection; PM controls,Implemented new,No silent supervision/reporting-line edits.
Constraints,operational_constraints,operational_constraints routes,Existing protected constraints authority,PM controls reference; Daily Reports references,Connected only,Daily Reports may observe but not own lifecycle truth.
QA/QC,Existing QA/QC authority,Protected QA/QC modules,Existing QA/QC roles only,Future work-block references,Preserved,No replacement in WP18C2.
Safety,Existing safety authority,Protected safety modules,Existing safety roles only,Future work-block references,Preserved,No replacement in WP18C2.
Shop maintenance,Existing shop authority,Protected shop routes,Existing shop roles only,Future work-block references,Preserved,Not replaced.
Dispatch deployment,Existing dispatch authority,Protected dispatch routes,Existing dispatch roles only,Future work-block references,Preserved,Not replaced.
Purchase requests,po_requests,po_requests,Existing protected approval roles,Future linkage only,Preserved,WP18C2 did not turn PRs into commitments/accounting.
Payroll reconciliation,payroll_variance,payroll_variance,Existing HR/payroll variance roles only,Reference only,Preserved,Daily Reports remain non-payroll authority.
Project lifecycle and archive,PM project controls authority linked to protected identity,project_controls_project_lifecycle + /api/pm/project-controls/projects/{project_number}/lifecycle|archive|restore,Project-scoped PM only,Hierarchy archive flag; PM controls overview,Implemented new,Archive never deletes records.
Budget truth,Future Budget Hierarchy,Not implemented in WP18C2,None,None,Deferred out of scope,Explicitly blocked to WP18C3.
Earned Value truth,Future EV engine,Not implemented in WP18C2,None,None,Deferred out of scope,Explicitly blocked to WP18C8.
AI output,Advisory only,None authoritative,No autonomous writers,PM/admin human review only,Preserved advisory boundary,No silent approvals or record mutation.
