source_file,source_line,declared_route,owner,family,intended_audience,entry_path,navigation_source,role_requirements,intentionally_hidden,hidden_rationale,canonical_relationship,en_es_compliance,responsive_compliance,certification_evidence,governance_evidence
frontend/src/app/routing/AppRoutes.jsx,517,/,Shared platform / public workflow,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,Public / Shared,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED 390/430/768/1024/1440 + auth/ES,Ledger row already carries certification evidence.
frontend/src/app/routing/AppRoutes.jsx,518,/revise/:token,Shared platform / public workflow,Shared Operational Home and Public Entry,Public / Shared,Token or email handoff,Token or email workflow,Public / Shared,YES,"Surface is meant to open from a tokenized email, QR, or continuity link instead of global navigation.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED,2026-08-02 Level 3 shared/public certification: revise token route verified to render the intentional invalid-token state cleanly with no runtime defects.
frontend/src/app/routing/AppRoutes.jsx,519,/safety,Shared platform / public workflow,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,Public / Shared,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED,2026-08-02 Level 2 Safety certification: public safety entry route opened cleanly in EN/ES with responsive proof.
frontend/src/app/routing/AppRoutes.jsx,520,/safety/forms/login,Safety Operations,Safety Operations,Safety operator / public safety user,Direct sign-in route,Path proof pending,Safety operator / public safety user,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED auth + ES + 390 + no overflow,"Certified after shared auth/session fix + governed hero-shell convergence + ES/mobile login proof (`iteration_108`, screenshot 20260802_023255)."
frontend/src/app/routing/AppRoutes.jsx,521,/safety/forms,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED safety shell + EN/ES + responsive proof (2026-08-02),"Certified after shared Safety sidebar localization fix plus family re-audit at 1440 + 390 (`auto_frontend_testing_agent`, 2026-08-02); route now renders governed Spanish chrome cleanly."
frontend/src/app/routing/AppRoutes.jsx,522,/safety/forms/equipment-issuance/new,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED safety shell + EN/ES + responsive proof (2026-08-02),"Certified after shared Safety sidebar localization fix plus family re-audit at 1440 + 390 (`auto_frontend_testing_agent`, 2026-08-02); route now renders governed Spanish chrome cleanly."
frontend/src/app/routing/AppRoutes.jsx,523,/safety/forms/equipment-issuance/:id,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,YES,"Surface is reached from a parent list, card, or workflow with a runtime record id rather than from primary navigation.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED responsive + live fixture,Ledger row already carries certification evidence.
frontend/src/app/routing/AppRoutes.jsx,524,/safety/forms/equipment-issuance/:id/return,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,YES,"Surface is reached from a parent list, card, or workflow with a runtime record id rather than from primary navigation.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED fixture-backed safety return proof (2026-08-02),2026-08-02 Level 1 Safety certification: issuance return route verified with fixture id 54e109fe-14d4-42a7-bb49-16ce4e8877a4 and responsive proof.
frontend/src/app/routing/AppRoutes.jsx,525,/safety/forms/equipment-training/new,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,NO,"Not intentionally hidden; this is a primary, public, or direct authenticated entry surface.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED safety shell + EN/ES + responsive proof (2026-08-02),"Certified after shared Safety sidebar localization fix plus family re-audit at 1440 + 390 (`auto_frontend_testing_agent`, 2026-08-02); route now renders governed Spanish chrome cleanly."
frontend/src/app/routing/AppRoutes.jsx,526,/safety/forms/equipment-training/:id,Safety Operations,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,Safety operator / public safety user,YES,"Surface is reached from a parent list, card, or workflow with a runtime record id rather than from primary navigation.",PRIMARY_ROUTE,CERTIFIED,CERTIFIED,CERTIFIED responsive + live fixture,Ledger row already carries certification evidence.
