flow_id,domain,upstream_producer,authoritative_store,transforms_or_apis,downstream_consumers,flow_strength,confidence_level,architectural_impact,recommended_disposition,evidence_source
F01,Project identity,"project identity maintenance workflows outside this audit",jobs_master,"project identity governance scan + PM job scoping","PM jobs; staffing; cost-code; ODS; project health",COMPLETE,HIGH,"All downstream controls inherit project identity from the same root owner",REUSE,"WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T01-T02"
F02,Project roster,"Admin/PM roster actions",project_team_assignments,"/api/admin/jobs/{project_number}/team; /api/pm/job/{project_number}/team","team pages; command-center inline roster; staffing summary",COMPLETE,HIGH,"Labor assignment truth already has canonical persistence and APIs",REUSE,"WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T03-T04"
F03,Cost-code definitions,"admin registry maintenance",cost_code_registry,"registry endpoints + normalize_registry_item()","assignment normalizer; admin registry views",COMPLETE,HIGH,"Global code definitions already have a reusable control plane",REUSE,"WP18A_COST_CODE_FORENSIC_AUDIT.md:15-18; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T05"
F04,Project-specific cost-code setup,"PM/admin assignment updates",jobs_master.assigned_cost_codes,"foundation.load_project_assignments() + projection helper","schedule; forecast; OPPC; ODS config",COMPLETE,HIGH,"This is the core project-controls planning flow and must stay singular",EXTEND,"WP18A_COST_CODE_FORENSIC_AUDIT.md:20-39; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T06"
F05,Daily cost-code actuals,"Daily Report submitters entering cost_code_quantities",daily_reports.cost_code_quantities,"load_project_cost_code_actuals() -> progress recompute","progress; schedule; Monday review; executive rollups",COMPLETE,MEDIUM_HIGH,"Field actuals already power the cost/schedule spine",REUSE,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:13-23; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T07"
F06,Daily labor actuals,"Daily Report submitters entering crews",daily_reports.masci_crews,"payroll variance + OPPC execution allocations","payroll reconciliation; Monday review; resource coordination",COMPLETE,MEDIUM_HIGH,"Existing labor actuals should be reused for resource planning",EXTEND,"OPPC_CANONICAL_DATA_OWNERSHIP.md:35-37; OPPC_DAILY_PRODUCTION_CERTIFICATION.md:29-31"
F07,Daily equipment actuals,"Daily Report submitters entering equipment",daily_reports.equipment,"OPPC execution allocations + PM command rollups","production tracking; equipment throughput summaries",COMPLETE,MEDIUM_HIGH,"Existing equipment actuals already exist inside Daily Reports",EXTEND,"OPPC_DAILY_PRODUCTION_CERTIFICATION.md:29-33"
F08,Schedule snapshot,"assigned cost codes + actuals + overrides",derived schedule payload,"schedule_engine -> GET /api/cost-codes/projects/{project_number}/schedule","PM schedule; Monday review; briefing generation",COMPLETE,HIGH,"The schedule flow is already deterministic and reusable",EXTEND,"WP18A_SCHEDULE_FORENSIC_AUDIT.md:30-55; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T08"
F09,Forecast history and override governance,"PM forecast snapshot/override actions","jobs_master.oppc_forecast_history + jobs_master.oppc_forecast_overrides","forecast endpoints + briefing/confidence consumers","PM schedule; Monday briefing; confidence history consumers",COMPLETE,HIGH,"Forecast truth classes already exist and should be formalized, not reinvented",EXTEND,"OPPC_FORECASTING_CRITICAL_PATH_CERTIFICATION.md:8-25; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T09"
F10,Lookahead lifecycle,"cost-code assignment and publish/apply actions",jobs_master.oppc_planning_lifecycle,"planning-lifecycle builders + weekly rollover endpoints","PM schedule; OPPC readiness; Monday review",WEAK_BUT_REAL,HIGH,"Lookahead is present but hidden inside embedded lifecycle semantics",EXTEND,"WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md:13-35; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T10"
