portal,mission_clarity_score,powerful,simple,beautiful,trusted,proven,deployable,durable,relentless_ownership,overall_score,verdict,top_3_strengths,top_3_failures,next_action
Admin,8,8,6,7,7,7,8,7,8,7.3,UNIFIED_WITH_DRIFT,"Real cross-portal signals · integration health surfaced · sidebar V2 grouped domains","Loading OI signals never resolves · Overview clutter · Multiple trust surfaces overlap (Integration Truth vs Deploy Readiness vs Operations Trust Center)","Consolidate trust surfaces; kill infinite OI-signals loading state"
PM,7,7,6,6,7,6,8,7,7,6.7,MINOR_DRIFT,"Real project truth (382 projects · 134 incidents · 67 CAPAs) · Latest Dailies + Photos gallery · Section A/B/… layout is clear","Loading OI signals hang · Mobile viewport is desktop-only (unreadable at 390px) · Overview vs Command Center overlap","Fix mobile responsive breakpoints; wire OI signals timeout state"
Safety,8,8,7,7,7,6,8,7,8,7.3,UNIFIED,"Live count queues (66 CAPAs / 56 overdue / 64 incidents 7d) · Trench Safety prominent · Cyan brand consistent","Trench Safety Module tile shows ""No Recent Data"" while Trench UI shows 21 active assets · Loading OI signals hang","Fix Trench Safety cross-portal count wiring"
HR,8,8,7,7,8,7,8,7,8,7.6,UNIFIED,"Real compliance queue (115 at risk · 72 expired) · Live document expiration entries · Purple brand cohesive","Loading OI signals hang · Employee directory search sits mid-page (should be higher)","Wire OI signals timeout; promote search"
Dispatch,7,7,7,7,7,6,8,7,7,6.9,UNIFIED_WITH_STALE_DATA,"Real live fleet map (Florida markers rendering) · Motive stale-data warning honest · geofence + area cards","190/190 assets ""No Recent Position"" (Motive not delivering) · 349 equipment maintenance banner unattributed · Attention Required=0 while 349 issues shown","Get Motive real key configured OR label the surface ""demo/awaiting credentials"""
Shop,8,8,7,7,7,7,8,7,8,7.4,UNIFIED,"Live queues (171 OOS · 197 defects · 25 units with defects · 0 waiting parts) · ""Pick up where the shop left off"" section","Loading OI signals hang · sidebar has 8+ groups (dense)","Wire OI signals timeout; consider collapsing sidebar defaults"
Field Leadership,9,9,9,8,9,7,9,8,9,8.6,UNIFIED_BEST_IN_CLASS,"Single-purpose card set (coaching · write-up · attendance · recognition · evals) · Recent field memory strip · Guides button","Guides button leads out of hub (no in-place preview) · No cross-portal link back to PM/HR for the same employee","Add employee-thread deep-link back to HR profile"
Driver,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,"Route exists at /driver/*","Not exercised in this audit","Track 22.4b — driver-portal deep audit needed"
Public Safety Tile,9,9,9,8,9,8,9,8,9,8.7,UNIFIED_BEST_IN_CLASS,"Asset lookup + QR guidance front and center · Stop-Work Authority banner · Fleet Overview counts only (no PII)","Fleet Overview lists ""Road Plates: 4"" as a Trench Safety category — road plates arguably belong to dispatch/equipment · Spanish/EN toggle exists but expansion not verified","Verify road-plate placement doctrine vs dispatch fleet"
Public Forms,7,7,7,7,7,6,8,7,7,7.0,UNIFIED,"Field/QAQC/Safety cards clearly labelled and role-friendly · No login required for public submission","Trench-box public reference and cheatsheet not linked from top-level tiles · No Spanish verification on submit path","Add Spanish parity smoke test"
