line_id,business_object,producer,storage_or_authority,api_service_transform,consumer,trust_level,evidence_status,limitation,wp18_disposition,evidence_anchor
T01,Project canonical identity,"jobs_master maintenance workflows outside this audit","jobs_master authoritative by module doctrine","project_identity_governance scan + metrics","Project identity queue; PM jobs; staffing; cost-code and ODS consumers",HIGH,VERIFIED_SOURCE_CLAIM,"Doctrine is explicit; mutation owners are outside this audit slice",REUSE_AS_IS,"backend/routes/project_identity_governance.py:4-10; 105-127"
T02,PM scoped project list,"jobs_master read filtered by governance scope","jobs_master","GET /api/pm/jobs","PmProjectSelector; PM Jobs view",HIGH,VERIFIED_TRACE,"Read-only scope; no mutation path in this capability",REUSE_AS_IS,"backend/routes/pm_routes.py:281-307; frontend/components/pm/command/PmProjectSelector.jsx:16-36"
T03,Active project roster,"Admin/PM roster actions","project_team_assignments with jobs_master existence checks","/api/admin/jobs/{project_number}/team; /api/pm/job/{project_number}/team","Team pages; public team readers; command-center inline roster",HIGH,VERIFIED_TRACE,"Authority for role ownership exists here, but some directory enrichment is best-effort",REUSE_AS_IS,"backend/routes/project_team_assignments.py:878-1385"
T04,Cross-project staffing rollup,"jobs_master active projects + active project_team_assignments rows","Derived from jobs_master + project_team_assignments","GET /api/project-staffing/summary","ProjectStaffingHub admin and PM wrappers",MEDIUM_HIGH,VERIFIED_TRACE,"Derived operational overview only; not primary assignment authority",EXTEND,"backend/routes/project_team_assignments.py:1384-1465; frontend/pages/ProjectStaffingHub.jsx:50-91"
T05,Cost code registry item,"Registry admin actions","cost_code_registry","GET/POST/PUT /api/cost-codes/registry*","Assignment normalizer; registry admin surfaces",HIGH,VERIFIED_TRACE,"Registry quality still depends on disciplined admin maintenance",REUSE_AS_IS,"backend/routes/cost_codes.py:324-352; backend/routes/cost_codes.py:48"
T06,Project assigned cost codes,"PM/admin assignment update actions","jobs_master.assigned_cost_codes as stated source authority; project_operational_config derivative projection","PUT /api/cost-codes/projects/{project_number}/assignments + foundation projection helper","Project schedule; forecast; OPPC workspace; ODS config consumers",HIGH,VERIFIED_TRACE,"Projection exists, but derivative config must never be mistaken for primary authority",EXTEND,"backend/routes/cost_codes.py:379-466; backend/services/cost_codes/foundation.py:978-1025"
T07,Daily cost-code actuals to progress,"Daily Report submitter entering cost_code_quantities","daily_reports.cost_code_quantities","foundation.load_project_cost_code_actuals -> progress/schedule recompute","Cost-code progress; schedule workspace; OPPC workspace; trust-spine actual events",MEDIUM_HIGH,VERIFIED_TRACE,"Truth depends on field-entry discipline and accepted report submission",REUSE_AS_IS,"backend/routes/daily_reports.py:1352-1362; 1566-1613; backend/routes/cost_codes.py:503-520"
T08,Project schedule snapshot,"Assigned cost codes + actuals + overrides","Derived schedule snapshot; no separate schedule collection proven","schedule_engine -> GET /api/cost-codes/projects/{project_number}/schedule","PmProjectSchedule; OPPC workspace; briefing generation",MEDIUM_HIGH,VERIFIED_TRACE,"Schedule is deterministic but derived; upstream field completeness remains the constraint",EXTEND,"backend/routes/cost_codes.py:486-493; backend/services/cost_codes/schedule_engine.py"
T09,Forecast history and overrides,"PM schedule snapshot/override actions","jobs_master.oppc_forecast_history + jobs_master.oppc_forecast_overrides","forecast endpoints + briefing/confidence consumers","PmProjectSchedule; Monday briefings",MEDIUM_HIGH,VERIFIED_TRACE,"Embedded job fields rather than standalone versioned store",EXTEND,"backend/routes/cost_codes.py:525-609; backend/services/cost_codes/foundation.py:700-707; 890"
T10,Planning lifecycle and weekly rollover,"Cost-code assignment and publish/apply actions","jobs_master.oppc_planning_lifecycle","planning lifecycle snapshot builder + weekly rollover endpoints","PmProjectSchedule; OPPC readiness references",MEDIUM,VERIFIED_TRACE,"Existing capability is embedded and not yet surfaced as a dedicated planning-control domain",EXTEND,"backend/services/cost_codes/foundation.py:678-690; 1040-1046; backend/routes/cost_codes.py:760-883"
