loc,route,label,class,concept,owner,disposition
frontend/src/components/AdminKpiStrip.jsx:263,AdminKpiStrip,admin-kpi-strip,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/AdminPMPanel.jsx:759,AdminPMPanel,pm-set-password-generate,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/AdminSignatureMigrationPanel.jsx:110,AdminSignatureMigrationPanel,sig-mig-r2-health,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/AssetHistoryTimeline.jsx:96,AssetHistoryTimeline,asset-history-total,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/AttendeeBulkAddDialog.jsx:189,AttendeeBulkAddDialog,attendee-bulk-add-counts,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/AutoEmailRoutingPanel.jsx:56,AutoEmailRoutingPanel,auto-email-status-badge,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/BackendStatusBanner.jsx:124,BackendStatusBanner,backend-status-banner,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/CloudArchivesPanel.jsx:213,CloudArchivesPanel,cloud-archives-hourly-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/CloudArchivesPanel.jsx:251,CloudArchivesPanel,cloud-archives-authoritative-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/ComplianceExportPanel.jsx:183,ComplianceExportPanel,compliance-export-panel,KPI_CONCEPT,compliance_rate,kpi_percent_complete.compliance_rate,RECONCILED_KPI
frontend/src/components/DateAuditPanel.jsx:128,DateAuditPanel,"<Stat label=""Scanned"" value={data.totals?.scanned || 0} tone",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/DateAuditPanel.jsx:129,DateAuditPanel,<Stat,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DateAuditPanel.jsx:134,DateAuditPanel,"<Stat label=""Review"" value={data.totals?.review || 0} tone=""",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/DateAuditPanel.jsx:135,DateAuditPanel,"<Stat label=""OK"" value={data.totals?.ok || 0} tone=""emerald""",POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/DispatchLiveSnapshot.jsx:107,DispatchLiveSnapshot,dispatch-feed-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/DispatchMapHero.jsx:94,DispatchMapHero,dispatch-map-feed-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/DriverCommandProfile.jsx:110,DriverCommandProfile,"<KV label=""Employee #"" value={identity.employee_id} mono tes",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:111,DriverCommandProfile,"<KV label=""Trade"" value={identity.trade} testid=""dcp-id-trad",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:112,DriverCommandProfile,"<KV label=""Role"" value={identity.role} testid=""dcp-id-role"" ",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:113,DriverCommandProfile,"<KV label=""Crew"" value={identity.crew} testid=""dcp-id-crew"" ",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:114,DriverCommandProfile,"<KV label=""Supervisor"" value={identity.supervisor_name} test",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:115,DriverCommandProfile,"<KV label=""Email"" value={identity.email} testid=""dcp-id-emai",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:116,DriverCommandProfile,"<KV label=""Phone"" value={identity.phone} testid=""dcp-id-phon",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:117,DriverCommandProfile,"<KV label=""Hire Date"" value={identity.hire_date ? formatPlat",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:157,DriverCommandProfile,"<KV label=""Current Vehicle"" value={operations.current_vehicl",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:158,DriverCommandProfile,"<KV label=""Last Vehicle"" value={operations.last_vehicle} mon",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:159,DriverCommandProfile,<KV,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:189,DriverCommandProfile,dcp-safe-hos-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/DriverCommandProfile.jsx:244,DriverCommandProfile,dcp-train-bands,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/DriverCommandProfile.jsx:273,DriverCommandProfile,"<KV label=""Most Used"" value={equipment_usage.most_used} mono",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:274,DriverCommandProfile,"<KV label=""Last Operated"" value={equipment_usage.last_operat",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:310,DriverCommandProfile,dcp-motive-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/DriverCommandProfile.jsx:314,DriverCommandProfile,"<KV label=""Driver ID"" value={motive.driver_id} mono testid=""",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:315,DriverCommandProfile,"<KV label=""Last Sync"" value={motive.last_sync ? formatPlatfo",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:316,DriverCommandProfile,"<KV label=""Last GPS Activity"" value={motive.located_at ? for",OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/DriverCommandProfile.jsx:334,DriverCommandProfile,dcp-map-status,STATUS_BAND,status,Wave-2 status vocab (TC-0002),GOVERNED_STATUS
frontend/src/components/EmailRoutingV2Panel.jsx:232,EmailRoutingV2Panel,v2-route-health-run,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/EmailRoutingV2Panel.jsx:243,EmailRoutingV2Panel,v2-routes-count,POPULATION_COUNT,population,Wave-4 count/total (GD-0013/14/15),GOVERNED_POPULATION
frontend/src/components/EmailRoutingV2Panel.jsx:252,EmailRoutingV2Panel,v2-route-health-summary,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/EmailRoutingV2Panel.jsx:259,EmailRoutingV2Panel,v2-route-health-green,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/EmailRoutingV2Panel.jsx:265,EmailRoutingV2Panel,v2-route-health-amber,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
frontend/src/components/EmailRoutingV2Panel.jsx:271,EmailRoutingV2Panel,v2-route-health-red,OPEN_NEEDS_PROOF,unknown,,OPEN_NEEDS_PROOF
