kind,verb,path,area,criticality,roles,mobile_required,attachment_dep,operational_impact,source_file,source_line
backend_api,GET,/api/projects,PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,109
backend_api,GET,/api/projects/{project_id},PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,127
backend_api,GET,/api/projects/{project_id}/members,PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,136
backend_api,POST,/api/projects/{project_id}/members,PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,170
backend_api,DELETE,/api/projects/{project_id}/members/{user_id},PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,201
backend_api,GET,/api/projects/{project_id}/scorecard,PM,P1,public_or_multi,no,no,Mission critical — significant degradation,projects.py,216
backend_api,POST,/api/auth/login,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,auth.py,210
backend_api,POST,/api/auth/logout,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,auth.py,232
backend_api,GET,/api/auth/me,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,auth.py,237
backend_api,POST,/api/auth/change-password,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,auth.py,241
backend_api,POST,/api/auth/refresh,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,auth.py,261
backend_api,GET,/api/users,misc,P3,public_or_multi,no,no,Secondary/admin — internal,auth.py,285
backend_api,POST,/api/users,misc,P3,public_or_multi,no,no,Secondary/admin — internal,auth.py,292
backend_api,PUT,/api/users/{user_id},misc,P3,public_or_multi,no,no,Secondary/admin — internal,auth.py,317
backend_api,POST,/api/users/{user_id}/reset-password,misc,P3,public_or_multi,no,no,Secondary/admin — internal,auth.py,342
backend_api,DELETE,/api/users/{user_id},misc,P3,public_or_multi,no,no,Secondary/admin — internal,auth.py,359
backend_api,GET,/api/health,Health/Diagnostic,P2,public_or_multi,no,no,Operational support — non-blocking,server.py,501
backend_api,GET,/api/healthz,Health/Diagnostic,P2,public_or_multi,no,no,Operational support — non-blocking,server.py,506
backend_api,GET,/api/guidance/sections,misc,P3,public_or_multi,no,no,Secondary/admin — internal,server.py,528
backend_api,GET,/api/guidance/articles,misc,P3,public_or_multi,no,no,Secondary/admin — internal,server.py,537
backend_api,GET,/api/guidance/articles/{article_id},misc,P3,public_or_multi,no,no,Secondary/admin — internal,server.py,555
backend_api,GET,/api/guidance/tips,misc,P3,public_or_multi,no,no,Secondary/admin — internal,server.py,576
backend_api,GET,/api/guidance/search,misc,P3,public_or_multi,no,no,Secondary/admin — internal,server.py,593
backend_api,GET,/api/admin/guidance/coverage,Admin,P2,admin,no,no,Operational support — non-blocking,server.py,631
backend_api,GET,/api/admin/guidance/workflow-coverage,Admin,P2,admin,no,no,Operational support — non-blocking,server.py,641
backend_api,GET,/api/health/full,Health/Diagnostic,P2,public_or_multi,no,no,Operational support — non-blocking,server.py,766
backend_api,GET,/api/version,Health/Diagnostic,P2,public_or_multi,no,no,Operational support — non-blocking,server.py,901
backend_api,POST,/api/dev/login,Auth,P0,public_or_multi,YES,no,Operational survival — workflow halts,server.py,951
