forensic_surface_id,surface_scope,included_in_hidden_detail_113,included_in_route_non_primary_165,included_in_route_forensic_169,included_in_broad_forensic_305,family,source_file,source_line,surface_type,route_or_launch_point,parent_or_context,intended_audience,entry_path,navigation_source,role_requirements,hidden_state,origin_classification,final_disposition,canonical_relationship,certification_or_blocker_status,evidence_strength,evidence_summary,risk_summary,notes
OVERLAY-001,overlay_surface,NO,NO,NO,YES,Administration,components/AdminAccessControlPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminAccessControlPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminAccessControlPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-002,overlay_surface,NO,NO,NO,YES,Administration,components/AdminBannersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminBannersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminBannersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-003,overlay_surface,NO,NO,NO,YES,Administration,components/AdminDispatchUsersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminDispatchUsersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminDispatchUsersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-004,overlay_surface,NO,NO,NO,YES,Administration,components/AdminFieldLeadershipUsersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminFieldLeadershipUsersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminFieldLeadershipUsersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-005,overlay_surface,NO,NO,NO,YES,Administration,components/AdminHRUsersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminHRUsersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminHRUsersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-006,overlay_surface,NO,NO,NO,YES,Administration,components/AdminJobMasterPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminJobMasterPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminJobMasterPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-007,overlay_surface,NO,NO,NO,YES,Administration,components/AdminPMPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminPMPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminPMPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-008,overlay_surface,NO,NO,NO,YES,Administration,components/AdminPasswordConfirm.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminPasswordConfirm.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminPasswordConfirm.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-009,overlay_surface,NO,NO,NO,YES,Administration,components/AdminSafetyUsersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminSafetyUsersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminSafetyUsersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
OVERLAY-010,overlay_surface,NO,NO,NO,YES,Administration,components/AdminShopUsersPanel.jsx,,Dialog_surface,Dialog,,Administration,"Triggered from a host screen action, row, button, or workflow state",Workflow-internal interaction,Administration,ACTIVE,INTENTIONAL_DIALOG_OR_OVERLAY,INTENTIONALLY_HIDDEN_AND_GOVERNED,OVERLAY_OF:components/AdminShopUsersPanel.jsx,IMPLEMENTED,LEDGER_ONLY,Source-inventory overlay from components/AdminShopUsersPanel.jsx. Explicit interaction subset separately recorded in WP16_OVERLAY_AND_INTERACTION_REGISTER.md (28 exercised/partially exercised/blocked interaction rows).,Workflow-internal surfaces accumulate silently when they are not inventoried alongside routed pages.,Dialog
