route_or_surface,role,language,width_px,result,evidence
/admin/executive-overview,Admin/Executive,EN,390,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,EN,430,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,EN,768,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,EN,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,EN,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,ES,390,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,ES,430,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,ES,768,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,ES,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-overview,Admin/Executive,ES,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,EN,390,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,EN,430,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,EN,768,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,EN,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,EN,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,ES,390,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,ES,430,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,ES,768,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,ES,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/portfolio-intelligence,PM,ES,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/executive-operational-intelligence,Admin/Executive,EN+ES,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/admin/command-center,Admin,EN+ES,1440,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/project-controls/forecasting,PM,EN+ES,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
/pm/project-controls/earned-value,PM,EN+ES,1024,PASS,mcp_screenshot_tool direct certification 2026-08-07
