decision_id,architectural_decision,wp18b_position,wp18br_status,evidence,reason,risk,executive_impact
RAT01,Project identity owner,jobs_master,APPROVED,"WP18A_EXECUTIVE_AUDIT_REPORT.md:66-83; WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S01","No stronger or competing owner was proven","Low","Identity may be locked constitutionally"
RAT02,Project roster owner,project_team_assignments,APPROVED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S02","Roster truth survived challenge; crews are actuals not roster authority","Low","Resource/team planning can safely reuse this owner"
RAT03,Cost-code definition owner,cost_code_registry,APPROVED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S03","No alternate definition owner or ERP-fed truth was proven","Medium","Registry reuse remains constitutional, but ERP stance stays future work"
RAT04,Project cost-code assignment owner,jobs_master.assigned_cost_codes,REVISED,"backend/routes/cost_codes.py:379-466,760-920; WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S04","Owner is correct, but revision/locking/approval governance is incomplete","High","Do not implement downstream budget/EV work without first formalizing change governance"
RAT05,Schedule hierarchy,reuse existing schedule engine,REVISED,"OPPC_PERFORMANCE_SCALABILITY_VALIDATION.md:16-27,37-45; WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S05","Project-scope authority survives; decade-scale executive use remains bounded","High","COO/CIO must not assume master-schedule scalability is already solved"
RAT06,Forecast hierarchy,extend existing forecast history/overrides,REVISED,"backend/routes/cost_codes.py:495-677; OPPC_EXECUTIVE_ARCHITECTURE_CLOSEOUT.md:20-30","Truth classes exist, but portfolio refresh cost remains material","Medium","Forecasting is reusable, but executive latency expectations need governance"
RAT07,Lookahead,reuse embedded planning lifecycle,REVISED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S06","Capability exists, but its approval/archive semantics are under-defined","Medium","PMO/operations may otherwise overestimate current governance maturity"
RAT08,Production tracking,daily_reports as sole owner,REVISED,"WP18BR_SOURCE_OF_TRUTH_CHALLENGE_REGISTER.csv:S07","A single flat owner statement fails challenge; production facts are already split by subtype","High","Executive and field reporting must distinguish quantities, haul throughput, and payroll variance"
RAT09,Monday Morning Review,existing OPPC workspace,APPROVED,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md; OPPC_WEEKLY_REVIEW_WORKFLOW.md","Workspace survives challenge as a real operational control lane","Low","Weekly operations cadence may be constitutionally preserved"
RAT10,Monday briefing,existing persisted artifact,APPROVED,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md; OPPC_SURVIVABILITY_VALIDATION.md","Briefing artifact survives challenge and has version/hash/freeze evidence","Low","Executive communications layer is reusable"
