Surface ID,Portal/family,Route,Surface type,Parent route,Navigation location,Hidden/detail/public status,WP-17B disposition,Current component family,Target component family,Information-architecture action,Navigation action,Design action,Terminology action,Coaching action,White-label action,Responsive action,Dependency,Current status,Files affected,Evidence reference,Final certification status
ROUTE-0001,public_shared,/,route_screen,/,route_tree,PUBLIC,REPRESENTATIVE_IMPLEMENTATION,Hub,WP17C_CANONICAL_PAGE,KEEP,CANONICAL_ENTRY,REPRESENTATIVE_IMPLEMENTATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,CERTIFY_IN_REPRESENTATIVE_SET,PortalShell + tokens + navigation canon,READY,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0002,public_shared,/revise/:token,detail_route,/revise,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,Revise,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0003,public_shared,/safety,route_screen,/,route_tree,PUBLIC,MIGRATE_IN_WP17D,SafetySection,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0004,safety,/safety/forms/login,route_screen,/safety/forms,route_tree,PUBLIC,MIGRATE_IN_WP17D,SafetyFormsLogin,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0005,safety,/safety/forms,route_screen,/safety,route_tree,PUBLIC,MIGRATE_IN_WP17D,SafetyFormsHub,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0006,safety,/safety/forms/equipment-issuance/new,route_screen,/safety/forms/equipment-issuance,route_tree,PUBLIC,MIGRATE_IN_WP17D,NewSafetyEquipmentIssuance,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0007,safety,/safety/forms/equipment-issuance/:id,detail_route,/safety/forms/equipment-issuance,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ViewSafetyForm,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0008,safety,/safety/forms/equipment-issuance/:id/return,detail_route,/safety/forms/equipment-issuance/:id,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ReturnEquipment,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0009,safety,/safety/forms/equipment-training/new,route_screen,/safety/forms/equipment-training,route_tree,PUBLIC,MIGRATE_IN_WP17D,NewSafetyEquipmentTraining,WP17C_CANONICAL_PAGE,STANDARDIZE,CANONICAL_ENTRY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
ROUTE-0010,safety,/safety/forms/equipment-training/:id,detail_route,/safety/forms/equipment-training,route_tree,DETAIL,KEEP_HIDDEN_DETAIL,ViewSafetyForm,WP17C_CANONICAL_DETAIL_PAGE,STANDARDIZE,SEARCH_ONLY,STANDARDIZE_FOUNDATION,ALIGN_TO_WP17B_TERMINOLOGY,ADD_CONTEXTUAL_HELP_WHERE_REQUIRED,TOKENIZE_ONLY,DEFERRED_TO_WP17D,PortalShell + tokens + navigation canon,DEFERRED_TO_17D,app/routing/AppRoutes.jsx,WP17B_PLATFORM_MASTER_INVENTORY.md · route census,PENDING
