domain,truth_subject,single_source_of_truth,truth_class,producer,authoritative_store,non_authoritative_or_downstream_consumers,confidence_level,architectural_impact,recommended_disposition,evidence_source
Project Identity,project identity per job,jobs_master,canonical,"project identity maintenance workflows outside this audit slice",jobs_master,"PM jobs; staffing; cost-code assignment; ODS; project health",HIGH,"Root project authority must stay singular",REUSE,"WP18A_EXECUTIVE_AUDIT_REPORT.md:66-83; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T01"
Project Roster,explicit project team rows,project_team_assignments,canonical,"Admin/PM roster actions",project_team_assignments,"team pages; staffing summaries; PM command readers",HIGH,"Controls labor/resource lineage",REUSE,"WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C02-C03"
Cost Code Definitions,reusable cost-code catalog,cost_code_registry,canonical,"admin registry maintenance",cost_code_registry,"assignment normalizer; admin registry UI",HIGH,"Must remain separate from project execution truth",REUSE,"WP18A_COST_CODE_FORENSIC_AUDIT.md:15-18"
Project Cost Code Configuration,project-specific planned cost-code setup,jobs_master.assigned_cost_codes,canonical,"PM/admin assignment update actions",jobs_master.assigned_cost_codes,"project_operational_config; schedule; forecast; OPPC",HIGH,"This is the constitutional project-controls spine",EXTEND,"WP18A_COST_CODE_FORENSIC_AUDIT.md:20-39"
Daily Production Actuals,cost-code quantities,daily_reports.cost_code_quantities,canonical,"Daily Report submitters",daily_reports,"progress recompute; schedule; OPPC; ODS",HIGH,"Primary actuals feed; no duplicate actuals store should be created",REUSE,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:11-23"
Daily Labor Actuals,crew labor hours,daily_reports.masci_crews,canonical,"Daily Report submitters",daily_reports,"payroll variance; OPPC execution; project controls summaries",MEDIUM_HIGH,"Supports labor/resource truth without a second crew-hours table",REUSE,"OPPC_CANONICAL_DATA_OWNERSHIP.md:35-37"
Daily Equipment Actuals,equipment hours and use,daily_reports.equipment,canonical,"Daily Report submitters",daily_reports,"OPPC execution; project controls summaries",MEDIUM_HIGH,"Supports equipment-throughput truth without duplicate equipment-actuals storage",REUSE,"OPPC_DAILY_PRODUCTION_CERTIFICATION.md:18-33"
Schedule Snapshot,derived current schedule view,schedule_engine.py output,derived,"schedule_engine.py over assignments and actuals",derived payload only,"PM schedule; Monday review; Monday briefing",HIGH,"Derived but constitutional; must not be replaced by dashboard copies",EXTEND,"WP18A_SCHEDULE_FORENSIC_AUDIT.md:11-28"
Forecast History,forecast snapshots and overrides,jobs_master.oppc_forecast_history + jobs_master.oppc_forecast_overrides,derived_governed,"PM schedule forecast actions","jobs_master.oppc_forecast_history; jobs_master.oppc_forecast_overrides","PM schedule; Monday briefing; confidence consumers",HIGH,"Existing forecast lineage is reusable and should not be split into a second forecast store",EXTEND,"OPPC_FORECASTING_CRITICAL_PATH_CERTIFICATION.md:7-25"
Lookahead Lifecycle,rolling planning lifecycle state,jobs_master.oppc_planning_lifecycle,embedded_governed,"planning-lifecycle publish/apply actions",jobs_master.oppc_planning_lifecycle,"PM schedule; OPPC readiness; Monday review",HIGH,"Existing but embedded; must be named explicitly without relocating ownership",EXTEND,"WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md:13-35"
