object_class,object_id,object,classification,resolution,evidence_source,denominator_result
route,ROUTE-0464,compliance/documents,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:126-129,ROUTE_DENOMINATOR_484
route,ROUTE-0465,compliance/rate-schedules,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:130-133,ROUTE_DENOMINATOR_484
route,ROUTE-0466,fleet,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:134-137,ROUTE_DENOMINATOR_484
route,ROUTE-0467,fleet/trucks,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:138-141,ROUTE_DENOMINATOR_484
route,ROUTE-0468,fleet/inspections,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:142-145,ROUTE_DENOMINATOR_484
route,ROUTE-0469,administration/audit,GENERATED_ROUTE,Nested TransportationApp child redirect declared across multiple lines; root-only parser missed it,frontend/src/pages/transportation/TransportationApp.jsx:146-149,ROUTE_DENOMINATOR_484
route,ROUTE-0481,(index),GENERATED_ROUTE,"TransportationApp index route exists as an index child, not a literal path string",frontend/src/pages/transportation/TransportationApp.jsx:88,ROUTE_DENOMINATOR_484
route,ROUTE-0482,/admin/leadership/records,INVENTORY_EXPANSION,Live route existed in AppRoutes.jsx but was absent from the locked ledger,frontend/src/app/routing/AppRoutes.jsx:863,ROUTE_DENOMINATOR_484
route,ROUTE-0483,/admin/platform-readiness,INVENTORY_EXPANSION,Live route existed in AppRoutes.jsx but was absent from the locked ledger,frontend/src/app/routing/AppRoutes.jsx:1206,ROUTE_DENOMINATOR_484
route,ROUTE-0484,/admin/wp17d-certification,INVENTORY_EXPANSION,Live route existed in AppRoutes.jsx but was absent from the locked ledger,frontend/src/app/routing/AppRoutes.jsx:1207,ROUTE_DENOMINATOR_484
hidden_detail_denominator,NAV-0054,/admin/platform-overview,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0074,/admin/daily/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0075,/admin/meetings/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0076,/admin/qaqc/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0077,/admin/jobs/:projectNumber/team,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0078,/admin/leadership/records/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0079,/admin/equipment/:id,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0080,/admin/equipment/:id/history,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0081,/admin/assets/:assetId,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
hidden_detail_denominator,NAV-0082,/admin/employees/:id/history,NAVIGATION_NODE_EXCLUDED,"Hidden navigation items are tracked under the 253 navigation-node denominator, not the 113 hidden/detail surface denominator",WP17D_PLATFORM_CONVERGENCE_LEDGER.csv,HIDDEN_DETAIL_DENOMINATOR_113
