defect_id,truth_surface_ids,domain,root_cause_class,description,shared_owner,current_state,blocks_prec10,repair_summary,evidence
TD-0001,"TS-0001,TS-0002,TS-0003,TS-0004",Admin/Global,RELEASE/ENVIRONMENT IDENTITY,"Human-visible Build/SHA showed demoted workspace_diagnostic_manifest_prefix (28d3a8b9) as production SHA",frontend/src/lib/versionCache.js:canonicalReleaseShaShort,PREVIEW_REPAIRED,YES,"All Build/SHA surfaces bind authorized_saved_sha; diagnostic labelled explicitly; null->unverified","preview footer SHA-3DC83374; tooltip Saved SHA + Diagnostic(not-the-SHA)"
TD-0002,TS-0006,Equipment,DATA QUALITY,"3 malformed unit_numbers + 1 certification fixture in equipment master",n/a (data),OWNER_DEFERRED,NO,"Register only; owner review for real unit#; fixture safe-delete pending","see equipment reconciliation register"
TD-0003,TS-0009,Admin/OpsControl,STATUS/HEALTH SEMANTICS,"OCC 'Platform overview' Source/Overall status=MISMATCH driven ENTIRELY by governance child card. Prod (read-only) /api/admin/occ/health overall=MISMATCH with exactly 1 MISMATCH card=governance. Governance summary sev={crit:0,high:46,med:312} advisory-only (PPE_MISSING/EMP_LINK_*), health_label='critical' (false=SO-06) AND occ _eval_governance forced MISMATCH via independent 'highs>20' heuristic. Same false-advisory-severity class as SO-06.",backend/routes/occ_health_aggregator.py:_eval_governance (SO-10) + governance.py health_label (SO-06),PREVIEW_REPAIRED,NO,"_eval_governance: red MISMATCH now requires genuine critical (critical-severity>0 OR governed 'critical' label); advisory high/medium backlog=DEGRADED not red. SO-06 governance.py health_label fix already committed. OCC overall for prod shape now DEGRADED (honest), not false red.","LIVE PROD occ/health overall=MISMATCH 1 red card=governance; prod governance sev crit=0 high=46 med=312 health=critical; preview crit=2 stays truthful MISMATCH; unit test test_td0003_occ_governance_card_semantics.py 6/6 PASS"
TD-0004,TS-0010,Admin/Standards,STATUS/HEALTH SEMANTICS,"health_label derived ONLY from severity-weighted score; 46 high + 312 medium governed advisories forced score->0->'critical' though critical-severity=0. Freshness(STALE) is a separate correct field, NOT folded in.",backend/routes/governance.py:governance_summary (SO-06),PREVIEW_REPAIRED,PARTIAL,"critical health now REQUIRES >=1 critical-severity finding; advisory backlog caps at 'degraded'; freshness stays separate axis","proven: crit0/high46/med312 was 'critical' now 'degraded'; crit>=1 still 'critical'; clean 'healthy'; backend 200"
TD-0005,TS-0011,Admin/OpsControl,HISTORICAL/CURRENT CONFUSION,"'Recent Platform Events' card counts.critical=8 (owner's '8') but ONLY 6 enumerable in returned events list. LIVE PROD: /api/admin/occ/trust-events counts tallied over full pre-truncation merged population while events returned as events[:limit]. ALL critical events were repeated HISTORICAL deployment_verification startup-check audit rows (NO-GO runtime_commit_does_not_match_intended_release, 1 per backend restart; 13 at limit=50). Canonical /api/admin/deployment-readiness=pass, blocking_gates=0 => ZERO current critical deploy conditions.",backend/routes/occ_trust_events.py:_classify_audit + _tally_window (SO-05),PREVIEW_REPAIRED,NO,"(1) deployment_verification audit rows now historical severity=info (current deploy truth owned by deployment-readiness via deploy_blocker); (2) counts tallied over RETURNED window so headline is always enumerable; added window_event_count/total_events_in_feed transparency","LIVE PROD counts.critical=8 vs 6 enumerable + all deploy history; deployment-readiness pass/0-blockers; PREVIEW POST-FIX counts_sum==returned (25/50) & critical==enumerable & deploy rows=info; unit test test_td0005_occ_trust_events_severity.py 4/4 PASS"
TD-0006,TS-0012,Admin/Storage,CALCULATION DEFECT (denominator contamination),"R2 lifecycle ownership_score=15.1 = 100*verified_owner/classification_total where denominator INCLUDED protected_or_exempt objects (SYSTEM_RESERVED/RETENTION_PROTECTED/BACKUP_PROTECTED/LEGAL_HOLD/HISTORICAL). LIVE PROD: owned=1639 total=10821 protected=4916(45.4%) ambiguous=4266 confirmed_orphan=0. Exempt objects can never be VERIFIED_OWNER so they falsely deflate coverage while orphan risk is 0.",backend/services/r2_lifecycle/health.py:compute_ownership_score (SO-07),PREVIEW_REPAIRED,NO,"ownership_score now measured over ATTRIBUTABLE objects (total-protected); ambiguous/pending REMAIN (genuine backlog); all-exempt=100 not 0. Added attributable_total + verified_owner_pct_of_attributable transparency; raw verified_owner_pct kept.","REAL endpoint /api/admin/r2/lifecycle/health (NOT r2/lifecycle 404). Formula proven. POST-FIX preview 12.7->53.5, overall 63.5->71.7 (RED->AMBER truthful; orphan risk 0); unit test test_td0006_r2_ownership_score.py 5/5 PASS"
TD-0007,TS-0013,Admin/Maintenance,STATUS SEMANTICS + COVERAGE GAP,"LIVE PROD /api/admin/operations-control/overview = 16 ops (7 warning, 7 healthy, 2 action-only null). 'Deployment Maintenance'=UNKNOWN because card filtered category 'deployment' which does NOT exist in OperationCategory enum; deploy.readiness_check + deploy.recovery_playbook are category='health'. '5 attention' = 5 warning ops SURFACED (health-maint 3: system_overview+deploy.readiness+deploy.recovery; storage-maint 1: storage.audit; backup-maint 1: backups.health). 2 governance warning ops (employee_link_backfill, issue_missing_ppe) + 1 queues op had NO card => orphaned/invisible.",frontend/src/pages/admin/AdminMaintenance.jsx:matchMaintenanceOps + manifest,PREVIEW_REPAIRED,NO,"deployment-maint now matches deploy.* id-prefix (2 ops, yellow, not UNKNOWN); health-maint excludes deploy.* (no double count); added governance-maint + queues-maint cards. All 16 ops now covered exactly once.","16 ops enumerated live; enum has no 'deployment'; deploy ops category=health (deploy.py:229,254); frontend test AdminMaintenance.td0007.test.jsx 5/5 PASS (incl. all-16-covered-once)"
TD-0008,"TS-0010",Admin/Standards+AdminOS,STATUS/HEALTH SEMANTICS (SO-06 blast radius),"Frontend consumers re-derived governance red/critical from raw severity_counts, bypassing the governed contract: AdminGovernanceTrust _governance used highs>20->red; AdminOS governance tile used highs>0->critical. With prod 0 critical / 46 high advisories both rendered false red/critical.",frontend AdminGovernanceTrust.jsx:_governance + AdminOS.jsx governance tile (SO-06),PREVIEW_REPAIRED,NO,"Both now require a GENUINE critical condition (critical-severity>0 OR governed 'critical' label OR SCAN_FAILED); advisory high/medium backlog = yellow/warning; STALE/AGING = attention not red.","frontend test GovernanceSeverityContract.so06.test.jsx 5/5 PASS; aligns all consumers with TC-0002"
TD-0009,TS-0016,Fleet/Vehicles,POPULATION-COUNT CONTRACT (fragile),"/api/fleet/units returned count=len(page) only; fleet population KPI would silently cap once fleet grows past the page limit (149<200 correct only by coincidence). No true total exposed.",backend/routes/fleet_ops.py:list_fleet_units (fleet_units),PREVIEW_REPAIRED,NO,"Preserved count=page length (backward-compat; no consumer used it as total); ADDED total=count_documents(query) + page_size. Population KPIs must use total. Server-side q unchanged.","No consumer read count as total; PREVIEW limit=5 -> count=5 total=149; scale test test_td0009_fleet_units_count_contract.py 5/5 (3/149/limit+1/600/6000)"
TD-0010,TS-0017,Transportation/Drivers,ELIGIBILITY CONTRACT,"'Eligible CDL Drivers'=43 INCLUDED non-active employees (LIVE PROD 2 Resigned + 1 Inactive) because filter omitted lifecycle status. All 43 also lacked cdl_expiration_date (data gap).",backend/routes/transportation.py:list_eligible_hr_cdl_drivers (transport_drivers),PREVIEW_REPAIRED,NO,"Filter now excludes non-active canonical statuses (off_roll+terminated+retired+pending via BUCKET_STATUSES); None/missing lifecycle resolves to active (legacy) and is retained. CDL-expiration data-quality gap logged (not code).","LIVE PROD 43 incl 2 Resigned+1 Inactive; PREVIEW POST-FIX 26 all Active, 0 ineligible leaked; unit test test_td0010_eligible_driver_lifecycle_contract.py 3/3"
