site_id,file,line,pattern,concept,classification,is_population_kpi,shared_owner,state,notes
# 1,042 total sites to classify: frontend .slice(0,=595 · backend to_list(N)=317 · backend limit==130
# classification enum: DISPLAY_PAGE_SIZE | QUERY_BATCH_SIZE | LEGITIMATE_TOP_N | ILLEGAL_TOTAL_POPULATION_TRUNCATION
# Wave 4 populates every row. Prior-verified full-population selectors (server-side search) already safe:
PA-0001,frontend/src/components/PartsCatalog.jsx,~,slice(0,N) display,equipment parts fleet,DISPLAY_PAGE_SIZE,no,SO-09,CLASSIFIED,"server-side search covers full canonical population"
PA-0002,backend/server.py,suppliers list,to_list(200 if q else 2000),suppliers,QUERY_BATCH_SIZE,no,SO-09,CLASSIFIED,"q searches full collection"
PA-0003,backend/server.py,equipment-master-lookup,to_list(5000),equipment,QUERY_BATCH_SIZE,no,SO-09,CLASSIFIED,"active non-synthetic full set 604"
PA-0004,backend/server.py,hr employee roster,server-side q,employees,QUERY_BATCH_SIZE,no,SO-09,CLASSIFIED,"full-pop q search 239"
PA-0005,backend/routes/admin_directory_k4.py,153-160,limit=500 + count_documents,users/directory,QUERY_BATCH_SIZE,yes,directory_k4,CLASSIFIED,"LIVE PROD 44 users; total=count_documents(filter) page-independent; server-side q (email/name) full-pop (q=a->43); RECONCILED"
PA-0006,backend/routes/fleet_ops.py,478-498,limit(min(500,limit)) count=len(page),vehicles/fleet units,DISPLAY_PAGE_SIZE,yes,fleet_units,CLASSIFIED_FRAGILE,"LIVE PROD 149 units (96 truck+53 trailer) fully returned at default 200; server-side q (unit_number/plate/make_model/vin) full-pop; count=page-length is fragile if pop grows>limit. HARDEN: add total=count_documents(query). NO current truncation."
PA-0007,backend/routes/transportation.py,685-706,limit(limit*4) count=len(items),drivers/eligible HR CDL,QUERY_BATCH_SIZE,yes,transport_drivers,CLASSIFIED,"LIVE PROD 43 eligible drivers fully returned (limit*4=4000); server-side q (name/employee_id/cdl_license) full-pop (q=a->38); count=post-filter true pop; NO current truncation"
PA-W4,ALL population-shaping sites,full-tree scan (scripts/wave4_population_classifier.py),heuristic risk-triage,all master concepts,MIXED,varies,WAVE4,CLASSIFIED,"1042 denominator triaged: bulk QUERY_BATCH (paginated endpoints expose own totals) / DISPLAY_SLICE (top-N render, full data) / SAFE_UNBOUNDED / string-truncation; 24 count+truncation co-located sites flagged & manually cleared (0 defects); only genuine count-truncation was fleet-units TD-0009 (already fixed). Artifact: WAVE4_SITE_CLASSIFICATION.json"
