consumer,portal_or_module,file_and_route,source_field(s),collection,ui_surface,frequency,live_or_planned,dependency_risk,missing_data,duplicate_logic,recommendation
PM Command Center — Daily Report list,PM,frontend DailyReportsDashboard.jsx + /pm/daily + backend list_daily_reports (routes/daily_reports.py L493),project_name/project_number/report_date/prepared_by/weather_summary/counts,daily_reports,list rows,per-page,LIVE,scope filter via pm_auth.compute_pm_scope,—,—,KEEP
PM Command Center — Daily Report detail,PM,frontend ViewDailyReport.jsx + /pm/daily/:id + backend get_daily_report (L738),full doc,daily_reports,detail page,per-view,LIVE,project scope + require_admin_pm_or_hr_read,ai_accepted_summary not always rendered in PM (Rec #11),—,ADD PM 'Photos analyzed' badge (Rec #16) once 22.9C ships
PM Command Center — Exposure Signals tile,PM,daily_reports.py::daily_report_exposure_signals /api/daily-reports/exposure-signals,constraints[].constraint_type/hours_impact + advisory flags,daily_reports,PM tile,periodic poll,LIVE,scope filter,—,—,KEEP
Admin — DailyReportsDashboard,Admin,/admin/daily + same list endpoint,same as PM,daily_reports,list rows,per-page,LIVE,require_admin,—,—,KEEP
Admin — ViewDailyReport,Admin,/admin/daily/:id + same detail endpoint,full doc,daily_reports,detail page,per-view,LIVE,require_admin,—,—,KEEP
Admin — CSV export,Admin,daily_reports.py::list_daily_reports_csv /api/daily-reports.csv,project/prepared_by/weather/counts,daily_reports,CSV download,on-demand,LIVE,require_admin + PM scope,ai_accepted_summary NOT exported (Rec #14),—,ADD ai_accepted_summary column
HR — HrDailyReports read-only,HR,frontend HrDailyReports.jsx + /hr/daily-reports + backend get_daily_report with require_admin_pm_or_hr_read,masci_crews / hours / prepared_by / signatures,daily_reports,read-only pages,per-view,LIVE,HR gate,—,—,KEEP
Safety — Safety Portal (Daily Reports index),Safety,routes/safety_portal/daily_reports.py + /safety/daily-reports (planned surface),safety_incidents_today / injuries_reported / incident_notes / escalation fields,daily_reports,triage list,per-view,LIVE-backend / PLANNED-frontend,require_safety token,—,—,VERIFY LIVE FRONTEND ROUTE (audit note)
Shop — Shop Intel,Shop,routes/shop_intel.py,equipment[] rows,daily_reports,shop dashboards,periodic,LIVE,require_shop,—,—,KEEP
Dispatch — Dispatch Command Center,Dispatch,routes/dispatch_command_center.py,equipment + outbound_materials rows,daily_reports,dispatch tiles,periodic,LIVE,require_dispatch,—,—,KEEP
Dispatch — Haul Ledger,Dispatch,routes/dispatch_haul_ledger.py (implied),outbound_materials[],daily_reports,haul ledger,per-view,LIVE,require_dispatch,—,—,KEEP
Field Leadership Portal,FL,routes/field_leadership_portal.py,doc_id / project / prepared_by,daily_reports,FL list,per-view,LIVE,FL token,—,—,KEEP
Executive Overview,Executive,routes/executive_overview.py,aggregate counts (crew_count / hours / reports_with_constraints),daily_reports,exec KPIs,periodic,LIVE,require_admin,—,—,KEEP
PDF renderer,PDF,routes/dr_v2_pdf.py::daily_reports_pdf,full doc + accept entry,daily_reports + daily_summary_accept,PDF file,on-demand,LIVE (backend); PM surface has no download button (Rec #13 · VERIFY),require_admin/PM,ai_accepted_summary sometimes bypassed (Rec #14 · verify against 22.9C),—,ADD PM/Admin download button visibility check
Email dispatch (PM),Email,services/auto_email_dispatch (PM-only kind),ai_accepted_summary + doc_id + PDF link,daily_reports + email_dispatch_queue,email,on-submit,LIVE,resolver,PM-only kind by design (no roster CC),—,KEEP
Email forensics,Admin,routes/admin_dr_delivery_forensics.py,delivery log per DR,email_delivery_log + email_dead_letter,forensics screen,per-view,LIVE,require_admin,—,—,KEEP
Global Search,Search,routes/global_search.py,doc_id / report_number / project_number,daily_reports,search results,per-search,LIVE,require_admin,—,—,KEEP
ODS Facts — production_fact,ODS,services/ods_spine::_build_facts_from_dr_v1_report,production[] rows,ods_facts,ODS dashboards,per-submit,LIVE,—,—,—,KEEP
ODS Facts — material_fact,ODS,same,materials[] + outbound_materials[],ods_facts,ODS dashboards,per-submit,LIVE,—,—,—,KEEP
ODS Facts — photo_evidence_fact (now enriched with ai_tags/ai_caption per Track 22.9B),ODS,same + _enrich_photo_evidence_facts,photos[] + dr_v2_photo_intelligence,ods_facts,ODS/PM dashboards,per-submit,LIVE,—,—,—,KEEP
ODS Facts — delay_fact,ODS,same,constraints[],ods_facts,ODS/PM dashboards,per-submit,LIVE,—,—,—,KEEP
ODS Facts — equipment_fact / labor_fact / day_summary_fact,ODS,same,equipment/masci_crews/ai_accepted_summary,ods_facts,ODS/PM dashboards,per-submit,LIVE,—,—,—,KEEP
Trust Spine — record_created + lifecycle stages,Trust Spine,lib/trust_spine::emit_record_created + routes/daily_report_lifecycle.py,doc_id / correlation_id / prepared_by,trust_spine_events + daily_report_lifecycle,Trust Spine viewer + admin audit,per-submit,LIVE,—,—,—,KEEP
Notifications (bell),Notifications,routes/tasks_notifications.py + routes/notifications.py,doc_id events,notifications + bell_notifications,notifications UI,per-submit,LIVE,—,—,—,KEEP
Payroll Variance,Payroll,routes/payroll_variance.py,masci_crews[].hours vs Motive,daily_reports + motive_daily_activity,PM variance screen,periodic,LIVE,require_admin,—,—,KEEP
Governance Health,Governance,routes/governance.py + EMP_LINK_UNRESOLVABLE,masci_crews[].name without employee_id,daily_reports,governance dashboard,periodic,LIVE,require_admin,—,—,KEEP
Signature migration audit,Admin,routes/signature_migration.py + routes/signatures.py,prepared_by_signature,daily_reports,admin diagnostics,periodic,LIVE,require_admin,—,—,KEEP
Job Photos library,Photos,routes/job_photos.py::index_record_photos,photos[] (mirror only),job_photos,gallery,per-view,LIVE,—,—,—,KEEP
Photo Intelligence read endpoint,AI/Photos,routes/daily_reports.py::daily_report_photo_intelligence,dr_v2_photo_intelligence + dr_v1_photo_intel_jobs,daily_reports,DailySummaryAssist evidence bundle + planned PM badge,per-view,LIVE,public GET,—,—,KEEP
Command Center (ops),Operations,routes/operations_center_command.py,DR counts / delays,daily_reports,ops dashboard,periodic,LIVE,require_admin,—,—,KEEP
Last Activity,Ops,routes/last_activity.py,report_date / prepared_by,daily_reports,PM tiles,periodic,LIVE,—,—,—,KEEP
Material movement,Ops,routes/material_movement.py,outbound_materials[],daily_reports,material movement dashboard,periodic,LIVE,—,—,—,KEEP
Weekly digest email,Email,tasks_notifications/weekly digest cron,aggregate counts,daily_reports,PM weekly digest,weekly,LIVE-backend / VERIFY-content,—,ai_accepted_summary not surfaced (Rec #15),—,—
