surface,kpi_scope,route_or_component,source_of_truth,calculation_or_threshold,owner_or_truth_authority,truth_explanation_present,decision_support_present,evidence,last_status,go_gate_status,notes
Executive Overview,"Executive verdict plus 6 attention tiles","/admin/executive-overview · /api/admin/executive/overview","daily_reports|incidents|corrective_actions|project_team_assignments|fleet_status|fleet_defects|asset_holds","Red/yellow thresholds explicitly defined in backend metadata; verdict reasons emitted per request","executive-truth + tile owners in backend metadata",YES,PARTIAL,"backend/routes/executive_overview.py lines 55-128 and tile builders in same file",Strong foundation,NO-GO,"Good formula/source coverage; still not enough for platform-wide GO because route, role, and language coverage remain open."
Project Health,"Status ladder, summary strip, row indicators, average confidence","/project-health · /api/project-health","jobs_master|tasks|po_requests|document_expirations|incidents|corrective_actions","Red when expired docs / overdue receipts / severe open incidents / 3+ overdue tasks or CAs; amber on lower thresholds","project-health",YES,PARTIAL,"backend/routes/project_health.py lines 97-207; frontend/src/pages/ProjectHealth.jsx",Strong foundation,NO-GO,"Truth model is explicit, but visible jargon and wider role/device/channel proof are still incomplete."
Dispatch Live Snapshot,"Attention Required|No Recent Position|Working|Idle|Assets Assigned|Total Assets","frontend/src/components/DispatchLiveSnapshot.jsx · /api/operations-map/snapshot","operations-map snapshot payload","Working about 5 minutes; Idle about 60 minutes; No Recent Position about 24 hours or missing GPS; stale fallback shown when refresh fails","dispatch operations",YES,PARTIAL,"DispatchLiveSnapshot.jsx lines 78-199",Good shared explanation,NO-GO,"One of the best examples of status meaning, but it still uses snapshot wording and is not enough for platform-wide closure."
Project Intelligence Strip,"Top project/area attention rollups","frontend/src/components/operations-map/ProjectIntelligenceStrip.jsx","operations-map rollups / allRollups snapshot payload","severityTone chooses rose/slate/emerald/amber from attention/offline/connected counts and assignment source","operations-map rollup authority + dominant owner per row",PARTIAL,PARTIAL,"ProjectIntelligenceStrip.jsx lines 26-202",Mixed,NO-GO,"Strong next-action and owner support; still carries telemetry wording and no universal operator explanation contract."
Transportation dashboard,"Compliance score and document/inspection review tiles","/admin/transportation/dashboard · /api/admin/transportation/dashboard","transport_eligibility_state|transport_rate_schedules|transport_persons|carriers|transport_trucks|transport_truck_inspections|carrier_documents|driver_documents","Compliance score = eligible entities / total entities; expiring docs and due inspections computed in backend","transportation operations",PARTIAL,PARTIAL,"backend/routes/transportation_experience.py lines 82-178",Source traced,NO-GO,"Backend formulas are clear, but current portal family still has repaired-not-recertified and defect states."
HR KPI strip,"Active employees|pending requests|time off pending|training due|documents expired","frontend/src/components/HrKpiStrip.jsx","/api/hr/employee-roster|/api/hr/employee-requests|/api/field-leadership/time-off/stats|/api/operations/expirations/summary","Direct counts from existing endpoints; expirations combine in_30 + in_60 and expired buckets","HR",YES,PARTIAL,"HrKpiStrip.jsx lines 83-210",Mostly clear,NO-GO,"Family is strong, but payroll-isolated proof remains open under the WP-18CZ role matrix."
Safety company posture,"Company band, totals, ranking, project drill-down","frontend/src/components/SafetyOperationalKpisCard.jsx · /api/safety/company/safety-kpis","shared safety KPI spine + project safety KPI endpoint","Company band and totals driven by backend safety rollup; project ranking sorted by attention score","Safety operations",YES,PARTIAL,"SafetyOperationalKpisCard.jsx lines 76-257",Strong but language-mixed,NO-GO,"Uses metadata help well, but still exposes architecture shorthand in visible subtitle copy."
PM operational strip,"Labor|equipment|materials|delay|production|safety|photo findings|schedule readiness","frontend/src/components/PmOperationalKPIs.jsx · /api/pm/projects/{project_number}/operational-kpis","shared operational KPI spine","Window-based rollups across 7d / 30d / MTD / PTD; per-card value rules derived from shared endpoint","PM operational authority",PARTIAL,PARTIAL,"PmOperationalKPIs.jsx lines 49-383",Usable but inconsistent,NO-GO,"Operator value is real, but surface language still exposes KPI / intelligence / AI wording."
Governed metric cards,"Project performance metric cards","frontend/src/components/operational_intelligence/GovernedMetricCard.jsx","snapshot.metric_cards from project operational intelligence service","Each card shows definition, formula, freshness, drill-down, source records, work blocks, and limitations","metric.owner field per card",YES,YES,"GovernedMetricCard.jsx lines 5-69",Best current truth contract,NO-GO,"This is the strongest reusable KPI truth pattern in the product and should become the inheritance baseline."
Operational Intelligence workspace,"Project performance summary, unit breakdown, production pace, resources, recommendations, review queue","frontend/src/components/operational_intelligence/OperationalIntelligenceSnapshotWorkspace.jsx","Daily Reports|Work Blocks|approved progress updates|budget lines|schedule activities","Summary cards, metric cards, recommendation evidence, review queue status, and resource/productivity tables driven by shared snapshot payload","project operational intelligence authority",YES,YES,"OperationalIntelligenceSnapshotWorkspace.jsx lines 57-253",Strong but language-leaking,NO-GO,"Decision support is strong, but release/process wording and Work Block terminology are not universally role-readable."
Daily Report AI summary section,"Suggested daily summary / shift story approval","frontend/src/pages/daily-report-v2/sections/AISummarySection.jsx","ai.result.outputs + approvals audit state","Accept / edit / regenerate flow exists; no operator-facing confidence, source, threshold, or freshness explanation is shown on this surface","daily report approval owner",PARTIAL,PARTIAL,"AISummarySection.jsx lines 33-174",Partial,NO-GO,"Direct live AI output still lacks final runtime certification and full truth framing."
Daily Summary Assist,"Daily summary assist and photo findings status","frontend/src/components/daily-report/DailySummaryAssist.jsx","daily report summary payload + photo-intelligence route + AI summary job status","Evidence-driven readiness states exist, but operator-facing truth contract is incomplete and runtime AI certification remains partial","daily report summary assist authority",PARTIAL,PARTIAL,"DailySummaryAssist.jsx source review + prior WP18CX language audit",Partial,NO-GO,"Good evidence concepts exist, but platform-wide AI-output certification remains open."
