guard_id,concept,canonical_source,calculator,api,ui,downstream,detects,implemented,state,notes
# Wave 11. Permanent automated drift detection so this is not a one-time cleanup.
GD-0001,release_identity,authorized_saved_sha,canonicalReleaseShaShort,/api/version,footer+cards,-,"diagnostic-as-SHA;identity contradiction",partial,PLANNED,"add regression test asserting no surface shows diagnostic hash as SHA"
GD-0002,employee_population,HR master,server-side q,roster endpoints,selectors,-,"population drift;truncation",no,PLANNED,""
GD-0003,equipment_population,equipment master,search,lookup endpoints,selectors,-,"population drift;truncation",no,PLANNED,""
GD-0004,governance_health_semantics,governance findings,_derive_governance_health_label,/api/admin/governance/summary,standards cards,-,"critical-health-without-critical-severity;stale-as-critical",yes,IMPLEMENTED_PASSING,"backend/tests/test_gd0004_governance_health_contract.py 6/6 pass; severity & freshness independent"
GD-0005,occ_governance_card_severity,governance summary severity_counts,_eval_governance,/api/admin/occ/health,OCC governance card + overall_status,occ overall_status,"advisory-high-backlog-as-red-MISMATCH;highs>20 false-red",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0003_occ_governance_card_semantics.py 6/6 pass; red requires genuine critical; advisory backlog=DEGRADED"
GD-0006,occ_trust_events_severity,occ trust-events feed,_classify_audit+_tally_window,/api/admin/occ/trust-events,Recent Platform Events card,unified-trust-events status,"historical-deploy-verification-as-current-critical;counts-not-enumerable",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0005_occ_trust_events_severity.py 4/4 pass; deploy audit=historical info; counts over returned window"
GD-0007,r2_ownership_score,r2 classification counts,compute_ownership_score,/api/admin/r2/lifecycle/health,storage lifecycle cards + OCC storage_health,storage overall_score/band,"exempt-objects-deflate-ownership;ambiguous-hidden",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0006_r2_ownership_score.py 5/5 pass; coverage over attributable; ambiguous retained; all-exempt=100"
GD-0008,maintenance_ops_coverage,operations-control overview,matchMaintenanceOps + manifest,/api/admin/operations-control/overview,maintenance domain cards,maintenance card status,"dead-category-UNKNOWN;orphaned-ops",yes,IMPLEMENTED_PASSING,"frontend AdminMaintenance.td0007.test.jsx 5/5 pass; deploy.* matched; all 16 ops covered exactly once; no false UNKNOWN"
GD-0009,frontend_governance_severity,governance summary severity_counts,AdminGovernanceTrust._governance + AdminOS governance tile,/api/admin/governance/summary,Standards Rules card + AdminOS governance tile,domain card status,"advisory-backlog-as-red/critical (highs>20 / highs>0)",yes,IMPLEMENTED_PASSING,"frontend GovernanceSeverityContract.so06.test.jsx 5/5 pass; red/critical requires genuine critical; advisory=yellow/warning"
GD-0010,fleet_units_count_contract,equipment_master fleet categories,list_fleet_units total,/api/fleet/units,fleet pickers,fleet total KPI,"count-as-total silent truncation at scale",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0009_fleet_units_count_contract.py 5/5 pass; total=count_documents proven at 3/149/limit+1/600/6000"
GD-0011,eligible_driver_lifecycle,employees cdl_holder,list_eligible_hr_cdl_drivers filter,/api/admin/transportation/eligible-hr-cdl-drivers,driver selectors,eligible driver population,"terminated/off-roll/retired/pending leaking into eligible",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0010_eligible_driver_lifecycle_contract.py 3/3 pass; canonical BUCKET_STATUSES; None retained"
GD-0012,occ_probe_reason_attribution,occ fan-out probe errors,_unreachable_reason+_eval_operations_overview,/api/admin/occ/health,operations_registry + probe cards,card UNVERIFIABLE reason,"timeout-misattributed-as-auth;false-unverifiable-from-short-timeout",yes,IMPLEMENTED_PASSING,"backend/tests/test_td0011_occ_probe_reason_attribution.py 5/5 pass"
GD-0022,health_score,backend/lib/trust_score.py,compute_score+compute_backup_trust_score,/api/admin/trust-spine;/api/admin/recovery/snapshot,OperationsTrustCenter+AdminRecovery,platform+backup trust,"unknown/stale rendered as healthy; RED not capped; missing/stale backup shown green",yes,IMPLEMENTED_PASSING,"test_gd0022_health_score_contract.py 12/12; falsifiable caps/penalties"
GD-0023,efficiency_percent,backend/lib/kpi_efficiency.py,efficiency_percent,oppc_execution/confidence,PmMondayReviewWorkspace,activity+rollup efficiency,"100 clamped; zero-denom masked as 0 where UNKNOWN; duplicate ungoverned formula owners",yes,IMPLEMENTED_PASSING,"test_gd0023_efficiency_contract.py 8/8; source-check routes through canonical"
GD-0024,variance_percent,backend/lib/kpi_variance.py,variance_percent+variance_favorable,oppc_intelligence/oppc_execution/payroll_variance,PmMondayReview+ServiceTruck,schedule/production/labor/productivity/payroll variance,"generic positive=green; silent zero-baseline mask; wrong sign; same-concept divergence",yes,IMPLEMENTED_PASSING,"test_gd0024_variance_contract.py 8/8; per-concept favorable; oppc_intelligence delegation"
