route,family,role,visible_entry_point,navigation_path,reachability_status,hidden_surface_disposition,certification_status,route_kind,source_file,source_line
/,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED 390/430/768/1024/1440 + auth/ES,static_route,frontend/src/app/routing/AppRoutes.jsx,517
/revise/:token,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,518
/safety,Shared Operational Home and Public Entry,Public / Shared,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,PENDING,static_route,frontend/src/app/routing/AppRoutes.jsx,519
/safety/forms/login,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,CERTIFIED auth + ES + 390 + no overflow,static_route,frontend/src/app/routing/AppRoutes.jsx,520
/safety/forms,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,521
/safety/forms/equipment-issuance/new,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,522
/safety/forms/equipment-issuance/:id,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED responsive + live fixture,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,523
/safety/forms/equipment-issuance/:id/return,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,PENDING,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,524
/safety/forms/equipment-training/new,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_ENTRY_REVIEW_PENDING,EXPOSED_OR_NAV_REVIEW,REPAIRED_NOT_CERTIFIED after shared auth/session fix,static_route,frontend/src/app/routing/AppRoutes.jsx,525
/safety/forms/equipment-training/:id,Safety Operations,Safety operator / public safety user,Discovery path pending explicit click-proof,Path proof pending,DISCOVERED_NEEDS_REACHABILITY_PROOF,JUSTIFIED_HIDDEN_REVIEW,CERTIFIED responsive + live fixture,parameterized_or_deep_link,frontend/src/app/routing/AppRoutes.jsx,526
