domain_id,constitutional_domain,existing_capabilities,existing_engines_or_routes,reusable_engines,never_rebuild_engines,current_maturity,architectural_gap,confidence_level,recommended_disposition,evidence_source
PC01,Project-specific Cost Codes,"C05 Cost code registry; C06 Project cost code assignments","E04 cost_codes.py; E05 foundation.py","cost_code_registry; jobs_master.assigned_cost_codes; daily_reports.cost_code_quantities","cost_code_registry; jobs_master.assigned_cost_codes; foundation.py",HIGH,"Authority split between registry, project assignment, and ODS projection is real but not yet constitutionally documented",HIGH,EXTEND,"WP18A_COST_CODE_FORENSIC_AUDIT.md; WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C05-C06"
PC02,Schedule hierarchy,"C07 Project schedule and CPM workspace; C08 Forecast history; C09 Planning lifecycle","E04 cost_codes.py; E06 schedule_engine.py","schedule_engine.py; cost_codes.py schedule endpoints; PM schedule workspace","schedule_engine.py",HIGH,"Hierarchy semantics and downstream traceability need formalization without adding a second schedule store",HIGH,EXTEND,"WP18A_SCHEDULE_FORENSIC_AUDIT.md; WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C07-C09"
PC03,Budget hierarchy,"adjacent only: PM Financials & Cost navigation; Project Health; PO Requests","project_health.py; po_requests.py; PM domain map","project-health read model; po_requests intake; PM wayfinding","No reusable budget owner/engine was evidenced",ABSENT,"No canonical budget store, budget engine, or budget hierarchy owner was evidenced in the audited package",HIGH,BUILD_NEW,"domainMap.js:42-51; WP17A_KPI_SOURCE_MAP.md:24; operational_kpis.py:16-17"
PC04,Rolling Two-Week Lookahead,"C09 Planning lifecycle and weekly rollover; C18 Monday review workspace","E04 cost_codes.py; E05 foundation.py; E15 oppc_execution.py","jobs_master.oppc_planning_lifecycle; weekly rollover endpoints; Monday review readiness","jobs_master.oppc_planning_lifecycle",MEDIUM,"Lookahead exists as an embedded lifecycle rather than an explicitly named control domain",HIGH,EXTEND,"WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md"
PC05,Monday Morning Review,"C18 OPPC Monday review workspace; C19 Monday briefings; C20 Executive ops center","E14 oppc_execution.py; E15 oppc_execution service; E16 oppc_briefings.py","PmMondayReviewWorkspace; oppc_execution.py; oppc_briefings.py","oppc_execution.py; oppc_briefings.py",HIGH,"Hierarchy between project review, project briefing, and enterprise briefing must be locked",HIGH,EXTEND,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md; WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C18-C20"
PC06,Production Tracking,"C10 Daily report canonical submission; C11 Safety Daily Report projection; C12 ODS facts/snapshots","E07 daily_reports.py; E09 ods.py; E15 oppc_execution.py","daily_reports.py; foundation.py progress recompute; OPPC daily production consumers","daily_reports.py",HIGH,"Downstream normalization contracts should be formalized, but the production truth spine already exists",HIGH,REUSE,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md; OPPC_DAILY_PRODUCTION_CERTIFICATION.md"
PC07,Resource Planning,"C02 Project team roster; C03 Cross-project staffing overview; C20 Enterprise resource coordination","project_team_assignments.py; oppc_intelligence.py; dispatch lifecycle family","project_team_assignments; dispatch_assignments; oppc enterprise resource coordination","project_team_assignments; dispatch_assignments",MEDIUM_HIGH,"Ownership is federated across demand, labor, and dispatch supply rather than named as one constitutional domain",MEDIUM_HIGH,EXTEND,"OPPC_ENTERPRISE_RESOURCE_COORDINATION.md; OPPC_CANONICAL_DATA_OWNERSHIP.md"
PC08,Equipment Planning,"adjacent existing capabilities: PM command resources; equipment registry; enterprise resource coordination","pm_command_center.py; equipment_master APIs; dispatch lifecycle family","equipment_master; dispatch_assignments; PM command center resources view","equipment_master",MEDIUM_HIGH,"Equipment identity is strong, but project-controls equipment planning semantics are spread across fleet, dispatch, and PM aggregation surfaces",MEDIUM_HIGH,EXTEND,"pm_command_center.py:396-420,508-560; track_15_73_slice1_equipment_audit.py:203-248"
PC09,Constraint Management,"C15 Operational constraints registry","E11 operational_constraints.py; PM command center hold projection","operational_constraints; PM command center hold projection","operational_constraints",MEDIUM,"Constraint truth exists, but automatic schedule/lookahead/KPI binding was not proven",MEDIUM,EXTEND,"WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C15; WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G02"
PC10,Forecasting,"C07 Schedule workspace; C08 Forecast overrides and history; C19 Monday briefings","E04 cost_codes.py; E05 foundation.py; E06 schedule_engine.py; E16 oppc_briefings.py","schedule_engine.py; jobs_master.oppc_forecast_history; jobs_master.oppc_forecast_overrides","schedule_engine.py; jobs_master.oppc_forecast_history",HIGH,"Forecast truth classes exist but need constitutional hierarchy across calculated, override, approved-contractual, and committed states",HIGH,EXTEND,"OPPC_FORECASTING_CRITICAL_PATH_CERTIFICATION.md; WP18A_SCHEDULE_FORENSIC_AUDIT.md"
