defect_id,severity,file,description,fix,test,status
IDEM-01,P1,backend/lib/idempotency.py,No workflow scoping — a cached response for workflow A could replay onto workflow B for the same (key · actor) tuple. In practice mobile clients mint UUID keys per submission so real-world collisions are rare · but the pattern is unsafe by design and hostile to shared/enterprise client integrations.,Added `workflow: str = \"_default\"` kwarg to `with_idempotency` and made unique index tuple `(key · actor_id · workflow)`. Legacy `key_actor_uniq` index dropped and existing 204 rows backfilled with workflow=_default so the new index can be built without rejection.,test_track_22_4b_followup_idempotency_spine.py :: test_cross_workflow_scoping_no_replay_leak · test_unique_index_is_workflow_scoped,CLOSED
IDEM-02,P2,backend/lib/idempotency.py,No stale-sentinel recovery — a factory owner that crashes mid-execution leaves an in_flight sentinel that blocks all future callers (they poll for 10s then fall through · but the sentinel itself is never cleaned up until the 90-day TTL expires). Subsequent retries thus race the fallback path.,Added _STALE_SENTINEL_SECONDS=90 window. On duplicate-key insert · pollers examine the sentinel's created_at and reclaim it (delete + fall through) once past the window.,test_track_22_4b_followup_idempotency_spine.py :: test_stale_sentinel_can_be_reclaimed,CLOSED
CONC-01,P0,backend/lib/idempotency.py,(inherited from TRACK 22.4b-followup-DR) Concurrent same-key requests both executed the factory · creating duplicate DR rows and duplicate Trust Spine events. Fix was landed in the prior track; this track certified the fix generalizes to every workflow that adopts the helper.,See TRACK_22_4B_FOLLOWUP_DR.md,test_track_22_4b_followup_idempotency_spine.py :: test_daily_reports_still_exactly_once · test_meetings_concurrent_same_key_produces_one_meeting,CLOSED
IDEM-COV-01,P1,backend/routes/safety.py :: create_meeting,`POST /api/meetings` had NO idempotency protection at all. B-02 was just closed for meetings but a concurrent retry could still create duplicate meetings + duplicate notifications + duplicate Trust Spine record_created events.,Wrapped create_meeting body in `_do_create` and called `with_idempotency(db · key · {\"role\":\"public\"} · _do_create · workflow=\"meeting\")`.,test_track_22_4b_followup_idempotency_spine.py :: test_meetings_concurrent_same_key_produces_one_meeting,CLOSED
IDEM-COV-02,P1,backend/routes/safety.py :: create_inspection,`POST /api/inspections` has no idempotency protection. Not directly exercised in this preview cycle · but is a high-volume field submit and should adopt the helper.,DEFERRED to a follow-up track. Endpoint remains behind rate_limit_public_post so double-click risk is bounded · but the concurrency race window still exists in principle.,,OPEN (P1 · deferred)
IDEM-COV-03,P2,backend/routes/safety.py :: create_jha,`POST /api/jhas` has no idempotency protection.,DEFERRED to a follow-up track.,,OPEN (P2 · deferred)
IDEM-COV-04,P2,backend/routes/qaqc.py :: create_qaqc_inspection (approx),`POST /api/qaqc-inspections` has no idempotency protection.,DEFERRED.,,OPEN (P2 · deferred)
IDEM-COV-05,P1,backend/routes/equipment_inspections* (approx),`POST /api/equipment-inspections` has no idempotency protection. Pre-Op / DVIR flow — auto-emails on fail must not double-fire under retry.,DEFERRED to a follow-up track.,,OPEN (P1 · deferred)
IDEM-COV-06,P2,backend/routes/hr_portal.py (approx),HR request POSTs have no idempotency protection.,DEFERRED.,,OPEN (P2 · deferred)
IDEM-COV-07,P2,backend/routes/trench_safety/repairs.py · holds.py,Trench safety hold/repair endpoints have no idempotency protection. Safety-gated · low direct concurrency risk (operator-initiated) but should still adopt the helper for correctness.,DEFERRED.,,OPEN (P2 · deferred)
IDEM-COV-08,P2,backend/routes/dispatch_lifecycle.py (approx),Dispatch assignment POSTs have no idempotency protection.,DEFERRED.,,OPEN (P2 · deferred)
