shared_owner_id,name,file,concept,consumers,state,notes
SO-01,canonicalReleaseShaShort,frontend/src/lib/versionCache.js,release identity SHA,"AdminDiagnostics,AdminGovernanceTrust,AdminPlatformConfiguration,ForgedOpsAttribution",REPAIRED,"one canonical human-visible SHA from authorized_saved_sha; never diagnostic"
SO-02,health/status color derivation,backend/routes/admin_operational_health.py (_normalize_status et al),R/Y/G health labels,operational-health + system-health cards,AUDIT_PENDING,"Wave2/Wave7: prove state machine; stale must not be critical"
SO-03,trust_spine / readiness,backend/routes/admin_operations_trust_center.py,cert posture band,readiness cards,AUDIT_PENDING,"activity-window 24h rollup; not bound to deployed SHA"
SO-04,platform_status canonical truth,backend/lib/platform_status.py + /api/admin/platform/status,platform VERIFIED/MISMATCH,OCC,AUDIT_PENDING,"canonical VERIFIED; reconcile with OCC MISMATCH derivation"
SO-05,occ_trust_events aggregator,backend/routes/occ_trust_events.py,recent platform events severity counts,OCC recent events card + AdminGovernanceTrust unified-trust-events,REPAIRED,"TD-0005: deployment_verification audit=historical info (not current critical); counts over returned window (enumerable). Guard GD-0006"
SO-06,governance findings health,backend/routes/governance.py:governance_summary + frontend AdminGovernanceTrust/AdminOS governance evaluators,standards health+freshness,standards cards (backend health_label + OCC card SO-10 + AdminGovernanceTrust + AdminOS tile),REPAIRED,"critical requires critical-severity>=1; advisory backlog=degraded/yellow; freshness separate. Backend GD-0004 6/6; frontend consumers GD-0009 5/5 (TD-0008). ALL consumers aligned to TC-0002"
SO-07,storage lifecycle score,backend/services/r2_lifecycle/health.py,ownership/orphan/capacity scores,storage cards + OCC storage_health,REPAIRED,"TD-0006: ownership_score over attributable (total-protected); real endpoint /api/admin/r2/lifecycle/health. Guard GD-0007"
SO-08,maintenance ops registry,frontend/src/pages/admin/AdminMaintenance.jsx (matchMaintenanceOps) over /api/admin/operations-control/overview,maintenance op statuses,maintenance domain cards,REPAIRED,"TD-0007: deployment card matches deploy.* (was dead category 'deployment'); added governance+queues cards; all 16 ops covered. Guard GD-0008. NOTE: prod OCC operations_registry card UNVERIFIABLE (internal fan-out auth) = honest UNKNOWN, low-pri follow-up SO-08b"
SO-09,population server-side search,backend suppliers/equipment/jobs/employees endpoints + frontend combos,master population truth,all selectors,PARTIAL_RECONCILED,"employees/equip/jobs/suppliers done; users/vehicles/drivers pending Wave3"
SO-10,occ governance card severity,backend/routes/occ_health_aggregator.py:_eval_governance,occ governance trust-card status,OCC health snapshot governance card + overall_status,REPAIRED,"TD-0003: red MISMATCH requires genuine critical (crit-sev>0 or governed 'critical' label); advisory high/medium backlog=DEGRADED. Removed false 'highs>20->MISMATCH' heuristic. Guard GD-0005"
