finding_id,severity,pillar_failed,portal,screen,route,component_file,evidence,operator_impact,technical_impact,recommended_action,test_required,owner_track,status
F22-4-001,P1,Trusted,All (Admin/PM/Safety/HR/Shop),First-screen ""OI signals"" panel,"/admin, /pm/command-center, /safety-portal, /hr, /shop",Overview OI-signal component (shared),Every home shows ""LOADING OI SIGNALS…"" that never resolves in 5+ min sessions,Every operator's first impression is a stale loading state; violates ""first screen answers the primary question"",No visible error state means operator can't tell if data or component is broken,Add 3s timeout that switches to empty/error state; wire real values,Frontend E2E: measure how long OI-signals loading remains,Track 22.4a,OPEN
F22-4-002,P1,Trusted,Dispatch,Live Fleet Map,/dispatch-portal/map,routes/operations_center*.py + frontend Operations Center,190 of 190 assets show ""No Recent Position"" (screenshot); Motive stale by design in preview,Dispatchers cannot rely on the map for real-time position; false ""map is live"" impression,"Motive real key not configured on preview — Integration Truth confirms UNREACHABLE/STALE (correctly)",Add ""demo/awaiting Motive credentials"" ribbon when integration truth reports UNREACHABLE,Frontend visual regression: assert ribbon when Motive not LIVE_VERIFIED,Track 22.4b or Motive-key-config,OPEN
F22-4-003,P1,Simple,Dispatch,Dispatch Hub,/dispatch-portal,routes/dispatch_command_center.py,"Equipment Maintenance Issues Requiring Attention: 349 banner unattributed; ""Attention Required: 0"" tile alongside","Two contradictory attention counts on same screen (349 vs 0)","Cross-portal count aggregation likely joining Shop OOS/defect data",Consolidate to single Attention count OR label banner ""shop-owned"" clearly,Frontend snapshot lock: only one Attention count visible,Track 22.4a,OPEN
F22-4-004,P1,Durable,PM,PM Command Center,/pm/command-center,pages/pm/PmCommandCenter*.jsx (whatever the current source is),Mobile viewport (390×844) shows desktop layout with unreadable dense sidebar + content,PMs on iPad/phone lose usability,Missing responsive breakpoints on the PM home,Add mobile media queries (drawer sidebar + stacked sections),Mobile snapshot on 390px,Track 22.4c mobile,OPEN
F22-4-005,P2,Durable,Frontend architecture,Dead V2 code directory,N/A (source tree only),/app/frontend/src/pages/daily-report-v2/*,Directory still contains DailyReportV2.jsx + _ui.jsx + hooks + panels + sections after DR-UNIFY-003 retired the route,None to operators today; drift risk if imported accidentally,Dead code + potential accidental re-hookup,Delete /app/frontend/src/pages/daily-report-v2/ tree; verify DailyReportV2 has no imports,Static grep for imports; add ESLint no-restricted-imports guard,DR-UNIFY-005,OPEN
F22-4-006,P2,Trusted,Safety,Safety Home,/safety-portal,Safety hub cross-portal read,""Trench Safety Module — No Recent Data"" tile displayed while /trench-safety shows 21 active assets + 4 road plates,Safety officer sees a false ""no data"" for Trench when data exists,Cross-portal count wiring is off,Wire Safety hub Trench tile to same source Trench Safety uses,Backend contract test that Safety hub returns same count as Trench,Track 22.4a,OPEN
F22-4-007,P2,Durable,Trench Safety,Fleet Overview,/trench-safety,pages/trench_safety/*,""Road Plates: 4"" appears as a category in Trench Safety fleet overview,Trench crews see road plate count on a trench-safety page,"Road plates are equipment/dispatch assets; presence here is defensible (fleet awareness) but bleeds product ownership",Confirm doctrine: road plates belong to Dispatch/Equipment Master; remove from Trench UI OR label ""fleet ref only"",Route-scoped test that Trench Safety counts don't include unrelated categories,Track 22.4a,OPEN
F22-4-008,P2,Trusted,Admin,Trust surface count,"/admin/deploy-readiness, /admin/integration-truth, /admin/operations-trust, /admin/production-certification (if present)",Multiple trust surfaces,Four+ overlapping surfaces reporting integration/deploy/backup state,Admin has to visit multiple pages to understand production trust,Consolidate to Integration Truth as canonical + Deploy Readiness as pre-deploy gate,Route census confirms 1 canonical trust surface,Track 22.4a,OPEN
F22-4-009,P3,Simple,PM,PM Overview vs Command Center,/pm and /pm/command-center,pages/pm/*,/pm redirects to /pm/command-center but sidebar shows separate ""Overview"" entry,Minor confusion; two apparent home entries,Documentation clarity,Merge Overview into Command Center OR remove one from sidebar,None,Track 22.4a polish,OPEN
F22-4-010,P3,Beautiful,Admin,Admin sidebar density,/admin,components/AdminShell.jsx + domainMap.js,Sidebar has 30+ items across sections; some sections have 12+ children,Admin cognitive load; hunting behaviour,Not a bug — but violates ""Simple"" pillar,Consider default-collapsed sections + pin favourites,Snapshot test top-level section count,Track 22.4d polish,OPEN
