gap_id,area,gap_or_dependency,current_state,impact,priority,recommended_wp18b_handling,evidence_anchor
G01,Authority documentation,"Project assignment truth spans registry, jobs_master assignment rows, and ODS projection; authority split is real but easy to misread",Source-backed but not formalized,High,P0,"Lock an explicit source-of-truth contract before any redesign",backend/routes/cost_codes.py:48; backend/services/cost_codes/foundation.py:978-1025
G02,Constraint connectivity,"Operational constraints persist correctly, but automatic propagation into schedule/OPPC/ODS was not proven",Existing but partially disconnected,High,P0,"Connect constraints into lifecycle, recap, and executive KPI views",backend/routes/operational_constraints.py:228-497
G03,Intelligence-lane overlap,"OPPC recap, ODS dashboards, and legacy operational-intelligence engine overlap at the executive-summary layer",Existing parallel lanes,High,P0,"Define lane responsibilities and consolidate where redundant",backend/routes/oppc_execution.py:700-727; backend/routes/ods_intelligence.py:1-731; backend/operational_intelligence/routes.py:12-489
G04,Planning lifecycle visibility,"Lookahead / weekly reconciliation exists, but remains embedded instead of clearly governed as its own control domain",Existing embedded capability,Medium,P1,"Promote lifecycle semantics without creating a second planning store",backend/services/cost_codes/foundation.py:206-291; 678-690
G05,Identity remediation ownership,"Project identity governance detects and queues drift but intentionally does not mutate source data",Detection-only governance overlay,Medium,P1,"Assign and document remediation owner workflow",backend/routes/project_identity_governance.py:4-10; 334-422
G06,Executive KPI hierarchy,"Project health, executive ODS, executive ops center, and legacy digest engine all produce executive signals with different semantics",Partially connected,Medium,P1,"Create one KPI hierarchy and trace each tile back to authority",backend/routes/project_health.py:1-517; frontend/pages/ExecutiveOperationalIntelligence.jsx:1-371
G07,Manual provider fallback,"Import/export fallback is honest, but live external-provider sync is not proven",Manual bridge only,Medium,P1,"Keep fallback while adding provider connectors separately",backend/routes/integrations/imports_exports.py:1-335
G08,Downstream Daily Report normalization,"Daily Reports clearly feed many consumers, but cross-path normalization parity was not fully proven in this audit",Strong spine with normalization risk,Medium,P1,"Audit and codify normalized field contract for downstream control consumers",backend/routes/daily_reports.py:1230-2198
G09,Embedded OPPC history on jobs_master,"Forecast, confidence, lifecycle, and Monday review state are embedded on jobs_master",Working but governance-heavy,Low,P2,"Retain for now; decide later whether versioning boundaries need refinement",backend/services/cost_codes/foundation.py:693-796; backend/services/cost_codes/oppc_execution.py:174-194
G10,Runtime evidence limitations from WP-17,"Some parameterized routes remain accepted Preview evidence limitations and should not be overclaimed in architecture certification",Known accepted-risk condition,Medium,P1,"Preserve honest evidence posture in any WP-18B validation plan",/app/memory/WP17F_ACCEPTED_RISK_REGISTER.md
G11,Role-path reachability proof,"Routes are source-backed, but this audit intentionally did not reopen broad click-path validation",Known evidence boundary,Low,P2,"Use targeted runtime validation later only where architecture decisions require it",frontend/src/app/routing/AppRoutes.jsx:700-940
G12,Legacy digest product maturity,"Legacy operational-intelligence package supports implemented and contract-registered products in one engine",Mixed maturity,Medium,P1,"Reuse the engine selectively; do not assume every registered product is production-ready",backend/operational_intelligence/engine.py:122-129; backend/operational_intelligence/routes.py:344-372
