inventory_item_id,inventory_item_type,planned_wave,route_or_item,portal,module,source_component_or_file,current_status,functional,visual,responsive,operational,human_readability,data_truth,evidence,open_issues,executive_approval,locked,status_notes,wave_inventory_id
WP16-ROUTE-018,route_screen,Wave 3 — Admin,/admin/qaqc,Admin,Qaqc,frontend/src/pages/AdminQaqcList.jsx,VERIFIED_CLOSED_WAVE3_NO_CHANGE,PASS,PASS,PASS,PASS,PASS,PASS,Wave 3 repair pass 2026-07-30: fresh hard-load verified `/admin/qaqc` with list content visible. Prior inspection evidence was a false positive caused by manual curl without the directory-bound auth context.,,NO,NO,Verified working without production code change during the repair pass.,
WP16-ROUTE-019,route_screen,Wave 3 — Admin,/admin/transportation/*,Admin,Transportation,frontend/src/pages/AdminTransportation.jsx,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,See WP16_ROUTE_EXERCISE_REGISTER.md for prior evidence.,,NO,NO,Imported from prior route register classification: FULLY_EXERCISED. Admin route `/admin/transportation/*` captured under authenticated admin session.,
WP16-ROUTE-021,route_screen,Wave 3 — Admin,/admin/photos,Admin,Photos,frontend/src/pages/JobPhotosLibrary.jsx,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,See WP16_ROUTE_EXERCISE_REGISTER.md for prior evidence.,,NO,NO,Imported from prior route register classification: FULLY_EXERCISED. Admin route `/admin/photos` captured under authenticated admin session.,
WP16-ROUTE-082,route_screen,Wave 3 — Admin,/admin/trench-safety/excavations,Admin,Trench Safety,frontend/src/pages/trench_safety/ExcavationOversight.jsx,BLOCKED_PRIOR_EVIDENCE,BLOCKED,NOT_YET_EXERCISED,NOT_YET_EXERCISED,NOT_YET_EXERCISED,NOT_YET_EXERCISED,NOT_YET_EXERCISED,See WP16_ROUTE_EXERCISE_REGISTER.md for prior evidence.,,NO,NO,Imported from prior route register classification: BLOCKED_API_FAILURE. Admin trench excavations rendered but trench oversight endpoints returned 401.,
WP16-ROUTE-090,route_screen,Wave 1 — Public Pages & Authentication,/admin/login,Admin,Login,frontend/src/pages/AdminLogin.jsx,REPAIRED_VERIFIED_NOT_CERTIFIED,VERIFIED_PASS,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,VERIFIED_PASS,INSPECTED_NO_DEFECT_OBSERVED,VERIFIED_PASS,"Initial defect evidence: stale /admin/hub redirect target in AdminLogin existing-session path. Repair verification: Playwright 2026-07-30 RESULT::admin_login_autoredirect_after_fix::PASS (path=/admin) with fresh Admin + Directory session present. Files: frontend/src/pages/AdminLogin.jsx, frontend/src/components/EnforcePortalScope.jsx.",,NO,NO,Wave 1 defect WP16-W1-008 repaired and verified. `/admin/login` now preserves a valid existing Admin + Directory session long enough to auto-elevate and redirects that session to `/admin` instead of the stale `/admin/hub` target. Not yet certified pending overall Wave 1 approval.,
WP16-ROUTE-091,route_screen,Wave 2 — Homepage / Dashboard,/admin,Admin,Admin,frontend/src/pages/admin/AdminOS.jsx,REPAIRED_VERIFIED_NOT_CERTIFIED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,REPAIRED_VERIFIED,INSPECTED_NO_DEFECT_OBSERVED,REPAIRED_VERIFIED,REPAIRED_VERIFIED,Final closeout verification 2026-07-30: Admin posture strip showed loading placeholders initially and resolved to real counts within the observation window. W2-006 closed as working as designed; no open defects remain on /admin.,,READY_FOR_EXECUTIVE_LOCK,YES,W2-003 repaired and verified. W2-006 dispositioned as working as designed after final root-cause validation. No open Wave 2 defects remain on /admin.,
WP16-ROUTE-092,redirect_route,Wave 2 — Homepage / Dashboard,/admin/hub_v1,Admin,HUB V1,Navigate,REDIRECT_VERIFIED_NOT_CERTIFIED,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,NOT_APPLICABLE,2026-07-30 Wave 2 inspection: redirect verified from /admin/hub_v1 to /admin.,,PENDING_REPAIR_AUTHORIZATION,YES,Redirect alias verified to canonical Admin home.,
WP16-ROUTE-093,redirect_route,Wave 2 — Homepage / Dashboard,/admin/hub_v2,Admin,HUB V2,Navigate,REDIRECT_VERIFIED_NOT_CERTIFIED,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,VERIFIED_REDIRECT,NOT_APPLICABLE,2026-07-30 Wave 2 inspection: redirect verified from /admin/hub_v2 to /admin.,,PENDING_REPAIR_AUTHORIZATION,YES,Redirect alias verified to canonical Admin home.,
WP16-ROUTE-094,route_screen,Wave 2 — Homepage / Dashboard,/admin/executive-overview,Admin,Executive Overview,frontend/src/pages/ExecutiveOverview.jsx,INSPECTED_NO_DEFECT_OBSERVED_NOT_CERTIFIED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,INSPECTED_NO_DEFECT_OBSERVED,2026-07-30 Wave 2 inspection: runtime route loaded successfully with canonical shell.,,PENDING_REPAIR_AUTHORIZATION,YES,No Wave 2 defect observed in this pass.,
WP16-ROUTE-095,route_screen,Wave 3 — Admin,/admin/executive-intelligence,Admin,Executive Intelligence,frontend/src/pages/ExecutiveIntelligence.jsx,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,PRIOR_EVIDENCE_EXISTS_REVERIFY_REQUIRED,See WP16_ROUTE_EXERCISE_REGISTER.md for prior evidence.,,NO,NO,"Imported from prior route register classification: FULLY_EXERCISED. Executive intelligence route captured across top, middle, and lower sections.",
