role,decision_domain,scope,authority_type,proof_label,notes
Executive,Enterprise hierarchy,company/division/region,approver,DOCUMENTED_ONLY,"Final acceptance of hierarchy and rollout conditions"
Executive,Executive reporting hierarchy,company,approver,DOCUMENTED_ONLY,"Owns the final KPI hierarchy and visibility rules"
Executive,Budget policy and reserve/contingency,company,approver,DOCUMENTED_ONLY,"May approve policy but not field-entry transactions"
Operations leader,Resource federation,division/region,approver,INFERENCE,"Owns cross-project operational balancing rules"
Operations leader,Constraint escalation,division/region,approver,INFERENCE,"Owns cross-project operational escalation"
Project manager,Project cost-code planning,project,writer,SOURCE_VERIFIED,"Canonical project planning owner"
Project manager,Lookahead and forecast updates,project,writer,SOURCE_VERIFIED,"Updates and reviews planning state"
Project engineer,Schedule/progress support,project,writer,INFERENCE,"Supports PM and controls with project updates"
Superintendent,Daily production / field constraints,project,writer,INFERENCE,"Field operational truth input with PM review path"
Foreman,Daily field actuals,project,writer,SOURCE_VERIFIED,"Originates many daily field facts"
Project controls / controller,Budget line approval and baseline governance,project/company,approver,DOCUMENTED_ONLY,"New budget subsystem authority"
Project controls / controller,Earned Value certification,project/company,certifier,DOCUMENTED_ONLY,"Certifies derived EV results and exceptions"
Dispatcher,Dispatch assignments and transportation state,dispatch/project,writer,SOURCE_VERIFIED,"Dispatch owns transportation assignment lifecycle"
Transportation manager,Dispatch override and fleet readiness,region/company,approver,INFERENCE,"Approves major transport exceptions"
Safety professional,Safety event status and corrective workflow,project/company,writer,SOURCE_VERIFIED,"Owns safety records and follow-through"
QA/QC professional,Quality acceptance / rejection,project,writer,DOCUMENTED_ONLY,"Owns quality acceptance facts"
Shop manager,Work order / repair lifecycle,facility,writer,SOURCE_VERIFIED,"Owns shop execution state"
Mechanic,Repair execution evidence,facility,writer,INFERENCE,"Supplies repair facts under shop authority"
HR,Qualification and employee lifecycle status,company/department,writer,SOURCE_VERIFIED,"Owns employee record and qualification state"
Training,Training completion records,company/department,writer,DOCUMENTED_ONLY,"Owns training-completion truth under HR governance"
Accounting / finance,Actual-cost reconciliation and revenue/billing truth,company/project,approver,DOCUMENTED_ONLY,"New finance trust lines under Budget Hierarchy"
Administrator,Configuration and governed admin surfaces,company,writer,SOURCE_VERIFIED,"No financial or project-truth override without policy"
AI,Any authoritative approval or permanent truth change,none,prohibited,DOCUMENTED_ONLY,"AI may assist but may not become authority"
