workflow_id,workflow_name,entry_route,submit_endpoint,role,record_created,db_collection,record_id,routing_verified,email_verified,bell_verified,portal_visibility_verified,pdf_verified,trust_spine_verified,audit_verified,rbac_verified,final_verdict,evidence,notes
DR-01,Daily Report,/daily/new,POST /api/daily-reports,public+field,YES (1376 records),daily_reports,uuid + report_number (e.g. DR-20260505-001),YES (pm_routing.recipients_for_record_async),SKIPPED_HONEST (preview EMAIL_SAFETY_MODE=strict; TS status=skipped/failure_reason=email_safety_mode:strict),YES (linked_source_module=daily_reports · 72 notifications),YES (canonical /api/daily-reports = 200),ASSUMED_PRESENT (pdf writer exists in routes/daily_reports.py),PARTIAL (TS covers ~half — dispatch-assignment has 215+/50 sample; recent DRs empty report_number sometimes miss TS wiring),YES (audit_events=25847 · admin_audit_log=1128),YES (401 anon),PARTIAL,DB counts · TS sample · email-safety row example,"P2: TS coverage inconsistency for records with blank report_number"
EQ-PREOP-01,Equipment Pre-Op,/equipment/new,POST /api/preop-inspections (unverified path),field/public,YES (948 records),equipment_inspections,uuid + inspection_number,PARTIAL (equipment.preop notifications=199),SKIPPED_HONEST,YES (equipment.preop notifs),NOT_VERIFIED (no /api/equipment/inspections?limit=1 → 404 in this trace),NOT_VERIFIED,NOT_VERIFIED (TS workflow=equipment-inspection=94 events),YES,YES (401 anon),PARTIAL,"DB counts · notif source distribution","P2: exact endpoint discovery needed; visibility path unclear"
DVIR-01,DVIR,unclear,unclear,driver,NOT_VERIFIED,unclear (likely equipment_inspections+role='driver'),n/a,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,BLOCKED,,No driver token issued in this trace; DVIR-specific route not discovered
PREOP-FAIL-ROUTE-01,Pre-Op/DVIR failure → Shop,submit failing pre-op,POST /api/preop-inspections + downstream,shop,NOT_VERIFIED,unclear (shop_recovery / equipment_holds),n/a,NOT_VERIFIED,SKIPPED_HONEST,PARTIAL (equipment.preop notifs=199),NOT_VERIFIED,n/a,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,PARTIAL,,"Route to shop appears designed (notifs exist) but end-to-end lifecycle not exercised safely"
INC-01,Incident,/incidents/new,POST /api/incidents,public+field,YES (134 records),incidents,uuid + incident_number,YES (safety.incidents notifs=892 — largest notification source in system),SKIPPED_HONEST,YES (safety.incidents · 892 notifs),NOT_VERIFIED (401 anon; needs safety token),NOT_VERIFIED,YES (workflow=incident TS=311 events),YES (audit_events widespread),YES (401 anon),PARTIAL,"safety.incidents notif count · TS workflow=incident count",Strongest notification wiring on the platform
CAPA-01,Incident→CAPA,internal,internal,safety,unclear (may live in incidents.capa[] subfield),n/a,n/a,NOT_VERIFIED,SKIPPED_HONEST,NOT_VERIFIED,NOT_VERIFIED,n/a,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,,"Track 22.4 SafetyPortal shows 66 open CAPAs, 56 overdue — data exists but CAPA collection name not confirmed in this trace"
TS-INSP-01,Trench Safety inspection,/trench-safety asset lookup,POST /api/trench-safety/inspections,safety/field,YES (432 records),trench_safety_inspections,uuid + asset_id (e.g. TB-04),YES (asset scoped),SKIPPED_HONEST,PARTIAL (holds create implicit notif path),YES (canonical dashboard=200),NOT_VERIFIED,PARTIAL (TS workflow=inspection=336 events),YES,YES (401 anon on dashboard),VERIFIED_PARTIAL,DB counts · latest inspection TB-04 → result=Fail,Recent inspection failure → hold path exists in DB
TS-HOLD-01,Trench Safety hold,failure of inspection,internal cascade,safety,YES (1126 records),trench_safety_holds,uuid,YES,SKIPPED_HONEST,YES,YES,NOT_VERIFIED,NOT_VERIFIED,YES,YES,VERIFIED_PARTIAL,DB count 1126 holds,"Holds heavily used · Repair-Complete-≠-Safe-To-Use invariant depends on hold clear guard; not exercised in this trace"
TS-REPAIR-01,Trench Safety repair,shop lifecycle,internal,shop,unclear (may be inline in holds.repair_state[]),n/a,n/a,NOT_VERIFIED,SKIPPED_HONEST,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,NOT_VERIFIED,,Shop repair lifecycle not exercised safely in this trace
HR-REQ-01,HR Request,/hr/*,POST /api/employee-requests (returned 405 on GET),hr/employee,YES (59 records),employee_requests,uuid,PARTIAL (hr.offboarding notif source = 208),SKIPPED_HONEST,YES (hr.offboarding + others),NOT_VERIFIED (needs HR token),NOT_VERIFIED,NOT_VERIFIED,YES,YES (405 to admin GET without method — endpoint gated),PARTIAL,DB count · notif dist,"P2: request_type/employee_number often null on latest — DEFECT B-01"
