finding_id,route,portal,device_class,drift_category,affected_component,current_implementation,canonical_implementation,current_measured_value,required_canonical_value_or_token,source_file,line_or_component_reference,shared_root_cause,number_of_routes_affected,remediation_method,status,migration_evidence,screenshot_evidence,automated_test_reference,exception_reference,reviewer,verification_date
DRIFT-0001,/,Shared/Public,desktop/tablet/mobile pending certification,headers,Hub,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,Hub,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0002,/safety/forms/equipment-issuance/:id,Safety,desktop/tablet/mobile pending certification,headers,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0003,/safety/forms/equipment-training/:id,Safety,desktop/tablet/mobile pending certification,headers,ViewSafetyForm,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewSafetyForm,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0004,/safety/cards,Safety,desktop/tablet/mobile pending certification,headers,FieldSafetyCards,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,FieldSafetyCards,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0005,/qaqc/:id,QAQC,desktop/tablet/mobile pending certification,headers,ViewQaqcInspection,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,ViewQaqcInspection,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0006,/trench-safety,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/PublicTrenchSafetyDashboard,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/PublicTrenchSafetyDashboard,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0007,/trench-safety/tabulated-data,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/PublicTrenchSafetyTabulatedData,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/PublicTrenchSafetyTabulatedData,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0008,/trench-safety/references,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/PublicTrenchSafetyReferences,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/PublicTrenchSafetyReferences,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0009,/trench-safety/report,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/PublicTrenchSafetyReport,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/PublicTrenchSafetyReport,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
DRIFT-0010,/trench-safety/assets/:assetId,Shared/Public,desktop/tablet/mobile pending certification,headers,trench_safety/TrenchSafetyQrLanding,See route scan / current page implementation,PortalShell / PortalLoginShell / FormShell / canonical tokens/components,pending screenshot measurement,See WP17C_CANONICAL_DESIGN_STANDARD.md + token register,trench_safety/TrenchSafetyQrLanding,pending targeted remediation pass,Legacy route-local wrapper / unmanaged local styling / duplicated shell logic,1,Fix canonical source first; use route-level change only if truly unique and documented,OPEN,pending,pending,pending,none,E1,2026-08-01
