surface,file_reference,visible_issue,evidence_reference,impact,repair_priority,smallest_safe_repair
Executive Overview subtitle,frontend/src/pages/ExecutiveOverview.jsx,"Read-only · leadership focus for executives / Read-only · v{foundation_version} · leadership focus",lines 158|173|193,"Software-style wording on an executive surface instead of Heavy Civil language.",P1,"Replace with construction-first wording such as 'View only' or a role/action description."
Project Health confidence footnote,frontend/src/pages/ProjectHealth.jsx,"Deterministic · canonical",line 222,"Internal architecture jargon is directly visible beside a KPI summary.",P0,"Replace with operator language such as 'Based on current project records.'"
Governance Health Chip,frontend/src/components/GovernanceHealthChip.jsx,"governance drift / governance improving / governance monitor / governance stable",lines 80-93,"Internal governance vocabulary is exposed on operator hubs without field meaning.",P0,"Rename to plain work-area condition labels or remove from operator-facing shells until role-readable."
Telemetry stale note,frontend/src/components/telemetry/TelemetryTruthNote.jsx,"Showing last good snapshot.",line 27,"Snapshot language is platform/telemetry jargon instead of construction-first language.",P0,"Replace with plain wording such as 'Showing the last verified update.'"
Project Intelligence Strip,frontend/src/components/operations-map/ProjectIntelligenceStrip.jsx,"Waiting for telemetry / No active areas yet · waiting for telemetry",lines 69|86,"Telemetry wording is not operator-first and weakens field readability.",P0,"Replace with 'Waiting for live fleet updates' or equivalent field wording."
Operational Intelligence export fallback,frontend/src/components/operational_intelligence/OperationalIntelligenceSnapshotWorkspace.jsx,"CSV export is deferred in this release.",line 78,"Release-process language leaks onto a production operator surface.",P0,"Replace with plain availability wording such as 'Export is not available on this page yet.'"
Operational Intelligence metric preface,frontend/src/components/operational_intelligence/OperationalIntelligenceSnapshotWorkspace.jsx,"Every KPI below is built from Work Blocks...",line 115,"KPI and Work Block language may be valid internally but is not yet role-readable for every operator.",P1,"Use plain language that explains what records feed the numbers and why they matter."
PM operational strip heading,frontend/src/components/PmOperationalKPIs.jsx,"Operational KPIs / Intelligence — no cost data / Loading operational rollups / Unable to load KPIs",lines 56|58|77|78,"Acronym and back-office phrasing reduce construction-first readability.",P1,"Use role-first terms like 'Project performance', 'photo findings', and 'project totals'."
PM latest summary empty state,frontend/src/components/PmOperationalKPIs.jsx,"No AI summary accepted in this window.",line 294,"Direct AI wording is visible without operator framing.",P1,"Reframe as approved daily summary or shift story wording."
Safety operational strip subtitle,frontend/src/components/SafetyOperationalKpisCard.jsx,"One spine. Same numbers PM sees, safety-first framing.",line 87,"Architecture shorthand is visible on a safety leadership surface.",P1,"Replace with plain language about company safety totals and project follow-up."
