step,layer,file_and_symbol,action,collections_touched,retry_idempotency,failure_behavior,notes
01,Frontend build,NewDailyReport.jsx::submit(),Builds payload = { ...data, masci_crews: stripped _prefilled markers, submit_language },—,idempotencyKeyRef.current set from persisted IDB key or fresh mintIdempotencyKey(),—,ES → EN translation via translateUserInput
02,Frontend upload,resiliency/enqueueUpload,POST /api/daily-reports body=payload with Idempotency-Key header (from ref) and X-FL-Token when present,—,Offline queue with 5 retries then dead-letter,Queued path: toast + navigate to /thank-you queued state,onQueueItemSettled → commit()/emit draft.write.ok/fail
03,Backend rate limit,daily_reports.py::rate_limit_public_post,IP+workflow rate limiter dependency,rate_limit_bucket,—,HTTP 429,Public POST rate-limited
04,Backend excavation gate,daily_reports.py::create_daily_report,If excavation_activity_today ~ yes AND no linked_excavation_ids → HTTP 422,—,Client-side mirror also blocks (V10),422 excavation_record_required,Never insert
05,Backend idempotency,lib/idempotency::with_idempotency,Wraps _do_create with idempotency_events collection to prevent duplicate submit,idempotency_events + daily_reports,idempotency store keyed on Idempotency-Key,Second call returns cached response (never reinserts),Cross-request retry-safe
06,Backend prepared_by binding,lib/prepared_by_resolver::resolve_prepared_by_identity,Best-effort inspection of portal tokens (X-FL-Token/admin/pm/etc.) → prepared_by_identity + prepared_by_bound=true,—,—,Silent on failure,FSI/public path leaves prepared_by_bound=false
07,Backend advisory flags,daily_reports.py::_derive_advisory_flags,Sets may_require_rfi/may_affect_schedule on each constraints[] row,—,—,—,Deterministic · operator override respected
08,Backend doc_id mint,doc_ids::ensure_doc_id,Atomically mints DR-YYYY-NNNNN from doc_id_counters and writes back to doc,doc_id_counters + daily_reports,atomic increment,—,report_number unconditionally OVERWRITTEN with doc_id (Track 22.4b B-03)
09,Backend photo sanitization,daily_reports.py::_sanitize_inline_photos,Walks photos[] + subcontractors[*].photos[] + materials[*].ticket_photos[] and replaces base64 data URLs with photo:// R2 refs,—,soft — leaves inline if R2 not configured,counters returned but not surfaced,Idempotent · noop on already-ref'd photos
10,Backend audit hash,daily_reports.py::_compute_audit_envelope_sha256,SHA256 over canonical envelope (excludes _id/audit_envelope_sha256/created_at),—,—,—,Tamper-detect anchor · footer consumer
11,Backend team snapshot,lib/team_routing::snapshot_team,Freezes active project roster at submit time (team_snapshot embedded),—,best-effort,silent on fail,Historical roster preservation
12,Backend insert,db.daily_reports.insert_one(doc),Persists canonical doc,daily_reports,—,—,Single source of truth
13,Backend ODS ingest,services/ods_spine::ingest_dr_v1_report,Emits production_fact / material_fact / photo_evidence_fact / delay_fact / equipment_fact / labor_fact + day_summary_fact if ai_accepted_summary present,ods_facts,best-effort,silent on fail,DR-CUTOVER-001 · re-verified 2026-02-06
14,Backend photo intelligence enqueue,services/photo_intelligence::enqueue_v1_report,Inserts pending job per attached photo,dr_v1_photo_intel_jobs,idempotent (unique index),silent on fail,TRACK 22.9B · re-verified 2026-02-06
15,Backend photo intelligence first-pass (BackgroundTasks),services/photo_intelligence::process_v1_report,Fires after response returns; analyzes each photo via AI Gateway; upserts dr_v2_photo_intelligence,dr_v2_photo_intelligence,idempotent per (report_id,photo_id),silent on fail,Reconciler picks up any dropped jobs (60s cadence)
16,Backend excavation two-way link,trench_excavations.update_many,addToSet daily_report_links on each linked excavation record,trench_excavations,—,silent on fail,OMEGA Correction 1
17,Backend job_photos index,routes/job_photos::index_record_photos,Mirrors photos[] into the Job Photos library,job_photos,—,silent on fail,Read-only mirror
18,Backend trust spine open,lib/trust_spine::emit_record_created workflow='daily-report',Writes trust_spine_events + stages daily_report_lifecycle=state:submitted,trust_spine_events + daily_report_lifecycle,—,silent on fail,correlation_id attached to doc
19,Backend email dispatch,schedule_auto_email('daily-report' · doc),Adds row to email_dispatch_queue → auto_email_dispatch:daily-report worker resolves PM emails via jobs_master.pm/co_pm/superintendent + distribution_list,email_dispatch_queue + email_delivery_log + email_dead_letter,retries with backoff,dead-letter after max attempts,PM-only kind (no roster CC)
20,Backend field submitter identity,lib/field_submitter_identity::resolve_identity,Tier-1 resolves FL token / employee_id / email; falls back to FSI hash; tier-5 dead-letter for orphans,field_submitter_identity + fsi_dead_letter,—,silent on fail,iter452.5
21,Backend response,DailyReport(**report_dict),Returns full canonical doc,—,—,—,Frontend uses id/report_number for navigation
22,Frontend post-response,submit() success branch,commit() draft · saveCrewSetup(payload) · rememberLastProject · usageTracker · toast · navigate to /thank-you (public) or /daily/{id} (admin),IDB + localStorage + telemetry,—,—,ES sidecar persisted best-effort
23,Frontend queued branch,submit() offline branch,DO NOT commit until onQueueItemSettled confirms 2xx; navigate to /thank-you with submissionState=queued,IDB,queue owns retries,—,DR-BLOCKER-001B honesty
24,Backend DELETE,daily_reports.py::delete_daily_report,ALWAYS returns HTTP 410 (frozen),—,—,410 daily_report_delete_frozen,Legacy record freeze M1
