domain_object,authoritative_owner,steward,system_of_record,proof_label,lifecycle_owner,archive_rule,downstream_consumers
Project identity,Project admin / PM,jobs steward,jobs_master,SOURCE_VERIFIED,Project admin,permanent historical retention,"PM, ODS, Project Health, KPIs, budget, EV"
Organization hierarchy,Enterprise governance,governance admin,enterprise governance registry,SOURCE_VERIFIED,Enterprise governance,historical hierarchy snapshots,"permissions, reporting, AI scope, portals"
User authority snapshot,Enterprise governance,identity steward,identity projections,SOURCE_VERIFIED,Enterprise governance,historical authority snapshots,"permissions, approvals, reporting"
Project roster,PM + HR,team steward,project_team_assignments,SOURCE_VERIFIED,PM/HR,retain assignment history,"PM, dispatch, reporting"
Cost-code library,Project controls + finance,cost-code steward,cost_code_registry,SOURCE_VERIFIED,Project controls,versioned library history,"planning, budget, schedule, reports"
Project cost-code planning,PM / project controls,planning steward,jobs_master.assigned_cost_codes,SOURCE_VERIFIED,PM,retain revisions and publish history,"schedule, forecast, EV, reporting"
Daily production facts,Field + PM,field reporting steward,daily_reports,SOURCE_VERIFIED,PM,retain immutable submitted history + governed corrections,"schedule, payroll, reporting, EV"
Payroll reconciliation,HR/payroll,HR steward,payroll_variance,SOURCE_VERIFIED,HR,retain weekly variance history,"HR, finance, executive"
Constraints,PM / superintendent,constraint steward,daily_reports + operational_constraints,SOURCE_VERIFIED,PM/superintendent,retain both daily and standing histories,"schedule, forecast, executive"
Equipment registry,Asset admin,asset steward,Asset Spine / equipment_master,SOURCE_VERIFIED,Asset admin,retain full unit lifecycle,"dispatch, shop, project, reporting"
Dispatch assignment,Dispatch,dispatch steward,dispatch assignments / command surfaces,SOURCE_VERIFIED,Dispatch,retain assignment lifecycle,"transport reporting, project awareness"
Shop work order,Shop manager,shop steward,shop work order systems,DOCUMENTED_ONLY,Shop manager,retain maintenance history,"fleet, executive, cost impacts"
Safety event,Safety,safety steward,safety records,SOURCE_VERIFIED,Safety,retain per compliance policy,"executive, HR, project"
QA/QC acceptance,QA/QC,quality steward,QA/QC records,DOCUMENTED_ONLY,QA/QC,retain inspection and acceptance history,"project, billing, EV"
PO request / approval,Procurement approver,PO steward,po_requests,SOURCE_VERIFIED,Approver,retain full request lifecycle,"Project Health, budget, finance"
Project P&L snapshot,Finance/PM derived view,P&L steward,derived from daily_reports,SOURCE_VERIFIED,Finance/PM derived owner,derived reader only,"PM, admin, executive"
Budget line,Finance/project controls,budget steward,new budget subsystem,DOCUMENTED_ONLY,Finance/project controls,versioned baseline and revision retention,"forecast, EV, executive"
Commitment,Finance/procurement,commitment steward,new budget subsystem + PO bindings,DOCUMENTED_ONLY,Finance/procurement,retain commitment history,"forecast, margin, executive"
Actual cost,Finance/accounting,actual-cost steward,new budget subsystem + external reconciliations,DOCUMENTED_ONLY,Finance/accounting,retain full audit history,"forecast, EV, executive"
Earned Value measure,Project controls / finance,EV steward,new EV subsystem,DOCUMENTED_ONLY,Project controls / finance,retain calculation snapshots and exception history,"PM, executive"
Forecast snapshot,PM / project controls,forecast steward,existing forecast lineage + future financial layer,SOURCE_VERIFIED,PM/project controls,retain scenario and override history,"executive, PM, EV"
AI capability config,Admin,AI steward,tenant AI capabilities / admin config,SOURCE_VERIFIED,Admin,retain audit history,"AI readers and tooling"
AI output,Human owning role,AI output steward,derived only,SOURCE_VERIFIED,Human role,no independent archival authority,"operator surfaces only"
PDF / email template,Admin/domain owner,communications steward,existing report/email framework,DOCUMENTED_ONLY,Admin/domain owner,template version history,"operators, executives, external recipients"
Backup artifact,Platform operations,backup steward,current backup/recovery system,DOCUMENTED_ONLY,Platform operations,retain per recovery policy,"recovery only"
