TRACK 23.5 · Employee Identity Integration — Field-by-Field Matrix
Every row below traces one canonical HR field from the Employee
Lifecycle write schema through every consumer on the platform.

Legend:
  ✅  end-to-end wired
  ❌  DATA LOSS BEFORE FIX (repaired by TRACK 23.5)
  —   not applicable to this consumer

hr_field,write_schema_key,mongo_collection,mongo_doc_key,employee_lifecycle_ui_source,hr_employees_api_pre,hr_employees_api_post,employees_api_pre,employees_api_post,hr_employee_roster_api_pre,hr_employee_roster_api_post,fetchHrRoster_key,pickHrFields_output,EmployeeCombo_onPick_field,daily_report_v3_row_key,daily_reports_masci_crews_key,ods_labor_fact_payload_key,pdf_render_key,hr_time_verification,payroll_variance,pm_intelligence,email_notification,notes
employee_id,employee_id,employees,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,employee_id,✅ always present
legal_name,name,employees,name,name,name,name,name,name,name,name,name,name,name,name,name,person_name,name,employee_name_snapshot,person_name,person_name,person_name,✅ always present
preferred_name,preferred_name,employees,preferred_name,preferred_name,preferred_name,preferred_name,preferred_name (added 23.4B),preferred_name,preferred_name,preferred_name,preferred_name,name (composite),—,name,—,person_name,—,—,—,—,—,rarely populated (2/399 in preview)
display_identity,derived,employees,composite,composite from legal + preferred,not projected,display_identity (23.5 normalizer),not projected,display_identity (23.5 normalizer),not projected,display_identity (23.5 normalizer),display_identity,name,name,—,employee_name_snapshot,employee_name_snapshot,employee_name_snapshot,—,—,—,—,✅ NEW normalized field
trade,trade,employees,trade,Trade / Role column,trade,trade,trade,trade,trade,trade,trade,trade,trade,trade,trade_snapshot,role · trade_snapshot · trade_role_display,trade_role_display,role,role,role,—,✅ NEW display key
role,role,employees,role,Trade / Role column (fallback),role,role,role,role,role,role,role,trade (fallback),trade,trade,trade_snapshot,role,trade_role_display,role,role,role,—,legacy alias · rarely used
crew,crew,employees,crew,Crew column,crew,crew,crew,crew,crew,crew,crew,crew,crew,crew,crew_snapshot,crew_snapshot · crew_display,crew_display,—,—,crew,—,✅ NEW display key
department,department,employees,department,internal HR taxonomy,department,department,department,department,department,department,department,crew (fallback),—,—,—,—,department_display,—,—,—,—,✅ NEW · fallback for crew when crew blank
division,not written (dead field),employees,—,not shown,not projected,not projected (removed 23.5),division (present but always empty),removed (23.5),not projected,not projected,—,—,—,—,—,—,—,—,—,—,❌ DEAD FIELD · removed 23.5
supervisor,supervisor,employees,supervisor,Supervisor column,supervisor,supervisor,supervisor,supervisor,❌ NOT PROJECTED PRE-23.5,supervisor,supervisor,supervisor,supervisor,supervisor,supervisor_snapshot,supervisor_snapshot · supervisor_display,supervisor_display,—,—,supervisor,—,✅ P0 FIX · roster endpoint now projects supervisor
supervisor_name,not written (legacy alias),employees,—,—,not projected,not projected,not projected,not projected,supervisor_name (always empty),removed (23.5),—,supervisor (fallback),—,—,—,—,—,—,—,—,—,❌ DEAD FIELD · removed 23.5
supervisor_id,not written (dead field),employees,—,—,not projected,not projected,not projected,not projected,supervisor_id (always empty),removed (23.5),—,—,—,—,—,—,—,—,—,—,—,❌ DEAD FIELD · removed 23.5
trade_role_display,derived,employees,derived,derived,not present,trade_role_display (23.5 normalizer),not present,trade_role_display (23.5 normalizer),not present,trade_role_display (23.5 normalizer),trade_role_display,trade (via pickHrFields),trade,trade_role_display,trade_role_display,trade_role_display,trade_role_display,role,role,role,—,✅ NEW · single-key HR read for every consumer
crew_display,derived,employees,derived,derived,not present,crew_display (23.5 normalizer),not present,crew_display (23.5 normalizer),not present,crew_display (23.5 normalizer),crew_display,crew (via pickHrFields),crew,crew_display,crew_display,crew_display,crew_display,—,—,crew,—,✅ NEW
supervisor_display,derived,employees,derived,derived,not present,supervisor_display (23.5 normalizer),not present,supervisor_display (23.5 normalizer),not present,supervisor_display (23.5 normalizer),supervisor_display,supervisor (via pickHrFields),supervisor,supervisor_display,supervisor_display,supervisor_display,supervisor_display,—,—,supervisor,—,✅ NEW
is_active,is_active,employees,is_active,derived from lifecycle_status,is_active,is_active,is_active,is_active,active (derived),active (derived),active,—,—,—,—,—,—,—,—,—,—,filters inactive employees out of pickers
lifecycle_status,lifecycle_status,employees,lifecycle_status,Status column,lifecycle_status,lifecycle_status,lifecycle_status,lifecycle_status,lifecycle_status,lifecycle_status,lifecycle_status,—,—,—,—,—,—,—,—,—,—,used for active-filter
