endpoint,method,handler_file,workflow_name,collection,identity_field,protection_before_phase_2,protection_after_phase_2,tests_added,notes
/api/inspections,POST,routes/safety.py,inspection,inspections,doc_id,DEFERRED (P1),PROTECTED (with_idempotency workflow=inspection),test_inspections_concurrent_same_key_one_record · test_inspections_distinct_keys_produce_distinct_records,Auth-gated (safety/admin). Fan-out to safety + PM notif + operational signal.
/api/equipment-inspections,POST,routes/equipment.py,equipment_inspection,equipment_inspections,doc_id,DEFERRED (P1),PROTECTED (with_idempotency workflow=equipment_inspection),test_equipment_inspections_concurrent_same_key_one_record,Pre-Op / DVIR. Public + rate-limited. Includes failure → Maintenance Hold side effect.
/api/jhas,POST,routes/safety.py,jha,jhas,doc_id,DEFERRED (P2),PROTECTED (with_idempotency workflow=jha),test_jhas_concurrent_same_key_one_record,Public + rate-limited. Safety fan-out.
/api/qaqc-inspections,POST,routes/qaqc.py,qaqc,qaqc_inspections,doc_id,DEFERRED (P2),PROTECTED (with_idempotency workflow=qaqc),test_qaqc_concurrent_same_key_one_record,Public + rate-limited. Failure → PM + safety fan-out.
/api/hr/employee-requests (approx),POST,routes/employee_requests.py,hr_request,employee_requests,id,DEFERRED (P2),STILL DEFERRED,,Blocked pending HR PVI trace track (B-01). Handler layered — requires deeper audit before wrap.
/api/dispatch/assignments,POST,routes/dispatch_lifecycle.py,dispatch,dispatch_assignments,id,DEFERRED (P2),STILL DEFERRED,,>1400 LOC handler with SMS + Motive side effects. Requires targeted concurrency track; unsafe to refactor in this pass. Motive read-only path must remain untouched.
/api/trench-safety/assets/{ident}/repairs,POST,routes/trench_safety/repairs.py,trench_repair,trench_safety_repairs,id,DEFERRED (P2),STILL DEFERRED,,Safety-gated · operator-initiated (very low concurrency risk). Existing B-04 lifecycle invariants must be preserved. State-transition semantics reduce practical duplicate risk.
/api/trench-safety/assets/{ident}/holds,POST,routes/trench_safety/holds.py,trench_hold,trench_safety_holds,id,DEFERRED (P2),STILL DEFERRED,,Safety-gated. Low concurrency risk.
/api/trench-safety/inspections,POST,routes/trench_safety/inspections.py,trench_inspection,trench_safety_inspections,id,DEFERRED (P2),STILL DEFERRED,,Safety-gated.
/api/shop/defects (approx),POST,routes/shop*.py,shop_defect,shop_defects,id,DEFERRED (P2),STILL DEFERRED,,Shop-gated. Needs a dedicated audit to identify canonical write path.
