route,portal,page_component,shell_implementation,header_implementation,logo_asset,rendered_logo_dimensions,header_height,background_treatment,primary_colors,font_family,title_size,body_size,content_width,left_right_padding,card_style,button_style,form_style,sidebar_style,responsive_behavior,duplicate_components_used,hard_coded_styling,known_exceptions,remediation_action,visual_drift_categories
/,Shared/Public,Hub,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,WP17 grid + glass,"red,amber,emerald,orange,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header
/revise/:token,Shared/Public,Revise,Route-local shell,Minimal / inherited,none/unknown,pending screenshot certification,pending screenshot certification,WP17 grid + glass,"red,amber,slate",mixed/local,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,mixed/local,native/mixed,route-local / n/a,none/local,pending viewport certification,,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,forms
/safety,Safety,SafetySection,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,emerald,cyan,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/safety/forms/login,Safety,SafetyFormsLogin,PortalLoginShell,Canonical public auth header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-md,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,PortalLoginShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/safety/forms,Safety,SafetyFormsHub,PortalShell,Canonical platform header,MasciLogo,pending screenshot certification,pending screenshot certification,Mixed / local,"red,amber,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-6xl,pending live measurement,wp17-panel/wp17-form-frame,native/mixed,route-local / n/a,PortalShell responsive nav,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/safety/forms/equipment-issuance/new,Safety,NewSafetyEquipmentIssuance,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/safety/forms/equipment-issuance/:id,Safety,ViewSafetyForm,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-2xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; tables
/safety/forms/equipment-issuance/:id/return,Safety,ReturnEquipment,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-2xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,,yes,none documented,Visual recertification / remove local overrides,certification pending
/safety/forms/equipment-training/new,Safety,NewSafetyEquipmentTraining,FormShell,Canonical form header,MasciLogo,pending screenshot certification,pending screenshot certification,Flat slate background,"red,amber,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-4xl,pending live measurement,wp17-panel/wp17-form-frame,canonical button set,FormShell,none/local,pending viewport certification,legacy-help-tip,yes,none documented,Audit coaching treatment and reduce duplicated help bands,coaching
/safety/forms/equipment-training/:id,Safety,ViewSafetyForm,Route-local shell,Legacy local header,MasciLogo,pending screenshot certification,pending screenshot certification,Legacy blueprint grid,"red,amber,emerald,slate",font-display + mono + sans tokens,pending live measurement,pending live measurement,max-w-2xl,pending live measurement,mixed/local,canonical button set,route-local / n/a,none/local,pending viewport certification,local-logo; local-lang-toggle; legacy-local-header,yes,none documented,Move route to PortalShell / PortalLoginShell / FormShell and remove local header/footer,header; tables
