step,owner,when,url_or_command,expected_result,pass_fail_notes
1,operator,post_deploy_min_0,https://mascidocs.com (or prod URL) login,"admin session established, portal_tokens returned",
2,operator,post_deploy_min_1,/admin/integrations/truth-status,"Motive overall=LIVE_VERIFIED (not UNREACHABLE). MongoDB LIVE_VERIFIED. R2/Resend/Sentry CONFIGURED.",
3,operator,post_deploy_min_2,/dispatch-portal,"emerald Motive live ribbon (or honest stale ribbon if syncer lagging). Fleet/location freshness visible.",
4,operator,post_deploy_min_3,/pm/command-center on iPhone (390px viewport),"no horizontal scroll, safety-portal H1 fully visible, all tap targets ≥44px",
5,operator,post_deploy_min_4,/equipment/submit on real iOS Safari,"Continue button once, no modal spam on success load, no re-arm loop",
6,operator,post_deploy_min_5,any recent Daily Report → view PDF,"PDF renders. report_number == doc_id in URL. Trust Spine entries visible.",
7,operator,post_deploy_min_6,DVIR portal → submit a failing item (if safe),"Shop defect queue receives exactly ONE new row. No duplicate SMS/email.",
8,operator,post_deploy_min_7,/admin/shop/defects,"queue renders. no orphan rows. status classification correct.",
9,operator,post_deploy_min_8,/admin/safety,"Trench safety hold and repair views render. No B-04 missing-checklist warnings.",
10,operator,post_deploy_min_9_to_15,monitor operator email inbox for 5 minutes,"no unexpected email/SMS bursts. Any legitimate DR/dispatch emails render correctly.",
CONTINGENCY,operator,any_time,Emergent platform rollback,"single-click rollback to previous checkpoint. Preview branch untouched.",
CONTINGENCY,operator,if_email_storm,flip EMAIL_SAFETY_MODE=strict in production env,"suppresses all outgoing email. Redeploy required to un-suppress.",
