trust_line_id,business_line,producer,consumer,current_status,trust_strength,known_gap_or_risk,evidence_source,confidence_level,architectural_impact,recommended_disposition
TL01,Project identity -> PM job scope,"jobs_master governance-scoped reads","PM jobs selector and PM entry surfaces",COMPLETE,HIGH,"Read path is proven; mutation owner sits outside the audited slice",WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T01-T02,HIGH,"Identity scope is already constitutional and should remain singular",REUSE
TL02,Project identity -> roster/staffing,"jobs_master + project_team_assignments","team roster pages and staffing summary",COMPLETE,HIGH,"Derived staffing rollups must stay subordinate to roster truth",WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T03-T04,HIGH,"Supports reusable project/team lineage",REUSE
TL03,Cost-code registry -> project assignment,"cost_code_registry","assignment normalizer and project assignment APIs",COMPLETE,HIGH,"Risk exists only if registry and project execution roles are blurred",WP18A_COST_CODE_FORENSIC_AUDIT.md:15-23,HIGH,"Registry and execution truth must stay intentionally split",REUSE
TL04,Project assignment -> schedule,"jobs_master.assigned_cost_codes","schedule_engine and PM schedule workspace",COMPLETE,HIGH,"Upstream assignment completeness still governs schedule quality",WP18A_SCHEDULE_FORENSIC_AUDIT.md:30-55,HIGH,"Core schedule trust line is already reusable",EXTEND
TL05,Daily production -> progress/schedule,"daily_reports.cost_code_quantities","progress recompute and schedule snapshot",COMPLETE,MEDIUM_HIGH,"Truth depends on field-entry discipline and accepted submission",WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:13-23,MEDIUM_HIGH,"Actuals already anchor the planning spine",REUSE
TL06,Daily production -> Monday review,"Daily Reports canonical records","OPPC execution workspace",COMPLETE,MEDIUM_HIGH,"Upstream completeness still governs readiness",WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:43-50,MEDIUM_HIGH,"Weekly review already rests on canonical production evidence",REUSE
TL07,Schedule -> Monday review,"schedule snapshot + planning lifecycle","PmMondayReviewWorkspace",COMPLETE,MEDIUM_HIGH,"Review semantics exist but hierarchy with executive outputs needs clearer governance",WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:13-24,MEDIUM_HIGH,"Preserve and extend the existing review chain",EXTEND
TL08,Monday review -> Monday briefing,"OPPC workspace + confidence builders","oppc_monday_briefings",COMPLETE,MEDIUM_HIGH,"The workspace/artifact split must stay explicit",WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:26-43,MEDIUM_HIGH,"Real briefing persistence already exists",REUSE
TL09,Daily Reports -> ODS facts/KPI snapshots,"create_daily_report best-effort ODS ingest","PM/Admin/Executive ODS dashboards",WEAK,MEDIUM_HIGH,"Derived intelligence should not be mistaken for canonical operations truth",WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T13,MEDIUM_HIGH,"Extend with clearer lineage, not a new dashboard store",EXTEND
TL10,Constraints -> PM command center,"operational_constraints","PM command center holds rows",COMPLETE,MEDIUM,"Current connection is UI aggregation only, not full schedule/KPI binding",pm_command_center.py:301-341,MEDIUM,"Existing PM visibility is useful but incomplete",EXTEND
TL11,Constraints -> schedule hierarchy,"operational_constraints","schedule/lifecycle consumers",WEAK,MEDIUM,"Automatic downstream propagation was not proven",WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G02,MEDIUM,"This is one of the most important missing constitutional bindings",EXTEND
TL12,Constraints -> executive KPI flow,"operational_constraints","executive KPI and recap consumers",WEAK,MEDIUM,"Evidence did not prove constraint-backed KPI flow",WP18A_EXECUTIVE_AUDIT_REPORT.md:118-130,MEDIUM,"Executive KPI hierarchy remains incomplete until this line is connected",EXTEND
TL13,Planning lifecycle -> lookahead semantics,"jobs_master.oppc_planning_lifecycle","PM schedule and Monday readiness consumers",WEAK,MEDIUM_HIGH,"Capability is embedded and under-labeled for operators/executives",WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md:13-35,HIGH,"Formalize semantics on the existing owner",EXTEND
TL14,Resource demand -> resource coordination,"jobs_master.assigned_cost_codes + project_team_assignments + dispatch_assignments","enterprise resource coordination consumers",WEAK,MEDIUM_HIGH,"Federated ownership exists but constitutional seams are not yet explicit",OPPC_ENTERPRISE_RESOURCE_COORDINATION.md:5-24,MEDIUM_HIGH,"Reuse current owners and formalize the federation",EXTEND
TL15,Equipment identity -> equipment planning,"equipment_master","PM command resources and executive resource coordination",WEAK,MEDIUM_HIGH,"Identity is clear, but project-controls equipment planning hierarchy is not singularly named",track_15_73_slice1_equipment_audit.py:203-248; pm_command_center.py:396-420,MEDIUM_HIGH,"Reuse asset truth while clarifying planning semantics",EXTEND
TL16,Executive KPI dictionary -> executive consumers,"/api/admin/wp17a/kpi-dictionary","executive/admin KPI surfaces",WEAK,MEDIUM_HIGH,"Dictionary exists, but not all executive lanes are constitutionally aligned to it",WP17A_EXECUTIVE_KPI_DICTIONARY.md:1-59,MEDIUM_HIGH,"Consolidate existing KPI producers under one hierarchy",CONSOLIDATE
TL17,Budget hierarchy -> operator/executive consumers,"none proven","none proven",MISSING,HIGH,"No canonical budget owner, store, or flow was evidenced in the audited package",domainMap.js:42-51; operational_kpis.py:16-17,HIGH,"One of the only evidence-backed build-new domains",BUILD_NEW
TL18,Earned value -> operator/executive consumers,"none proven","none proven",MISSING,HIGH,"No earned value formula engine, persistence owner, or API was evidenced in the audited package",Repository-wide search executed 2026-08-03,HIGH,"Must be derived later on top of reused cost/schedule/budget truths",BUILD_NEW
