artifact,artifact_type,proof_basis,primary_function
WP18_ECAP_EXECUTIVE_DECISION_BOOK.md,markdown,DOCUMENTED_ONLY,"master executive decision summary"
WP18_ECAP_AMENDMENT_ACCEPTANCE_REGISTER.md,markdown,DOCUMENTED_ONLY,"accept every BR3 amendment in contract form"
WP18_ECAP_WP18C_IMPLEMENTATION_CONTRACT.md,markdown,DOCUMENTED_ONLY,"define before/during/excluded/evidence rules for WP18C"
WP18_ECAP_EXECUTIVE_GO_NO_GO.md,markdown,DOCUMENTED_ONLY,"top-level go/no-go contract"
WP18_ECAP_PLATFORM_PRESERVATION_MAP.md,markdown,DOCUMENTED_ONLY,"quantify what is preserved, extended, refactored, retired, or built new"
WP18_ECAP_CAPABILITY_DISPOSITION_MATRIX.csv,csv,DOCUMENTED_ONLY,"authoritative subsystem disposition ledger"
WP18_ECAP_REUSE_EXTENSION_CONSOLIDATION_REGISTER.csv,csv,DOCUMENTED_ONLY,"explain why preserved systems are not rebuilt"
WP18_ECAP_NO_REBUILD_REGISTER.md,markdown,DOCUMENTED_ONLY,"protect validated subsystems from unnecessary replacement"
WP18_ECAP_RETIREMENT_AND_DEPRECATION_REGISTER.md,markdown,DOCUMENTED_ONLY,"limit retirement to explicit duplicate lanes"
WP18_ECAP_ENTERPRISE_HIERARCHY_CONSTITUTION.md,markdown,SOURCE_VERIFIED+INFERENCE,"define final enterprise hierarchy"
WP18_ECAP_EXECUTIVE_REPORTING_HIERARCHY.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"define KPI and reporting rollup law"
WP18_ECAP_AUTHORITY_AND_SOURCE_OF_TRUTH_MAP.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"final truth-owner map"
WP18_ECAP_ROLE_DECISION_AUTHORITY_MATRIX.csv,csv,DOCUMENTED_ONLY,"role-to-decision authority matrix"
WP18_ECAP_DATA_OWNERSHIP_AND_STEWARDSHIP_MATRIX.csv,csv,SOURCE_VERIFIED+DOCUMENTED_ONLY,"data ownership and stewardship ledger"
WP18_ECAP_BUDGET_HIERARCHY_CONSTITUTION.md,markdown,PARTIAL_EVIDENCE+INFERENCE,"final budget architecture"
WP18_ECAP_COST_CODE_AND_COST_TRUST_ARCHITECTURE.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"cost-code trust architecture"
WP18_ECAP_EARNED_VALUE_ENGINE_BLUEPRINT.md,markdown,NOT_FOUND+INFERENCE,"final earned-value architecture"
WP18_ECAP_PROJECT_CONTROLS_OPERATING_MODEL.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"weekly operating model"
WP18_ECAP_SCHEDULE_LOOKAHEAD_ACTUALS_ARCHITECTURE.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"schedule/lookahead/actuals rules"
WP18_ECAP_PRODUCTION_QUANTITY_PRODUCTIVITY_MODEL.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"production and quantity truth model"
WP18_ECAP_FORECASTING_COMMITMENT_ACTUALS_MODEL.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"forecast/commitment/actuals model"
WP18_ECAP_EXECUTIVE_FINANCIAL_KPI_DICTIONARY.csv,csv,DOCUMENTED_ONLY,"authoritative financial KPI dictionary"
WP18_ECAP_CROSS_SYSTEM_INTERACTION_MAP.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"interaction architecture law"
WP18_ECAP_EVENT_AND_DATA_FLOW_REGISTER.csv,csv,SOURCE_VERIFIED+DOCUMENTED_ONLY,"event-level cross-system flow register"
WP18_ECAP_INTEGRATION_AUTHORITY_REGISTER.csv,csv,SOURCE_VERIFIED+DOCUMENTED_ONLY,"integration ownership boundaries"
WP18_ECAP_NOTIFICATION_APPROVAL_ESCALATION_MODEL.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"notifications/approvals/escalations contract"
WP18_ECAP_AI_AUTOMATION_AUTHORITY_CONSTITUTION.md,markdown,SOURCE_VERIFIED+DOCUMENTED_ONLY,"AI authority boundary"
WP18_ECAP_OPERATOR_IMPACT_MATRIX.csv,csv,DOCUMENTED_ONLY,"role impact matrix"
WP18_ECAP_ROLE_BASED_OPERATING_EXPERIENCE.md,markdown,DOCUMENTED_ONLY,"operator experience law"
WP18_ECAP_NAVIGATION_AND_ENTRY_IMPACT.md,markdown,DOCUMENTED_ONLY,"entry/return-path rules"
WP18_ECAP_EN_ES_CONTENT_IMPACT.md,markdown,DOCUMENTED_ONLY,"English/Spanish impact rules"
WP18_ECAP_REPORT_PDF_EMAIL_IMPACT.md,markdown,DOCUMENTED_ONLY,"PDF/email/report impact rules"
WP18_ECAP_IMPLEMENTATION_SEQUENCE.md,markdown,DOCUMENTED_ONLY,"dependency-ordered WP18C sequence"
WP18_ECAP_DEPENDENCY_AND_CRITICAL_PATH_REGISTER.csv,csv,DOCUMENTED_ONLY,"critical path dependencies"
WP18_ECAP_MIGRATION_AND_BACKFILL_STRATEGY.md,markdown,DOCUMENTED_ONLY,"migration and backfill contract"
WP18_ECAP_COMPATIBILITY_AND_TRANSITION_PLAN.md,markdown,DOCUMENTED_ONLY,"compatibility and transition rules"
WP18_ECAP_IMPLEMENTATION_RISK_REGISTER.csv,csv,DOCUMENTED_ONLY,"implementation risk register"
WP18_ECAP_ACCEPTANCE_AND_CERTIFICATION_MATRIX.csv,csv,DOCUMENTED_ONLY,"acceptance evidence requirements by package"
