capability_id,capability_name,primary_frontend_routes,primary_backend_api_or_module,primary_storage_or_authority,maturity,connectivity,trust,primary_consumers,noted_limitations,wp18_allowed_disposition,evidence_anchor
C01,PM scoped jobs and project selector,"/pm/jobs; shared selector surfaces","backend/routes/pm_routes.py:/pm/jobs","jobs_master + governance project scope",HIGH,CONNECTED,HIGH,"PmProjectSelector; PM Jobs view; PM command/schedule/workspace entry","Read path proven; authority is list/read only",REUSE_AS_IS,"backend/routes/pm_routes.py:281-307; frontend/components/pm/command/PmProjectSelector.jsx:4-36"
C02,Project team roster,"/admin/jobs/:projectNumber/team; /pm/job/:projectNumber/team; inline team panels","backend/routes/project_team_assignments.py","project_team_assignments + jobs_master existence checks + user_directory lookups",HIGH,CONNECTED,HIGH,"JobTeamRosterPanel; roster pages; public team readers","Admin-managed roles and PM-manageable roles are intentionally split",REUSE_AS_IS,"backend/routes/project_team_assignments.py:878-1385"
C03,Cross-project staffing overview,"/admin/project-staffing; /pm/project-staffing","backend/routes/project_team_assignments.py:/api/project-staffing/summary","jobs_master + project_team_assignments",HIGH,CONNECTED,MEDIUM_HIGH,"ProjectStaffingHub; PM/Admin staffing entry points","Derived view depends on active project and active roster truth",EXTEND,"backend/routes/project_team_assignments.py:1384-1465; frontend/pages/ProjectStaffingHub.jsx:4-91"
C04,Project identity governance queue,"/admin/project-identity","backend/routes/project_identity_governance.py","jobs_master authoritative; project_identity_conflicts queue derived",MEDIUM,CONNECTED,MEDIUM,"Admin governance queue and metrics consumers","Detection and operator queue only; module explicitly never mutates source records",EXTEND,"backend/routes/project_identity_governance.py:1-423"
C05,Cost code registry,"/admin/cost-registry","backend/routes/cost_codes.py:/cost-codes/registry","cost_code_registry",HIGH,CONNECTED,HIGH,"Registry admin surfaces; assignment normalizer","Registry authority is clear; downstream consumers still depend on project assignment completeness",REUSE_AS_IS,"backend/routes/cost_codes.py:324-352; backend/routes/cost_codes.py:48"
C06,Project cost code assignments,"/pm/project-schedule; supporting PM/admin cost-code surfaces","backend/routes/cost_codes.py:/cost-codes/projects/{project_number}/assignments","jobs_master.assigned_cost_codes projected into project_operational_config",HIGH,CONNECTED,HIGH,"PmProjectSchedule; ODS config projection; OPPC consumers","Canonical assignment authority sits on jobs_master; ODS config is derivative projection",EXTEND,"backend/routes/cost_codes.py:363-466; backend/services/cost_codes/foundation.py:978-1025"
C07,Project schedule and CPM workspace,"/pm/project-schedule","backend/routes/cost_codes.py:/schedule + backend/services/cost_codes/schedule_engine.py","Derived from assigned_cost_codes + daily report actuals + override history",HIGH,CONNECTED,MEDIUM_HIGH,"PmProjectSchedule; OPPC workspace; briefing build","Deterministic engine exists, but trust still depends on upstream assignment and actual-entry quality",EXTEND,"backend/routes/cost_codes.py:486-520; backend/services/cost_codes/schedule_engine.py"
C08,Forecast overrides and forecast history,"/pm/project-schedule","backend/routes/cost_codes.py:/forecast + /forecast/snapshots + /forecast/overrides","jobs_master.oppc_forecast_history + jobs_master.oppc_forecast_overrides",MEDIUM_HIGH,CONNECTED,MEDIUM_HIGH,"PmProjectSchedule; Monday briefing forecast section","No separate forecast store; history is embedded on jobs_master",EXTEND,"backend/routes/cost_codes.py:495-609; backend/services/cost_codes/foundation.py:693-707; 890"
C09,Planning lifecycle and weekly rollover,"/pm/project-schedule","backend/routes/cost_codes.py:/planning-lifecycle/publish + /weekly-rollover/*","jobs_master.oppc_planning_lifecycle",MEDIUM,PARTIAL,MEDIUM,"PmProjectSchedule; OPPC readiness and lifecycle references","Existing capability is embedded inside schedule/cost-code module rather than a standalone planning service",EXTEND,"backend/routes/cost_codes.py:760-883; backend/services/cost_codes/foundation.py:678-690; 1040-1046"
C10,Daily report canonical submission and detail,"/daily/submit; /daily-reports; /pm/daily; /admin/daily","backend/routes/daily_reports.py","daily_reports",HIGH,CONNECTED,HIGH,"Field submit UI; PM/Admin daily readers; downstream safety/ODS/OPPC consumers","Heavy downstream fan-out raises trust dependence on field-entry quality",REUSE_AS_IS,"backend/routes/daily_reports.py:1230-1707; 1709-2174"
C11,Daily report safety projection,"/safety daily-report views","backend/routes/safety_portal/daily_reports.py","daily_reports read-only projection",HIGH,CONNECTED,MEDIUM_HIGH,"Safety Portal read-only list","Projection intentionally omits labor/cost detail and is not source authority",REUSE_AS_IS,"backend/routes/safety_portal/daily_reports.py:1-78"
C12,ODS facts, snapshots, and project config,"/pm/operational-intelligence; /admin/executive-operational-intelligence and related ODS consumers","backend/routes/ods.py + backend/services/ods_spine/*","operational_facts + operational_kpi_snapshots + project_operational_config",HIGH,CONNECTED,MEDIUM_HIGH,"PM/Admin/Executive ODS dashboards and project cards","Derived analytics layer; not primary source of record for raw operations",EXTEND,"backend/routes/ods.py:1-193; backend/services/ods_spine/store.py:18-21"
C13,PM ODS operational intelligence,"/pm/operational-intelligence","backend/routes/ods_intelligence.py:/ods/pm/*","operational_kpi_snapshots + operational_facts",HIGH,CONNECTED,MEDIUM_HIGH,"PmOperationalIntelligence page","Consumer-only dashboard; no ownership over raw operational truth",REUSE_AS_IS,"backend/routes/ods_intelligence.py:222-309; 612-729; frontend/pages/PmOperationalIntelligence.jsx:1-120"
C14,Admin and executive ODS dashboards,"/admin/executive-operational-intelligence and executive intelligence views","backend/routes/ods_intelligence.py:/ods/admin/* + /ods/executive/*","operational_kpi_snapshots + operational_facts + jobs_master confidence rollups",HIGH,CONNECTED,MEDIUM_HIGH,"ExecutiveOperationalIntelligence and related admin dashboards","Read-side only; confidence summaries are derivative rollups",REUSE_AS_IS,"backend/routes/ods_intelligence.py:312-610; frontend/pages/ExecutiveOperationalIntelligence.jsx:44-367"
C15,Operational constraints registry,"/constraints","backend/routes/operational_constraints.py","operational_constraints",MEDIUM,PARTIAL,MEDIUM,"Constraint list/detail/edit surfaces","Existing blocker-memory substrate is proven, but no evidence shows automatic schedule or ODS binding yet",CONNECT,"backend/routes/operational_constraints.py:1-497"
C16,PM Command Center,"/pm/command-center","backend/routes/pm_command_center.py + frontend/components/pm/command/pmCommandApi.js","Shared canonical stores; no dedicated command-center collection",HIGH,CONNECTED,MEDIUM_HIGH,"PmCommandCenter and its section boards","Read-only aggregation by design; trust depends on upstream shared systems",REUSE_AS_IS,"backend/routes/pm_command_center.py:1-23; frontend/components/pm/command/pmCommandApi.js:1-72"
C17,Project health and production confidence,"/project-health and embedded project health consumers","backend/routes/project_health.py","jobs_master + tasks + po_requests + document_expirations + incidents + corrective_actions + confidence history on jobs_master",HIGH,CONNECTED,MEDIUM_HIGH,"Project health page; OPPC briefing/workspace references","Aggregate consumer only; explicitly states no duplicate source of truth",EXTEND,"backend/routes/project_health.py:1-517"
C18,OPPC Monday review workspace,"/pm/monday-review","backend/routes/oppc_execution.py + backend/services/cost_codes/oppc_execution.py","jobs_master.oppc_monday_reviews + trust_spine_events + daily_reports-derived actuals",HIGH,CONNECTED,MEDIUM_HIGH,"PmMondayReviewWorkspace; briefing builders","Workspace is connected, but readiness still depends on upstream report/task/payroll completeness",EXTEND,"backend/routes/oppc_execution.py:198-580; backend/services/cost_codes/oppc_execution.py:174-730"
