risk_id,area,risk_or_dependency,current_state,impact,priority,evidence_source,confidence_level,recommended_disposition,execution_implication
R01,Authority contracts,"Project-controls truth is split across registry, jobs_master assignment rows, and derivative projections without a single constitutional contract",existing_high_risk,High,P0,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G01",HIGH,EXTEND,"WP-18C must start by locking explicit authority contracts before feature work"
R02,Constraint connectivity,"Operational constraints persist, but automatic propagation into schedule, lookahead, Monday review, and executive KPIs was not proven",existing_high_risk,High,P0,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G02",HIGH,EXTEND,"Connect this line before claiming constraint-aware controls"
R03,Executive intelligence overlap,"OPPC recap, ODS dashboards, project health, and legacy operational-intelligence all emit executive signals",existing_high_risk,High,P0,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G03,G06",MEDIUM_HIGH,CONSOLIDATE,"Do not create a fourth executive lane; define hierarchy first"
R04,Lookahead visibility,"Rolling two-week planning already exists but is embedded and under-labeled",existing_medium_risk,Medium,P1,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G04",HIGH,EXTEND,"Formalize lifecycle semantics before adding new planning artifacts"
R05,Identity remediation ownership,"Identity governance detects and queues drift but does not own remediation",existing_medium_risk,Medium,P1,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G05",MEDIUM,EXTEND,"Future operating model must name the remediation owner without moving identity truth"
R06,Daily Report normalization,"Daily Reports clearly feed many consumers, but cross-path normalization parity was not fully proven",existing_medium_risk,Medium,P1,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G08",MEDIUM,EXTEND,"Codify the downstream field contract before expanding executive reliance"
R07,Embedded OPPC state on jobs_master,"Forecast, confidence, lifecycle, and Monday review state share the jobs_master surface",existing_low_risk,Low,P2,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G09",MEDIUM,EXTEND,"Retain now, but defer structural refactoring until after authority lock"
R08,Manual provider fallback,"CSV import/export fallback is real, but live Motive/MaintainX sync was not proven",existing_medium_risk,Medium,P1,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G07",HIGH,CONNECT,"Preserve fallback during any later connector work"
R09,Resource-planning federation,"Resource planning spans assignments, roster, dispatch, and equipment owners rather than one named control domain",existing_medium_risk,Medium,P1,"OPPC_ENTERPRISE_RESOURCE_COORDINATION.md:5-24",MEDIUM_HIGH,EXTEND,"Formalize federated ownership seams instead of inventing a parallel store"
R10,Equipment-planning federation,"Equipment identity and deployment truth exist, but project-controls equipment planning is spread across fleet, dispatch, and PM command surfaces",existing_medium_risk,Medium,P1,"pm_command_center.py:396-420,508-560; track_15_73_slice1_equipment_audit.py:203-248",MEDIUM_HIGH,EXTEND,"Any later planning layer must reuse equipment_master and dispatch_assignments"
R11,Budget owner absent,"No canonical budget store, hierarchy, or engine was evidenced in the audited package",absent_high_risk,High,P0,"domainMap.js:42-51; operational_kpis.py:16-17; repository search executed 2026-08-03",HIGH,BUILD_NEW,"Budget hierarchy is a legitimate net-new domain if later authorized"
R12,Earned value absent,"No earned value engine, formula register, or API was evidenced in the audited package",absent_high_risk,High,P0,"Repository-wide search executed 2026-08-03; no earned value/EVM/CPI/SPI owner found",HIGH,BUILD_NEW,"Earned value must come after budget authority and must remain derived"
R13,Operator wayfinding fragmentation,"Core PM controls exist, but cost codes, forecast, lookahead, resources, and safety are not uniformly named or consolidated from an operator perspective",existing_medium_risk,Medium,P1,"WP18A_PM_NAVIGATION_AND_ENTRY_PATH_AUDIT.md; domainMap.js:19-101",MEDIUM_HIGH,EXTEND,"Architectural documentation should lock discoverability expectations before UI changes are ever considered"
R14,Accepted runtime evidence limits,"Some parameterized routes remain accepted preview/runtime evidence limitations and should not be overclaimed in architecture certification",known_boundary,Medium,P1,"WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G10-G11; WP17F_ACCEPTED_RISK_REGISTER.md",MEDIUM,REUSE,"Keep architecture claims tied to source evidence, not missing runtime fixtures"
