workflow_id,workflow_name,before_verdict,after_verdict,change_reason,evidence
DR-01,Daily Report,PARTIAL,VERIFIED_PARTIAL,B-03 fixed · report_number now aligned with doc_id on 100% of records (1376/1376 · was 271/1376),Backfill audit row in dr_report_number_backfill_audit; test_b03_daily_reports_all_have_report_number_populated PASS
EQ-PREOP-01,Equipment Pre-Op,PARTIAL,VERIFIED_PARTIAL,B-08 closed · canonical read endpoint /api/equipment-inspections confirmed and locked,test_b08_equipment_inspections_canonical_endpoint_works PASS · admin 200 · anon 401
DVIR-01,DVIR,BLOCKED,BLOCKED,No preview driver token issued in this track window,B-06 remains OPEN — deep audit deferred to Track 22.4b-followup-Driver
PREOP-FAIL-01,Pre-Op/DVIR failure route,PARTIAL,PARTIAL,No change — route-to-shop logic exists but lifecycle unexercised without driver token,notif module 'equipment.preop' has 199 rows proving wiring
INC-01,Incident,PARTIAL,PARTIAL,No change — safety.incidents notifs=892 (largest source) but per-role portal visibility unexercised without safety token,DB evidence only
CAPA-01,CAPA,NOT_VERIFIED,NOT_VERIFIED,Collection name still unconfirmed — likely nests in incidents.capa[] or is a separate collection under different name,Deferred to Track 22.4b-followup-Safety
TS-INSP-01,Trench Safety inspection,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change,432 records; TS workflow=inspection=336
TS-HOLD-01,Trench Safety hold,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change,1126 holds
TS-REPAIR-01,Trench Safety repair,NOT_VERIFIED,NOT_VERIFIED,B-04 unchanged — role guard invariants (Repair-Complete ≠ Safe-To-Use · Shop cannot clear Safety Hold) not exercised safely without safety and shop tokens,Deferred to Track 22.4b-followup-Safety
HR-REQ-01,HR Request,PARTIAL,PARTIAL,No change — B-01 identity-nulls investigation would require HR token to reproduce the write path,Deferred
MTG-01,Safety Meeting,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change — B-02 subject/company nulls investigation deferred,133 records; TS workflow=meeting=560
QAQC-01,QA/QC,PARTIAL,VERIFIED_PARTIAL,B-07 closed · canonical read endpoint /api/qaqc-inspections confirmed and locked,test_b07_qaqc_canonical_endpoint_works PASS · admin 200 · anon 401
JHA-01,JHP/JHA,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change,12 records · 12 TS events (1:1)
DRV-01,Driver Portal,BLOCKED,BLOCKED,No preview driver token issued in this track window,B-06 remains OPEN
DISP-ASGN-01,Dispatch Assignment,VERIFIED,VERIFIED,No change — was already VERIFIED,490 records · TS=210+ · asset.transfer notifs=489
ROLL-OFF-01,Roll-Off,NOT_VERIFIED,VERIFIED_MODEL,"B-05 closed · canonical model confirmed: dispatch_assignments.haul_type='Roll-Off'. Preview has zero Roll-Off records but the model is unambiguous.",test_b05_roll_off_model_is_dispatch_assignment_haul_type PASS · HAUL_TYPES includes 'Roll-Off' first-class · dispatch_command_center.py line 2140-2142
PUB-INC-01,Public Incident,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change,2 public submissions in incident_case_public_submissions
PUB-JHA-01,Public JHA lookup,VERIFIED_PARTIAL,VERIFIED_PARTIAL,No change,read-only path reachable
PUB-SAFETY-TILE-01,Public Safety Tile,VERIFIED,VERIFIED,No change,Track 22.4 screenshot evidence
NOTIF-01,Notifications overall,VERIFIED,VERIFIED,No change,"11137 notifs · 8633 unread · 0 real emails sent (EMAIL_SAFETY_MODE=strict)"
