metric_id,label,definition,formula,source_authority,seeded_value,owner,confidence_behavior,insufficient_data_behavior,published
c8-bac,BAC,Approved budget at completion from active governed budget version,Active budget amount sum,project_budget_authority,1200,project_budget_authority,High when active version exists,Blocked if no active budget version,YES
c8-pv,PV,Time-phased budget planned to be earned by status date using preserved baseline,Sum(BAC line × baseline elapsed fraction),project_schedule_authority,0,project_schedule_authority,High when baseline timing exists,Blocked when baseline timing missing; 0 when status date is before planned start,YES
c8-ev,EV,Value earned from approved quantity first and approved physical percent second,Approved quantity × unit budget value; fallback BAC × approved percent,project_earned_value_engine,1200,project_earned_value_engine,High for quantity-based; Medium for schedule-based,Blocked when neither approved quantity nor approved physical percent exists,YES
c8-ac,AC,Recognized actual cost linked to governed budget lines,Sum(approved actual-cost allocations),project_budget_authority,900,project_budget_authority,High when open actual-cost count is 0,Partial or blocked when receipt/accounting linkage is incomplete,YES
c8-cv,CV,Cost variance,EV - AC,project_earned_value_engine,300,project_earned_value_engine,Inherits EV/AC confidence,Blocked if EV or AC blocked,YES
c8-sv,SV,Schedule variance,EV - PV,project_earned_value_engine,1200,project_earned_value_engine,Inherits EV/PV confidence,Blocked if PV blocked,YES
c8-cpi,CPI,Cost performance index,EV / AC,project_earned_value_engine,1.3333,project_earned_value_engine,Inherits EV/AC confidence,Blocked when AC denominator is 0 or incomplete,YES
c8-spi,SPI,Schedule performance index,EV / PV,project_earned_value_engine,,project_earned_value_engine,Inherits EV/PV confidence,Null when PV denominator is 0; never faked to green,YES
c8-etc,ETC,Estimate to complete from C7 remaining-work forecast,Inherited C7 remaining-work forecast allocated by governed unit lineage,project_forecasting_commitments,,project_forecasting_commitments,Inherits C7 forecast confidence,Null when no remaining governed forecast exists at the current grain,YES
c8-eac,EAC,Estimate at completion from recognized AC plus governed ETC,max(AC + ETC, commitment floor + ETC),project_earned_value_engine,900,project_earned_value_engine,Inherits AC/ETC confidence,Partial when ETC or AC is incomplete,YES
c8-tcpi,TCPI,Required future performance against BAC,(BAC - EV) / (BAC - AC),project_earned_value_engine,,project_earned_value_engine,Inherits BAC/EV/AC confidence,Null when denominator is not valid after full earned completion or zero remaining BAC,YES
