trust_challenge_id,trust_line,wp18b_status,challenge_findings,ratification_status,revised_position,evidence_source,confidence_level,risk,executive_impact
T01,Project identity -> PM job scope,COMPLETE,"No alternate project-scope owner found; governance scope reads remain downstream of jobs_master",SURVIVES,"Keep as complete trust line",WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T01-T02,HIGH,Low,"Identity scope can be constitutionally locked"
T02,Cost-code registry -> project assignment,COMPLETE,"Challenge did not find a second definition catalog; split remains intentional and healthy",SURVIVES,"Keep as complete trust line",WP18A_COST_CODE_FORENSIC_AUDIT.md:15-23,HIGH,Low,"Registry reuse is constitutionally safe"
T03,Project assignment -> schedule,COMPLETE,"Challenge confirmed schedule writes still persist back to jobs_master.assigned_cost_codes and schedule remains derived",SURVIVES,"Keep as complete trust line",backend/routes/cost_codes.py:679-758; WP18A_SCHEDULE_FORENSIC_AUDIT.md,HIGH,Low,"One schedule spine survives deliberate challenge"
T04,Daily Reports -> progress/schedule,COMPLETE,"Challenge confirmed actual quantities still flow from daily_reports; no second actuals table found",SURVIVES,"Keep as complete trust line",OPPC_DAILY_PRODUCTION_CERTIFICATION.md:18-23,HIGH,Low,"Core field-actuals trust survives"
T05,Payroll variance -> Monday review,OMITTED_IN_WP18B,"Challenge found a material trust line missing from the earlier ratification: payroll_variance_batches is a governed readiness dependency for Monday review",ADDED,"Add as constitutional trust line",OPPC_WEEKLY_REVIEW_WORKFLOW.md:16-24,54-55; OPPC_PAYROLL_RECONCILIATION_CERTIFICATION.md:26-36,HIGH,Medium,"Weekly labor governance is more mature than WP-18B explicitly recorded"
T06,Haul cycles -> production/resource throughput,OMITTED_IN_WP18B,"Challenge found haul_cycles already drives truck activity rollup and PM command production counts",ADDED,"Add as constitutional trust line",OPPC_DAILY_PRODUCTION_CERTIFICATION.md:32; OPPC_CANONICAL_DATA_OWNERSHIP.md:42; pm_command_center.py:457-489,HIGH,Medium,"Transportation throughput already influences production visibility"
T07,Daily Reports constraints -> OPPC production review,OMITTED_IN_WP18B,"Challenge found daily constraint facts are already consumed in OPPC production analysis",ADDED,"Add as explicit field-fact trust line",OPPC_CANONICAL_DATA_OWNERSHIP.md:34; OPPC_DAILY_PRODUCTION_CERTIFICATION.md:18-23,HIGH,Medium,"Field blockers are more embedded in production analysis than WP-18B stated"
T08,Operational constraints -> schedule hierarchy,WEAK,"Challenge still could not prove automatic downstream propagation",CHALLENGE_HOLDS,"Remain weak and unratified",WP18A_GAP_AND_DEPENDENCY_REGISTER.csv:G02; WP18B_TRUST_LINE_REGISTER.csv:TL11,MEDIUM,High,"Constraint-aware scheduling remains a major implementation blocker"
T09,Operational constraints -> executive KPI flow,WEAK,"Still not proven after challenge",CHALLENGE_HOLDS,"Remain weak and unratified",WP18B_TRUST_LINE_REGISTER.csv:TL12; WP18A_EXECUTIVE_AUDIT_REPORT.md:118-130,MEDIUM,High,"Executive blind spots persist until this line is formalized"
T10,Asset Spine -> PM equipment planning,OMITTED_IN_WP18B,"Challenge found PM command center often reads equipment_master directly and only labels source_system=asset_spine in places; the canonical route through Asset Spine is not consistently explicit",ADDED_AS_WEAK,"Add as weak trust line requiring ratification",backend/routes/asset_spine.py:223-227; pm_command_center.py:570,1009-1032; BCSS asset decision record 154-170,HIGH,High,"Equipment planning can silently bypass constitutional identity boundaries"
T11,Dispatch assignments -> resource coordination,WEAK_BUT_REAL,"Challenge confirmed it exists, but also confirmed federation, overload rules, and crew/superintendent conflict logic remain derived rather than one explicit workflow",SURVIVES_WITH_CAVEAT,"Keep real but federated",OPPC_ENTERPRISE_RESOURCE_COORDINATION.md:24-38,HIGH,Medium,"Scales only if federation remains explicit"
T12,ODS facts/snapshots -> AI/executive briefs,WEAK_BUT_REAL,"Challenge confirmed AI-brief cache and ODS intelligence exist, but the path is derived-only and inherits semantic overlap from upstream KPI lanes",SURVIVES_WITH_CAVEAT,"Keep as derived trust line only",WP18A_ENGINE_AND_SERVICE_REGISTER.csv:E10; backend/routes/ods_intelligence.py:1-6,71-120,HIGH,Medium,"AI can summarize only what the executive hierarchy already defines clearly"
T13,PO approvals -> budget authority,MISSING,"Challenge found PO approval workflow with approved_amount/estimated_amount, but no budget baseline or hierarchical authority",CHALLENGE_HOLDS,"Do not upgrade; this is adjacency only",backend/routes/po_requests.py:588-668; project_health.py:355-398,HIGH,High,"Controller/CFO workflows remain under-governed without a budget owner"
T14,KPI dictionary -> all executive lanes,WEAK,"Challenge confirmed dictionary scope exists, but not that every executive lane is bound to it",CHALLENGE_HOLDS,"Remain weak pending consolidation",WP17A_EXECUTIVE_KPI_DICTIONARY.md:1-59; WP18B_AUTHORITY_MATRIX.csv:A14,MEDIUM_HIGH,High,"Executive reporting can still drift semantically across lanes"
T15,Trust Spine/workflow_state_events -> OPPC auditability,PARTIAL_IN_WP18B,"Challenge strengthened this line: Trust Spine and workflow_state_events already form the canonical audit pair for OPPC and payroll workflows",SURVIVES_AND_STRENGTHENS,"Ratify as constitutional audit backbone",OPPC_TRUST_SPINE_EVENT_MAP.md:164-175; OPPC_PAYROLL_RECONCILIATION_CERTIFICATION.md:22-27,50-54,HIGH,Low,"Auditability foundation is stronger than the earlier package stated"
