kind,implemented_surface,scope,status,evidence
csv_schedule_import,/api/pm/project-controls/projects/{project_number}/schedule/imports,current+baseline schedule staging,RUNTIME_CERTIFIED,"/app/backend/tests/test_wp18c5_schedule_actuals_api.py"
forecast_schedule_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,forecast-only derived schedule export,RUNTIME_CERTIFIED,"backend/services/project_schedule_authority.py::export_schedule_view; /app/test_reports/iteration_115.json"
schedule_actuals_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,candidate + approved actual review export,RUNTIME_CERTIFIED,"/app/backend/tests/test_wp18c5_schedule_actuals_api.py; /app/test_reports/iteration_115.json"
daily_work_plan_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,day-of-execution overlay export,RUNTIME_CERTIFIED,"/app/backend/tests/test_wp18c5_schedule_actuals_api.py; /app/test_reports/iteration_115.json"
two_week_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,lookahead export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
four_week_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,lookahead export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
crew_plan_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,planned crew export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
equipment_plan_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,planned equipment export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
material_plan_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,planned material export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
work_package_plan_csv,/api/pm/project-controls/projects/{project_number}/schedule/export,work-package planning export,INHERITED_C4_RUNTIME_CERTIFIED,"WP18C4_TEST_AND_CERTIFICATION_REPORT.md"
excel_schedule_import,architecture_only,non-CSV schedule staging lane,NOT_RUNTIME_CERTIFIED,"C4 preserved constraint"
p6_xer_xml,architecture_only,Primavera import lane,NOT_RUNTIME_CERTIFIED,"C4 preserved constraint"
microsoft_project,architecture_only,MS Project import lane,NOT_RUNTIME_CERTIFIED,"C4 preserved constraint"
pdf_assisted_extraction,architecture_only,review-assisted extraction only,NOT_RUNTIME_CERTIFIED,"C4 preserved constraint"
