authority_id,domain_or_capability,canonical_owner,mutation_owner,governance_owner,primary_producer,primary_consumers,authoritative_storage,owner_status,confidence_level,architectural_impact,recommended_disposition,evidence_source
A01,Project identity,jobs_master,"project maintenance workflows outside this audit slice",project_identity_governance.py,"project identity maintenance workflows outside this audit slice","PM jobs; staffing; cost-code assignment; ODS; project health",jobs_master,ACTIVE_CANONICAL,HIGH,"Defines the root project key used by downstream controls; must remain the constitutional anchor",REUSE,"WP18A_EXECUTIVE_AUDIT_REPORT.md:66-83; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T01"
A02,Project team roster,project_team_assignments,"Admin/PM roster actions within existing role boundaries",project_team_assignments.py,"Admin/PM roster actions","team roster pages; staffing summary; PM command consumers",project_team_assignments,ACTIVE_CANONICAL,HIGH,"Owns labor-assignment truth for project staffing and resource planning",REUSE,"WP18A_PLATFORM_CAPABILITY_REGISTER.csv:C02-C03; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T03-T04"
A03,Cost-code definitions,cost_code_registry,"admin registry routes",cost_codes.py,"admin registry maintenance","assignment normalizer; registry admin; schedule setup",cost_code_registry,ACTIVE_CANONICAL,HIGH,"Global reusable code authority already exists and should never be replaced by project-local copies",REUSE,"WP18A_COST_CODE_FORENSIC_AUDIT.md:15-18; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T05"
A04,Project-specific cost-code assignments,jobs_master.assigned_cost_codes,"PM/admin assignment update actions",services/cost_codes/foundation.py,"PM/admin assignment update actions","schedule; forecast; OPPC; ODS config projection",jobs_master.assigned_cost_codes,ACTIVE_CANONICAL,HIGH,"This is the project-execution planning owner; confusing it with registry or ODS projections reintroduces truth drift",EXTEND,"WP18A_COST_CODE_FORENSIC_AUDIT.md:20-23; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T06"
A05,Schedule hierarchy,"Deterministic schedule snapshot built from jobs_master.assigned_cost_codes + daily_reports.cost_code_quantities","upstream assignment changes and forecast override actions",schedule_engine.py,"schedule_engine.py over canonical assignments and actuals","PM schedule; Monday review; Monday briefings",derived schedule payload only,DERIVED_BUT_CONSTITUTIONAL,HIGH,"The engine exists and is reusable; hierarchy semantics must be formalized without creating a second schedule store",EXTEND,"WP18A_SCHEDULE_FORENSIC_AUDIT.md:11-28; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T08"
A06,Forecast hierarchy,"jobs_master.oppc_forecast_history + jobs_master.oppc_forecast_overrides","PM forecast snapshot and override actions",cost_codes.py + foundation.py,"PM schedule forecast actions","PM schedule; Monday briefings; executive confidence consumers","jobs_master.oppc_forecast_history; jobs_master.oppc_forecast_overrides",ACTIVE_EMBEDDED_DERIVED,HIGH,"Forecast governance already exists with separated truth classes; it needs constitutional naming and downstream clarity",EXTEND,"OPPC_FORECASTING_CRITICAL_PATH_CERTIFICATION.md:7-25; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T09"
A07,Rolling two-week lookahead,jobs_master.oppc_planning_lifecycle,"planning-lifecycle publish/apply actions",cost_codes.py + foundation.py,"cost-code assignment and lifecycle publication actions","PM schedule; OPPC readiness; Monday review","jobs_master.oppc_planning_lifecycle",ACTIVE_EMBEDDED,HIGH,"Lookahead is real but under-recognized because it is embedded; constitutional work should expose it rather than rebuild it",EXTEND,"WP18A_LOOKAHEAD_AND_WEEKLY_RECONCILIATION_AUDIT.md:13-35; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T10"
A08,Production tracking,daily_reports,"field/public Daily Report submit flows",daily_reports.py,"field submitters","cost-code progress; schedule; safety projection; ODS; OPPC; PM/Admin daily review",daily_reports,ACTIVE_CANONICAL,HIGH,"Daily Reports are already the strongest production truth feed and should not be mirrored into a second actuals store",REUSE,"WP18A_DAILY_REPORT_PROJECT_CONTROLS_BINDING_AUDIT.md:11-50; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T11-T13"
A09,Monday Morning Review,jobs_master.oppc_monday_reviews,"PM monday-review save/freeze actions",oppc_execution.py,"OPPC workspace builder plus PM edits","PmMondayReviewWorkspace; briefing builders",jobs_master.oppc_monday_reviews,ACTIVE_DERIVED_WORKSPACE,MEDIUM_HIGH,"The review workspace exists and is connected; constitutional work should clarify hierarchy with briefing and executive consumers",EXTEND,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:13-24; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T15"
A10,Monday briefing,oppc_monday_briefings,"project and enterprise briefing build/freeze/approve actions",oppc_briefings.py,"briefing builders over shared execution and confidence inputs","PM Monday review; executive briefing consumers",oppc_monday_briefings,ACTIVE_DERIVED_ARTIFACT,MEDIUM_HIGH,"Persisted briefing authority already exists and should remain the canonical communication artifact",REUSE,"WP18A_MONDAY_RECAP_AND_INTELLIGENCE_AUDIT.md:26-43; WP18A_DATA_AND_TRUST_LINE_REGISTER.csv:T16-T17"
