family,release_scope,final_status,attachment_expectation,evidence,blocking_effect,notes
Daily Report,ACTIVE_RELEASE_1,CERTIFIED_FOR_RELEASE,ATTACHMENT_EXPECTED,"Testing agent iteration 125; iteration 127 containment verification; active release suite remained green.",NON_BLOCKING,"Only active family with current exact-bundle preview evidence plus attachment proof chain."
meeting,ACTIVE_RELEASE_1,CERTIFIED_FOR_RELEASE,ATTACHMENT_EXPECTED,"Unchanged generic notification path in backend/lib/email_dispatch.py and backend/lib/notification_delivery.py; no release-closeout delta touched the meeting delivery path.",NON_BLOCKING,"Carries forward prior certified notification chain without a current-bundle regression signal."
incident,ACTIVE_RELEASE_1,CERTIFIED_FOR_RELEASE,ATTACHMENT_EXPECTED,"Unchanged generic notification path plus incident PDF enrichment path; no release-closeout delta touched the incident delivery path.",NON_BLOCKING,"Carries forward prior certified notification chain without a current-bundle regression signal."
inspection,ACTIVE_RELEASE_1,CERTIFIED_FOR_RELEASE,ATTACHMENT_EXPECTED,"Unchanged inspection delivery path and generic notification dispatcher; no current-bundle regression signal found.",NON_BLOCKING,"Inspection family remains in-scope and unchanged by the release-closeout work."
equipment_inspection,ACTIVE_RELEASE_1,CERTIFIED_FOR_RELEASE,ATTACHMENT_EXPECTED,"Workflow policy remains active in backend/lib/production_certification.py and no current-bundle delta touched the delivery path.",NON_BLOCKING,"Active fleet-safety notification family retained."
approval_PO,DEFERRED_RELEASE_FAMILY,DEFERRED_AND_HIDDEN,NO_ATTACHMENT_EXPECTED,"Deferred scope carried forward from prior certification register; not part of the active Release-1 certified set.",NON_BLOCKING,"Not a Release-1 deploy blocker."
JHA_JHP,OUTSIDE_RELEASE_1,BLOCKED_EXTERNAL_PROVIDER_ONLY,ATTACHMENT_EXPECTED,"No exact current-bundle provider proof was regenerated in this fork.",NON_BLOCKING,"Outside the active Release-1 gate."
DVIR,OUTSIDE_RELEASE_1,BLOCKED_EXTERNAL_PROVIDER_ONLY,ATTACHMENT_EXPECTED,"No exact current-bundle provider proof was regenerated in this fork.",NON_BLOCKING,"Outside the active Release-1 gate."
safety_alert,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Alert-family lane is notification-only; no attachment contract is required.",NON_BLOCKING,"No current release delta touched this non-PDF alert family."
dispatch_assignment,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Dispatch-assignment lifecycle is routing/audit oriented rather than document-attachment driven.",NON_BLOCKING,"Outside the active Release-1 notification gate."
shop_work_order,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"No attachment contract is required for the current shop notification lane.",NON_BLOCKING,"Outside the active Release-1 notification gate."
HR_onboarding_reset,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Credential/reset family does not require a PDF attachment.",NON_BLOCKING,"Outside the active Release-1 notification gate."
health_alert,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Runtime/health alerts are notification-only by design.",NON_BLOCKING,"Outside the active Release-1 notification gate."
backup_alert,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Backup alert lane is notification-only by design.",NON_BLOCKING,"Outside the active Release-1 notification gate."
authentication_MFA_password_reset,OUTSIDE_RELEASE_1,CERTIFIED_NO_ATTACHMENT_EXPECTED,NO_ATTACHMENT_EXPECTED,"Authentication alert/reset lanes are notification-only by design.",NON_BLOCKING,"Outside the active Release-1 notification gate."
