register_id,subsystem,proof_label,approved_action,why_not_rebuild,what_is_reused_or_preserved,what_changes,dependent_wp18c_package
R01,Enterprise governance hierarchy,SOURCE_VERIFIED,EXTEND,"Governance model already exists in source.","Org nodes, authority levels, identity snapshots, approval flows","Propagate governed scope into downstream readers and inheritance","WP18C1"
R02,Project cost-code planning,SOURCE_VERIFIED,EXTEND,"Planning owner already exists on jobs_master.","assigned_cost_codes, publish lifecycle, planning history","Add budget mapping and stronger lock/revision semantics","WP18C4"
R03,Schedule engine,SOURCE_VERIFIED,EXTEND,"Deterministic schedule engine already works.","activity math, forecast dates, committed dates, explainability","Add governed actual/progress and budget/EV consumers","WP18C5"
R04,Lookahead / Monday review,SOURCE_VERIFIED,EXTEND,"Existing cadence and lifecycle already exist.","planning workflow, Monday review surfaces","Tighten cadence, approvals, and return-path rules","WP18C5"
R05,Forecast / commitments,SOURCE_VERIFIED,EXTEND,"Forecast lineage and commitment logic already exist.","forecast history, overrides, committed dates","Govern new cost/forecast boundaries and executive drill-down","WP18C7"
R06,Operational constraints,SOURCE_VERIFIED,EXTEND,"Constraint capture already exists in two valid lanes.","daily constraints and standing blockers","Formalize the dual-lane model and downstream consumption rules","WP18C5"
R07,Asset Spine / equipment identity,SOURCE_VERIFIED,EXTEND,"Strong registry core already exists.","equipment registry, company/region fields, provider mappings","Bind project-controls and cost impacts without replacing registry","WP18C5"
R08,Operational KPI rollups,SOURCE_VERIFIED,EXTEND,"KPI aggregation already exists and is useful.","aggregation route patterns, existing drill-downs","Align with final reporting hierarchy and enterprise scope rules","WP18C9"
R09,Resource federation,SOURCE_VERIFIED,CONSOLIDATE,"Value exists across current systems.","planning demand, team roster, dispatch deployment","One explicit semantic contract and escalation path","WP18C2"
R10,ODS / executive reporting,SOURCE_VERIFIED,REFACTOR_IN_PLACE,"The reader surfaces are real but overlap.","ODS, Project Health, KPI surfaces remain","One reporting hierarchy and KPI dictionary govern all readers","WP18C9"
R11,AI assistive layer,SOURCE_VERIFIED,PRESERVE_AND_GOVERN,"Useful assistive capability already exists.","config, translation, briefing assist","Add explicit authority and evidence rules","WP18C9"
R12,Project P&L snapshot,SOURCE_VERIFIED,PRESERVE_AND_GOVERN,"Existing live-cost surface is useful.","current endpoint/page and derived cost logic","Keep bounded as derived view under final financial trust lines","WP18C9"
R13,PO workflow,SOURCE_VERIFIED,PRESERVE_AND_GOVERN,"Procurement workflow already exists.","estimate, approval, issue, receipt lifecycle","Map cleanly into commitments and budget trust lines","WP18C7"
