event_id,event_name,proof_label,producer,authoritative_event,consumers,records_updated,notifications,approvals,kpi_impact,financial_impact,schedule_impact,audit_trail,retry_failure_handling,idempotency_rule
E01,Daily Report submitted,SOURCE_VERIFIED,Foreman/Superintendent,daily_reports record,"PM, schedule review, payroll variance, production, executive readers","daily_reports + derived review queues","PM/field alerts as configured","submission review only","production and labor KPIs","feeds actuals and cost signals indirectly","candidate progress / delay / quantity impact","daily report audit history","queue retry without duplicating source report","source report id + date + project unique key"
E02,Equipment Pre-Op failed,DOCUMENTED_ONLY,Driver/field operator,pre-op defect record,"shop, dispatch, safety, executive readers","equipment condition + defect workflow","shop/dispatch alerts","shop/dispatch review","fleet readiness KPI","possible downtime cost only if explicitly mapped","may impact assignment/schedule readiness","defect audit trail","retry notification and defect sync only","defect event id authoritative"
E03,DVIR defect created,DOCUMENTED_ONLY,Driver,dvir defect record,"shop, dispatch, fleet reporting","defect and repair queue","shop/dispatch alerts","shop review","fleet health KPI","maintenance cost impact when work order/actual cost created","possible assignment impact","DVIR audit trail","requeue downstream consumers only","DVIR id authoritative"
E04,Safety incident submitted,SOURCE_VERIFIED,Safety/field,safety incident record,"safety, PM, executive readers, HR where needed","incident and corrective workflow","safety escalation alerts","safety management review","safety KPI impact","only explicit cost impacts if mapped","project interruption/constraint if applicable","incident audit trail","retry notifications only","incident id authoritative"
E05,QA/QC inspection failed,DOCUMENTED_ONLY,QA/QC,inspection/deficiency record,"PM, superintendent, executive readers","quality deficiency and rework state","QA/QC + PM alerts","QA/QC approval chain","quality KPI impact","rework cost may later flow","can block accepted quantity / schedule progress","inspection audit trail","retry downstream queue only","inspection id authoritative"
E06,Project constraint opened,SOURCE_VERIFIED,PM/field,s standing blocker or daily constraint fact,"schedule, PM, executive readers","constraint state + schedule review queue","constraint alerts","PM/superintendent review","constraint KPI impact","indirect forecast impact","lookahead / schedule risk impact","constraint audit trail","retry consumer processing only","constraint id authoritative"
E07,Dispatch assignment changed,SOURCE_VERIFIED,Dispatcher,dispatch assignment event,"transportation, project, executive readers","dispatch assignment state","dispatch/driver alerts","dispatch authority review","fleet / haul utilization KPI","only explicit operational cost if mapped","may affect production readiness","dispatch audit history","retry notification and downstream sync only","assignment id authoritative"
E08,Employee qualification expired,DOCUMENTED_ONLY,HR/training,qualification status event,"HR, dispatch, PM, safety","qualification state and eligibility","HR/manager alerts","HR review","qualification KPI impact","indirect labor readiness impact","assignment/safety readiness impact","qualification audit trail","retry consumer sync only","qualification event id authoritative"
E09,Shop work order created,DOCUMENTED_ONLY,Shop manager,work order record,"shop, fleet, executive readers","work order lifecycle","shop/dispatch alerts","shop authority review","maintenance KPI impact","maintenance actual cost when posted","equipment availability impact","work order audit trail","retry downstream sync only","work order id authoritative"
E10,Budget changed,DOCUMENTED_ONLY,Finance/project controls,budget revision event,"forecast, EV, executive readers, PM","budget version state","budget approval alerts","formal budget approval required","budget and variance KPI impact","direct budget / margin / forecast impact","can affect planned value and schedule-cost views","budget revision audit trail","retry derived recalculation only","budget revision id authoritative"
E11,Commitment approved,SOURCE_VERIFIED,Approver/finance,approved commitment event,"budget, forecast, executive readers, PM","commitment ledger","procurement/PM alerts","approval required","commitment coverage KPI impact","direct commitment impact","possible material/readiness impact","approval audit trail","retry downstream posting only","commitment id authoritative"
E12,Production quantity posted,SOURCE_VERIFIED,Field/PM,accepted quantity event,"schedule, forecast, EV, executive readers","accepted quantity and productivity state","PM/controls alerts if exception","PM/controls acceptance required","production/productivity KPI impact","cost per unit and EV impact","progress / percent-complete impact","quantity audit trail","retry derived calculations only","accepted quantity version id authoritative"
E13,Schedule progress updated,SOURCE_VERIFIED,PM/controls,approved progress update,"forecast, EV, executive readers","current/forecast schedule state","PM/executive alerts if exception","PM/controls review","schedule KPI impact","indirect forecast/EV impact","direct schedule impact","schedule audit trail","retry derived projections only","progress update id authoritative"
E14,Earned Value recalculated,DOCUMENTED_ONLY,EV engine,EV snapshot,"executive readers, PM, finance","EV snapshot and exception state","exception alerts where thresholds crossed","controls/finance certifier review by rule","EV KPI impact","direct CV/CPI/EAC impact","direct SV/SPI impact","EV snapshot audit trail","recompute from authoritative inputs only","status date + project + version unique key"
E15,Forecast changed,SOURCE_VERIFIED,PM/controls/finance,forecast snapshot,"executive readers, PM, finance","forecast history","forecast review alerts","review/approval by threshold","forecast KPI impact","EAC/ETC impact","project completion forecast impact","forecast audit trail","retry consumer sync only","forecast snapshot id authoritative"
