role,proof_label,what_changes,what_stays_same,new_responsibilities,removed_burdens,new_screens,new_decisions,new_approvals,new_alerts,training_required,expected_value
Executive,DOCUMENTED_ONLY,"one governed reporting hierarchy, finance KPIs, EV visibility","existing executive surfaces and drill-down pathways remain","review clearer exception signals","less dashboard ambiguity","budget/EV rollup views inside existing hierarchy","approve hierarchy/budget policy thresholds","budget reserve and major variance approvals","budget/forecast/EV exception alerts","light","higher trust and faster intervention"
Operations leader,DOCUMENTED_ONLY,"resource/constraint federation becomes explicit","existing ops, dispatch, PM, and executive surfaces remain","manage cross-project resource conflicts under one model","less manual interpretation across dashboards","resource/constraint rollup views","cross-project balancing decisions","high-threshold operational escalations","stale constraint/resource conflict alerts","medium","lower operational complexity"
Project manager,DOCUMENTED_ONLY,"budget, forecast, EV, and commitment views become explicit","PM hub, schedule, Daily Reports, Monday review remain","review budget/forecast/EV exceptions","less guesswork on cost and progress truth","budget/forecast/EV tabs inside PM architecture","budget/forecast correction decisions","forecast / progress approvals by threshold","variance, commitment, EV alerts","medium","better control of project outcome"
Project engineer,DOCUMENTED_ONLY,"clearer support role in progress, quantities, and schedule review","existing PM/project workflows remain","maintain quantity/progress linkage quality","less informal reconciliation","quantity/progress review surfaces","support PM exception decisions","none new beyond governed reviews","data-quality alerts","medium","cleaner controls support"
Superintendent,DOCUMENTED_ONLY,"accepted quantity and constraint review path becomes explicit","field, Daily Report, and safety workflows remain","review constraint/production exceptions with PM","less re-entry and hidden correction pressure","lookahead/constraint exception views","confirm field readiness and production blockers","approved quantity certification support","constraint / quantity exception alerts","light-medium","faster field-to-controls feedback"
Foreman,DOCUMENTED_ONLY,"field entries gain clearer downstream meaning","existing Daily Report and safety entry flows remain","submit cleaner quantity / delay / resource detail","less duplicate clarification after submission","none necessarily new; possibly clearer return states","better quality of submitted field facts","none","submission correction / missing-data alerts","light","better feedback without more form burden"
Field employee,DOCUMENTED_ONLY,"little direct change expected","public/mobile-first field flows remain","none beyond current field capture","no added hidden complexity","none expected","none","none","eligibility / safety / assignment alerts if relevant","light","preserved simple field use"
Dispatcher,DOCUMENTED_ONLY,"resource federation and equipment readiness become clearer upstream","dispatch portal and tools remain","use explicit project/resource demand context","less phone-based reconciliation","no new shell; additive readiness indicators only","assignment decisions with cleaner data","existing dispatch approval rules remain","qualification / equipment readiness alerts","light-medium","higher dispatch confidence"
Transportation manager,DOCUMENTED_ONLY,"regional/company rollups become clearer","dispatch/fleet surfaces remain","manage fleet and driver exceptions across hierarchy","less fragmented reporting","additive rollup views","fleet balancing decisions","major transport exception approvals","driver/fleet exception alerts","light","better regional visibility"
Driver,DOCUMENTED_ONLY,"minimal change","current dispatch and vehicle workflows remain","continue current inspections and assignments","no extra architecture burden","none expected","none","none","qualification / defect alerts","light","preserved operator simplicity"
Safety professional,DOCUMENTED_ONLY,"safety impacts become cleaner in executive and project-controls rollups","safety portal and workflows remain","map safety blockers into project-controls escalation where applicable","less duplicate reporting explanation","no new shell; additive impact views only","severity/escalation decisions remain clearer","current safety approvals remain","critical incident / training / readiness alerts","light-medium","better actionability without workflow churn"
QA/QC professional,DOCUMENTED_ONLY,"accepted/rejected/rework quantity flows become explicit","existing QA/QC workflows remain","certify acceptance/rejection impacts on quantity and billing","less ambiguity over production acceptance","additive acceptance impact views","accept/reject/rework decisions become more visible downstream","current QA/QC approvals remain","acceptance/rework alerts","light-medium","clearer link between quality and controls"
Shop manager,DOCUMENTED_ONLY,"equipment cost/availability impacts become clearer","shop hub, queue, work orders remain","connect repair readiness with project-controls impact where applicable","less separate explanation work","no new shell; additive readiness/cost context only","maintenance priority decisions with better project context","existing shop approvals remain","critical asset availability alerts","light-medium","better fleet-to-project integration"
Mechanic,DOCUMENTED_ONLY,"little direct change","current shop workflows remain","capture repair evidence cleanly","no extra architecture burden","none expected","none","none","critical repair / defect alerts","light","preserved shop simplicity"
HR,DOCUMENTED_ONLY,"qualification/labor rollups gain clearer downstream use","HR hub and workflows remain","maintain stronger labor/eligibility trust lines","less manual explanation across payroll/project contexts","additive labor/eligibility rollups","eligibility escalation decisions","existing HR approvals remain","qualification / labor anomaly alerts","light-medium","better labor trust"
Training,DOCUMENTED_ONLY,"training completion status gains clearer role in eligibility","current training architecture remains","support qualification readiness rollups","less duplicate reporting","none or additive reporting only","none beyond existing governance","none","training expiration alerts","light","clearer compliance readiness"
Accounting/finance,DOCUMENTED_ONLY,"budget, commitments, actuals, forecast, billing, collections, and EV become explicit","existing PO and P&L inputs remain","own budget/actual-cost/EV governance","less reliance on PM/admin proxy views","budget, actual-cost, forecast, EV, billing views","budget/variance/cash decisions","budget revision and actual-cost approvals","budget/actual/forecast/EV exception alerts","medium-high","real financial trust"
Administrator,DOCUMENTED_ONLY,"governed configuration inheritance and role/reporting mappings become explicit","admin shells and governance tooling remain","configure hierarchy/reporting/AI rules under governance","less ad hoc configuration interpretation","hierarchy/reporting governance screens within existing admin patterns","configuration and policy decisions","governed admin approvals only","scope/config drift alerts","medium","safer administration"
