order,action,performer,when,verdict
1,Log in to production /admin/dashboard,Admin,Immediately after deploy,
2,Open /admin/integration-truth and verify Motive line reads LIVE_VERIFIED with fresh last_success_ts,Admin,Within 5 min,
3,Open /dispatch-portal and confirm MotivePostureRibbon renders emerald "MOTIVE · LIVE" (or hides with hideWhenLive=true) if truly live,Admin/Dispatcher,Within 5 min,
4,Open /pm/command-center at 390px via browser dev-tools; confirm no horizontal overflow,Admin,Within 10 min,
5,Open /equipment/submit on REAL iOS Safari; type ~50 characters into notes + select equipment; wait 60s; confirm session-expired modal does NOT re-fire on any keystroke,Superintendent or Admin,Within 30 min,
6,Dispatcher opens /dispatch-portal on iPad; confirms assignment drawer + Motive ribbon truthful,Dispatcher,Within 1 hour,
7,PM opens /pm/command-center on iPhone; confirms project cards + attention items usable,PM,Within 1 hour,
8,Safety leader submits ONE test inspection at /safety-portal/inspections/new; verifies idempotent submit + audit log,Safety Leader,Within 1 hour,
9,Shop mechanic acknowledges ONE existing defect via /shop-portal/fleet/defects,Shop Mechanic,Within 1 hour,
10,Field leader submits ONE DVIR (marked as validation test); verifies Shop queue receives,Field Leader,Within 1 hour,
11,Confirm no unexpected emails or SMS were sent to real recipients during the smoke,Admin,Within 2 hours,
12,Retire or update legacy governance linters (18.10 · 18.11 · 18.12 family) so future deploy gates reflect current architecture,Engineering,Follow-up track,
