source,current_classification_23_8,linkable_via,post_23_10_c_per_project_classification,confidence_rule,notes
daily_report_safety_events,LIVE when count > 0,DR safety_fact carries project_number natively,LIVE,high,unchanged
incidents,LIVE when count > 0,db.incidents.project_number is explicit,LIVE,high,unchanged
safety_meetings,LIVE when count > 0,db.meetings.project_number is explicit,LIVE,high,unchanged
jha_records,LIVE when count > 0,db.jhas.project_number is explicit,LIVE,high,unchanged
safety_inspections,LIVE when count > 0,db.inspections.project_number is explicit,LIVE,high,unchanged
trench_excavations,LIVE when count > 0,project_number stored on row,LIVE,high,unchanged · Daily-Report origin
trench_hold_fact (NEW),n/a (was legacy trench_holds row),project_linker §5 (deployment ladder),LIVE if any high-confidence match in window · PARTIAL if only medium/low · MISSING · FUTURE if none,per-record,new fact type replaces PARTIAL classification
trench_inspection_fact (NEW),n/a (was legacy inspections row),project_linker §5,LIVE if any high-confidence match · PARTIAL if only medium/low · MISSING · FUTURE if none,per-record,new fact type replaces PARTIAL
trench_repair_fact (NEW),n/a (was legacy repairs row),project_linker §5,LIVE if any high-confidence match · PARTIAL if only medium/low · MISSING · FUTURE if none,per-record,new fact type · carries safe_to_use_verified derived value
excavation_day_fact (NEW),n/a,Daily Report project_number,LIVE,high,new fact type · Daily Report V3 origin (23.10-E)
competent_person_certification_fact (NEW),n/a,employee-scoped · project-nullable,LIVE per-employee · joined per-project via assignments,high,new fact type from 23.10-B registry
competent_person_assignment_fact (NEW),n/a,DR project_number,LIVE per project,high,new fact type from 23.10-E
competent_person_expiration_fact (NEW),n/a,employee-scoped,LIVE per employee,high,daily emitter for expiring certs
equipment_dvir,PARTIAL,no project link in schema,PARTIAL,-,unchanged · future project-linking work
trench_holds (legacy row),PARTIAL,-,PARTIAL (labeled trench_holds_legacy in aggregator),-,LIVE source is the new trench_hold_fact
near_miss_reports,PARTIAL,derived from incident_type,PARTIAL,-,unchanged
