object_type,implemented_store,create_authority,update_authority,review_path,archive_or_close_behavior,delete_behavior,current_wp18c2_evidence
Enterprise work type,enterprise_work_type_registry,Admin,Admin,None required for direct admin entry,Status supports inactive/archived,No destructive delete path added,16 records present after WP18C2 runtime verification.
Project pay item,project_pay_item_registry,Project-scoped PM,Project-scoped PM,Mapping review queue when unclassified,Status supports draft/active/inactive/archived,No destructive delete path added,1 certified sample pay item created and retained.
Governed mapping,project_pay_item_work_type_mappings,Project-scoped PM,Project-scoped PM human approval,project_controls_review_queue until resolved,Status supports suggested/pending_review/approved/rejected/deferred,No destructive delete path added,1 approved mapping + resolved review evidence.
Two-week lookahead,project_controls_lookaheads,Project-scoped PM,Project-scoped PM,PM publishes/revises,Status supports draft/published/archived,No destructive delete path added,1 published lookahead version 2.
Project lifecycle state,project_controls_project_lifecycle,Derived from protected project identity then PM-governed,Project-scoped PM,State history and archive history entries,Archive sets archive_status and preserves search/readability,No destructive delete path added,Archive and restore verified in runtime QA.
Crew observation,project_controls_crew_observations,Derived from Daily Reports,None direct human write,Crew suggestion review or confirmation,None; observations remain historical,No destructive delete path added,2 observations present.
Confirmed crew,project_controls_confirmed_crews,Project-scoped PM human confirmation,Project-scoped PM,Human confirm/reject/defer only,Status supports draft/active/inactive/archived,No destructive delete path added,1 confirmed crew present.
Daily Report work block,daily_reports.work_blocks,Derived from Daily Report evidence or future explicit report entry,Derived on save / compatibility stamp,Visible on report form and detail view,None; tied to parent Daily Report retention,No destructive delete path added,3367 reports versioned under wp18c2.v1.
Work ledger row,project_controls_work_ledger,Derived from Daily Reports,Derived refresh on source report sync,None direct human write,None; additive operational ledger history,No destructive delete path added,178 governed ledger rows present.
Review queue item,project_controls_review_queue,System-created when human review required,Resolved/rejected/deferred by human action,Admin/PM review surfaces,Resolved entries retained with audit metadata,No destructive delete path added,1 resolved review row present.
